Name,Description,Primary database model,Secondary database models,DB-Engines Ranking Trend Chart,Website,Technical documentation,Developer,Initial release,Current release,License,License_info,Cloud-based only,DBaaS offerings (sponsored links),Implementation language,Server operating systems,Data scheme,Typing,XML support,Secondary indexes,SQL,APIs and other access methods,Supported programming languages,Server-side scripts,Triggers,Partitioning methods,Replication methods,MapReduce,Consistency concepts,Foreign keys,Transaction concepts,Concurrency,Durability,In-memory capabilities,User concepts
Faircom DB,Native high-speed multi-model DBMS for relational and key-value store data simultaneously accessible through SQL and NoSQL APIs.,"Key-value store,Relational DBMS",,"Score,0.17,Rank,#366,Overall,#55,Key-value stores,#151,Relational DBMS",www.faircom.com/products/faircom-db,learn.faircomcorp.com/developers/documentation_directory,FairCom Corporation,1979.0,,commercial,"Restricted, free version available",no,,"ANSI C, C++","AIX,FreeBSD,HP-UX,Linux,NetBSD,OS X,QNX,SCO,Solaris,VxWorks,Windows","schema free, schema optional, schema required, partial schema,","yes, ANSI SQL Types, JSON, typed binary structures",no,yes,"yes, ANSI SQL with proprietary extensions","ADO.NET,Direct SQL,JDBC,JPA,ODBC,RESTful HTTP/JSON API,RESTful MQTT/JSON API,RPC",".Net,C,C#,C++,Java,JavaScript (Node.js and browser),PHP,Python,Visual Basic",yes,yes,"File partitioning, horizontal partitioning, sharding","yes, configurable to be parallel or serial, synchronous or asynchronous, uni-directional or bi-directional, ACID-consistent or eventually consistent (with custom conflict resolution).",no,,yes,tunable from ACID to Eventually Consistent,yes,"Yes, tunable from durable to delayed durability to in-memory",yes,Fine grained access rights according to SQL-standard with additional protections for files
Transwarp KunDB,"OLTP DBMS based on a distributed architecture and highly compatible with,MySQL,and,Oracle",Relational DBMS,,"Score,0.16,Rank,#367,Overall,#152,Relational DBMS",www.transwarp.cn/en/product/kundb,,Transwarp,,,commercial,,no,,,,yes,yes,,yes,yes,,,yes,yes,horizontal partitioning,,no,,yes,ACID,yes,yes,,yes
Skytable,"A free and open-source,Key-value Store,that aims to provide flexible data modeling at scale. Formerly also know as TerrabaseDB.",Key-value store,,"Score,0.16,Rank,#368,Overall,#56,Key-value stores","github.com/skytable/skytable,skytable.io",docs.skytable.io,,2020.0,,Open Source,GNU AGPL 3.0,no,,Rust,,,,,,,,,,,,,,,,,,,,
iBoxDB,Transactional embedded database for desktop and mobile applications.,Document store,,"Score,0.16,Rank,#369,Overall,#55,Document stores",www.iboxdb.com,,,2013.0,,Open Source,,no,,"Java, C#",,,,,,,,,,,,,,,,,,,,
XtremeData,,Relational DBMS,,"Score,0.15,Rank,#370,Overall,#153,Relational DBMS",www.xtremedata.com,,,,,commercial,limited edition free,no,,,,,,,,,,,,,,,,,,,,,,
TomP2P,Distributed Key-Value store,Key-value store,,"Score,0.15,Rank,#371,Overall,#57,Key-value stores",tomp2p.net,,,2004.0,,Open Source,Apache Version 2,no,,Java,,,,,,,,,,,,,,,,,,,,
EsgynDB,"Enterprise-class SQL-on-Hadoop solution, powered by,Apache Trafodion",Relational DBMS,,"Score,0.14,Rank,#372,Overall,#154,Relational DBMS",www.esgyn.cn,,Esgyn,2015.0,,commercial,,no,,"C++, Java",Linux,yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC",All languages supporting JDBC/ODBC/ADO.Net,Java Stored Procedures,no,Sharding,Multi-source replication between multi datacenters,yes,,yes,ACID,yes,yes,no,fine grained access rights according to SQL-standard
IBM Db2 Event Store,Distributed Event Store optimized for Internet of Things use cases,"Event Store,Time Series DBMS",,"Score,0.13,Rank,#373,Overall,#3,Event Stores,#38,Time Series DBMS",www.ibm.com/products/db2-event-store,www.ibm.com/support/knowledgecenter/en/SSGNPV_2.0.0/welcome.html,IBM,2017.0,,commercial,free developer edition available,no,,C and C++,Linux,yes,yes,no,no,yes,"ADO.NET,DB2 Connect,JDBC,ODBC,RESTful HTTP API","C,C#,C++,Cobol,Delphi,Fortran,Go,Java,JavaScript (Node.js),Perl,PHP,Python,R,Ruby,Scala,Visual Basic",yes,no,Sharding,Active-active shard replication,no,,no,no,No - written data is immutable,Yes - Synchronous writes to local disk combined with replication and asynchronous writes in parquet format to permanent shared storage,yes,fine grained access rights according to SQL-standard
Badger,"An embeddable, persistent, simple and fast,Key-Value Store,, written purely in Go.",Key-value store,,"Score,0.13,Rank,#374,Overall,#58,Key-value stores",github.com/dgraph-io/badger,godoc.org/github.com/dgraph-io/badger,DGraph Labs,2017.0,,Open Source,Apache 2.0,no,,Go,"BSD,Linux,OS X,Solaris,Windows",schema-free,no,no,no,no,,Go,no,no,none,none,no,,no,no,yes,yes,no,no
Fujitsu Enterprise Postgres,"Enterprise-grade,PostgreSQL,-based DBMS with security enhancements such as Transparent Data Encryption and Data Masking, plus high-availability and performance improvement features.",Relational DBMS,,"Score,0.12,Rank,#375,Overall,#155,Relational DBMS",fast.fujitsu.com,fast.fujitsu.com/product-manuals,"PostgreSQL Global Development Group, Fujitsu Australia Software Technology",,,commercial,,no,,C,"Linux,Windows",yes,yes,,yes,yes,"ADO.NET,JDBC,native C library,ODBC,streaming API for large objects",".Net,C,C++,Delphi,Java,JavaScript (Node.js),Perl,PHP,Python,Tcl",user defined functions,yes,"partitioning by range, list and by hash",Source-replica replication,no,,yes,ACID,"yes, multi-version concurrency control (MVCC)",yes,,fine grained access rights according to SQL-standard
SiteWhere,M2M integration platform for persisting/querying time series data,Time Series DBMS,,"Score,0.12,Rank,#376,Overall,#39,Time Series DBMS",sitewhere.io,sitewhere.io/docs/2.1.0,SiteWhere,2010.0,,Open Source,Common Public Attribution License Version 1.0,no,,Java,"Linux,OS X,Windows",predefined scheme,yes,no,no,no,HTTP REST,,,,Sharding,selectable replication factor,no,,no,no,yes,yes,no,Users with fine-grained authorization concept
