Rank_Jun-2023,Rank_May-2023,Rank_Jun-2022,DBMS,Database Model,Score_Jun-2023,Score_May-2023,Score_Jun-2022,DBMS_insitelink,Multi_model_info
365.,352.,322.,Acebase,Document,0.21,-0.05,+0.12,https://db-engines.com/en/system/Acebase,
366.,355.,342.,LedisDB,Key-value,0.21,-0.05,+0.18,https://db-engines.com/en/system/LedisDB,
367.,356.,363.,WhiteDB,Document,0.20,-0.05,+0.20,https://db-engines.com/en/system/WhiteDB,
368.,359.,340.,ToroDB,Document,0.20,-0.05,+0.17,https://db-engines.com/en/system/ToroDB,
369.,358.,363.,TerarkDB,Key-value,0.20,-0.05,+0.20,https://db-engines.com/en/system/TerarkDB,
370.,361.,351.,JethroData,Relational,0.19,-0.05,+0.18,https://db-engines.com/en/system/JethroData,
370.,361.,337.,VelocityDB,Multi-model,0.19,-0.05,+0.15,https://db-engines.com/en/system/VelocityDB,"Graph DBMS,Object oriented DBMS"
372.,385.,,PieCloudDB,Relational,0.19,+0.12,,https://db-engines.com/en/system/PieCloudDB,
373.,368.,,GreptimeDB,Time Series,0.18,-0.06,,https://db-engines.com/en/system/GreptimeDB,
374.,363.,363.,XTDB,Document,0.17,-0.07,+0.17,https://db-engines.com/en/system/XTDB,
375.,369.,363.,ActorDB,Relational,0.17,-0.06,+0.17,https://db-engines.com/en/system/ActorDB,
376.,367.,339.,Transwarp KunDB,Relational,0.17,-0.07,+0.14,https://db-engines.com/en/system/Transwarp+KunDB,
377.,370.,363.,OrigoDB,Multi-model,0.17,-0.06,+0.17,https://db-engines.com/en/system/OrigoDB,"Document store,Object oriented DBMS"
378.,378.,363.,NSDb,Time Series,0.17,+0.01,+0.17,https://db-engines.com/en/system/NSDb,
379.,373.,292.,EsgynDB,Relational,0.17,-0.05,-0.02,https://db-engines.com/en/system/EsgynDB,
380.,365.,357.,NosDB,Document,0.17,-0.07,+0.16,https://db-engines.com/en/system/NosDB,
381.,377.,306.,Badger,Key-value,0.17,+0.01,+0.04,https://db-engines.com/en/system/Badger,
382.,375.,,Dragonfly,Key-value,0.16,-0.05,,https://db-engines.com/en/system/Dragonfly,
383.,372.,363.,iBoxDB,Document,0.16,-0.06,+0.16,https://db-engines.com/en/system/iBoxDB,
384.,376.,353.,SiriDB,Time Series,0.15,-0.06,+0.14,https://db-engines.com/en/system/SiriDB,
385.,380.,348.,InfinityDB,Key-value,0.15,+0.02,+0.13,https://db-engines.com/en/system/InfinityDB,
386.,379.,363.,Indica,Search engine,0.14,-0.01,+0.14,https://db-engines.com/en/system/Indica,
387.,382.,332.,OushuDB,Relational,0.12,+0.02,+0.06,https://db-engines.com/en/system/OushuDB,
388.,381.,291.,Warp 10,Time Series,0.10,+0.01,-0.09,https://db-engines.com/en/system/Warp+10,
389.,383.,,DataFS,"Object oriented, Multi-model",0.08,-0.01,,https://db-engines.com/en/system/DataFS,"Object oriented DBMS,Graph DBMS"
390.,384.,363.,Cachelot.io,Key-value,0.08,-0.01,+0.08,https://db-engines.com/en/system/Cachelot.io,
391.,386.,320.,AgensGraph,Multi-model,0.06,0.00,-0.03,https://db-engines.com/en/system/AgensGraph,"Graph DBMS,Relational DBMS"
392.,387.,345.,WakandaDB,Object oriented,0.04,-0.01,+0.01,https://db-engines.com/en/system/WakandaDB,
393.,391.,304.,SmallSQL,Relational,0.04,+0.01,-0.09,https://db-engines.com/en/system/SmallSQL,
394.,390.,327.,Faircom EDGE,Multi-model,0.03,+0.00,-0.04,https://db-engines.com/en/system/Faircom+EDGE,"Key-value store,Relational DBMS"
395.,398.,363.,Yanza,Time Series,0.03,+0.03,+0.03,https://db-engines.com/en/system/Yanza,
396.,392.,363.,Newts,Time Series,0.02,+0.00,+0.02,https://db-engines.com/en/system/Newts,
397.,388.,363.,Galaxybase,Graph,0.02,-0.02,+0.02,https://db-engines.com/en/system/Galaxybase,
398.,389.,308.,ScaleOut StateServer,Key-value,0.02,-0.01,-0.10,https://db-engines.com/en/system/ScaleOut+StateServer,
399.,393.,316.,SparkleDB,RDF,0.02,+0.00,-0.08,https://db-engines.com/en/system/SparkleDB,
400.,394.,331.,Resin Cache,Key-value,0.01,0.00,-0.04,https://db-engines.com/en/system/Resin+Cache,
401.,395.,330.,SWC-DB,"Wide column, Multi-model",0.01,0.00,-0.05,https://db-engines.com/en/system/SWC-DB,"Wide column store,Time Series DBMS"
402.,397.,346.,SwayDB,Key-value,0.00,+0.00,-0.02,https://db-engines.com/en/system/SwayDB,
403.,398.,363.,BergDB,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/BergDB,
403.,398.,363.,CortexDB,Multi-model,0.00,±0.00,±0.00,https://db-engines.com/en/system/CortexDB,"Document store,Key-value store"
403.,398.,363.,CovenantSQL,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/CovenantSQL,
403.,398.,363.,DaggerDB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/DaggerDB,
403.,398.,363.,EdgelessDB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/EdgelessDB,
403.,398.,363.,Helium,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/Helium,
403.,398.,329.,HGraphDB,Graph,0.00,±0.00,-0.06,https://db-engines.com/en/system/HGraphDB,
403.,396.,363.,JaguarDB,Key-value,0.00,-0.01,±0.00,https://db-engines.com/en/system/JaguarDB,
403.,398.,352.,JasDB,Document,0.00,±0.00,-0.01,https://db-engines.com/en/system/JasDB,
403.,398.,363.,K-DB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/K-DB,
403.,398.,363.,Rizhiyi,"Search engine, Multi-model",0.00,±0.00,±0.00,https://db-engines.com/en/system/Rizhiyi,"Search engine,Time Series DBMS"
403.,398.,360.,Sadas Engine,Relational,0.00,±0.00,0.00,https://db-engines.com/en/system/Sadas+Engine,
403.,398.,363.,searchxml,Multi-model,0.00,±0.00,±0.00,https://db-engines.com/en/system/searchxml,"Native XML DBMS,Search engine"
403.,398.,363.,SpaceTime,"Spatial DBMS, Multi-model",0.00,±0.00,±0.00,https://db-engines.com/en/system/SpaceTime,"Spatial DBMS,Relational DBMS"
403.,398.,363.,Tkrzw,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/Tkrzw,
403.,398.,354.,Transwarp ArgoDB,"Relational, Multi-model",0.00,±0.00,-0.01,https://db-engines.com/en/system/Transwarp+ArgoDB,"Relational DBMS,Search engine"
403.,398.,363.,Transwarp StellarDB,Graph,0.00,±0.00,±0.00,https://db-engines.com/en/system/Transwarp+StellarDB,
403.,398.,356.,Yaacomo,Relational,0.00,±0.00,-0.01,https://db-engines.com/en/system/Yaacomo,
