Rank_Jan-2024,Rank_Dec-2023,Rank_Jan-2023,DBMS,Database Model,Score_Jan-2024,Score_Dec-2023,Score_Jan-2023,DBMS_insitelink,Multi_model_info
207.,209.,,Vitess,"Relational, Multi-model",1.14,-0.04,,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
208.,212.,,StarRocks,Relational,1.11,-0.03,,https://db-engines.com/en/system/StarRocks,
209.,213.,190.,Actian Vector,Relational,1.11,+0.02,-0.08,https://db-engines.com/en/system/Actian+Vector,
210.,205.,214.,M3DB,Time Series,1.11,-0.08,+0.16,https://db-engines.com/en/system/M3DB,
211.,207.,216.,WebSphere eXtreme Scale,Key-value,1.10,-0.08,+0.17,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,
212.,182.,176.,SQL.JS,Relational,1.09,-0.33,-0.28,https://db-engines.com/en/system/SQL.JS,
213.,200.,210.,Hibari,Key-value,1.05,-0.20,+0.05,https://db-engines.com/en/system/Hibari,
214.,210.,199.,solidDB,Relational,1.05,-0.11,-0.06,https://db-engines.com/en/system/solidDB,
215.,203.,191.,IDMS,Navigational,1.05,-0.14,-0.13,https://db-engines.com/en/system/IDMS,
216.,240.,201.,BigchainDB,Document,1.03,+0.17,-0.04,https://db-engines.com/en/system/BigchainDB,
217.,215.,225.,TDSQL for MySQL,"Relational, Multi-model",1.03,-0.05,+0.18,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
218.,228.,285.,Typesense,Search engine,1.03,+0.08,+0.62,https://db-engines.com/en/system/Typesense,
219.,204.,204.,DBISAM,Relational,1.02,-0.17,-0.04,https://db-engines.com/en/system/DBISAM,
220.,216.,203.,eXist-db,Native XML,1.01,-0.05,-0.05,https://db-engines.com/en/system/eXist-db,
221.,220.,232.,Yellowbrick,Relational,1.00,-0.03,+0.21,https://db-engines.com/en/system/Yellowbrick,
222.,239.,208.,GeoMesa,Spatial DBMS,1.00,+0.13,-0.02,https://db-engines.com/en/system/GeoMesa,
223.,221.,211.,CrateDB,Multi-model,1.00,-0.01,+0.01,https://db-engines.com/en/system/CrateDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Relational DBMS"
224.,236.,222.,SciDB,Multivalue,1.00,+0.11,+0.13,https://db-engines.com/en/system/SciDB,
225.,232.,227.,SQream DB,Relational,0.98,+0.07,+0.13,https://db-engines.com/en/system/SQream+DB,
226.,218.,226.,Amazon Keyspaces,Wide column,0.96,-0.08,+0.11,https://db-engines.com/en/system/Amazon+Keyspaces,
227.,222.,218.,ObjectDB,Object oriented,0.95,-0.04,+0.04,https://db-engines.com/en/system/ObjectDB,
228.,224.,235.,Datacom/DB,Relational,0.94,-0.04,+0.18,https://db-engines.com/en/system/Datacom%2FDB,
229.,271.,,CnosDB,Time Series,0.93,+0.30,,https://db-engines.com/en/system/CnosDB,
230.,214.,197.,Blazegraph,Multi-model,0.91,-0.18,-0.22,https://db-engines.com/en/system/Blazegraph,"Graph DBMS,RDF store"
231.,230.,220.,BoltDB,Key-value,0.90,-0.01,+0.02,https://db-engines.com/en/system/BoltDB,
232.,226.,224.,MapDB,Key-value,0.90,-0.06,+0.04,https://db-engines.com/en/system/MapDB,
233.,227.,228.,eXtremeDB,Multi-model,0.89,-0.06,+0.05,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS"
234.,250.,248.,OpenInsight,Multivalue,0.89,+0.10,+0.23,https://db-engines.com/en/system/OpenInsight,
235.,241.,223.,NexusDB,Relational,0.88,+0.02,+0.02,https://db-engines.com/en/system/NexusDB,
236.,245.,234.,ScaleArc,Relational,0.87,+0.03,+0.11,https://db-engines.com/en/system/ScaleArc,
237.,229.,207.,FrontBase,Relational,0.87,-0.08,-0.16,https://db-engines.com/en/system/FrontBase,
238.,231.,267.,Kinetica,"Relational, Multi-model",0.86,-0.06,+0.35,https://db-engines.com/en/system/Kinetica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
239.,235.,243.,KeyDB,Key-value,0.85,-0.05,+0.16,https://db-engines.com/en/system/KeyDB,
240.,253.,200.,Graph Engine,Multi-model,0.85,+0.07,-0.22,https://db-engines.com/en/system/Graph+Engine,"Graph DBMS,Key-value store"
241.,246.,240.,atoti,Object oriented,0.84,+0.02,+0.14,https://db-engines.com/en/system/atoti,
242.,257.,251.,SearchBlox,Search engine,0.83,+0.09,+0.20,https://db-engines.com/en/system/SearchBlox,
243.,256.,250.,Apache Pinot,Relational,0.81,+0.06,+0.18,https://db-engines.com/en/system/Apache+Pinot,
244.,243.,236.,Objectivity/DB,Object oriented,0.81,-0.03,+0.06,https://db-engines.com/en/system/Objectivity%2FDB,
245.,242.,,Vald,Vector,0.80,-0.04,,https://db-engines.com/en/system/Vald,
246.,261.,260.,HarperDB,Document,0.79,+0.11,+0.25,https://db-engines.com/en/system/HarperDB,
247.,233.,194.,RDF4J,RDF,0.78,-0.12,-0.38,https://db-engines.com/en/system/RDF4J,
248.,248.,269.,Alibaba Cloud AnalyticDB for MySQL,"Relational, Multi-model",0.78,-0.02,+0.30,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store"
249.,244.,304.,Heroic,Time Series,0.77,-0.06,+0.47,https://db-engines.com/en/system/Heroic,
250.,265.,238.,VistaDB,Relational,0.77,+0.11,+0.04,https://db-engines.com/en/system/VistaDB,
251.,234.,237.,AlaSQL,Multi-model,0.77,-0.13,+0.02,https://db-engines.com/en/system/AlaSQL,"Document store,Relational DBMS"
252.,251.,277.,Alibaba Cloud MaxCompute,Relational,0.77,-0.02,+0.31,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
253.,225.,213.,KairosDB,Time Series,0.76,-0.20,-0.20,https://db-engines.com/en/system/KairosDB,
254.,263.,244.,Apache Doris,Relational,0.76,+0.09,+0.07,https://db-engines.com/en/system/Apache+Doris,
255.,252.,262.,GemStone/S,Object oriented,0.75,-0.04,+0.22,https://db-engines.com/en/system/GemStone%2FS,
256.,237.,219.,R:BASE,Relational,0.73,-0.15,-0.15,https://db-engines.com/en/system/R%3ABASE,
257.,249.,,RisingWave,Relational,0.71,-0.08,,https://db-engines.com/en/system/RisingWave,
258.,238.,241.,Scalaris,Key-value,0.71,-0.16,+0.01,https://db-engines.com/en/system/Scalaris,
259.,272.,247.,4store,RDF,0.70,+0.08,+0.03,https://db-engines.com/en/system/4store,
260.,259.,212.,Splice Machine,Relational,0.69,-0.03,-0.28,https://db-engines.com/en/system/Splice+Machine,
261.,279.,256.,ModeShape,Content,0.67,+0.14,+0.07,https://db-engines.com/en/system/ModeShape,
262.,269.,245.,Kingbase,"Relational, Multi-model",0.67,+0.03,-0.01,https://db-engines.com/en/system/Kingbase,"Relational DBMS,Document store,Spatial DBMS"
263.,255.,230.,Postgres-XL,"Relational, Multi-model",0.67,-0.10,-0.15,https://db-engines.com/en/system/Postgres-XL,"Relational DBMS,Document store,Spatial DBMS"
264.,247.,,Vespa,Multi-model,0.66,-0.15,,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS"
265.,280.,263.,Strabon,RDF,0.65,+0.12,+0.13,https://db-engines.com/en/system/Strabon,
266.,273.,291.,Jade,Object oriented,0.63,+0.01,+0.25,https://db-engines.com/en/system/Jade,
267.,268.,271.,Lovefield,Relational,0.62,-0.02,+0.14,https://db-engines.com/en/system/Lovefield,
268.,262.,266.,ITTIA,"Time Series, Multi-model",0.62,-0.05,+0.10,https://db-engines.com/en/system/ITTIA,"Time Series DBMS,Relational DBMS"
269.,270.,253.,Project Voldemort,Key-value,0.62,-0.01,+0.00,https://db-engines.com/en/system/Project+Voldemort,
270.,258.,252.,Rasdaman,Multivalue,0.61,-0.12,-0.01,https://db-engines.com/en/system/Rasdaman,
271.,264.,249.,Percona Server for MongoDB,Document,0.61,-0.05,-0.02,https://db-engines.com/en/system/Percona+Server+for+MongoDB,
272.,254.,261.,LokiJS,Document,0.60,-0.17,+0.07,https://db-engines.com/en/system/LokiJS,
273.,281.,309.,HyperGraphDB,Graph,0.58,+0.06,+0.30,https://db-engines.com/en/system/HyperGraphDB,
274.,283.,,Databend,Relational,0.58,+0.08,,https://db-engines.com/en/system/Databend,
275.,266.,255.,Sequoiadb,Multi-model,0.58,-0.07,-0.02,https://db-engines.com/en/system/Sequoiadb,"Document store,Relational DBMS"
276.,274.,274.,Redland,RDF,0.57,-0.01,+0.11,https://db-engines.com/en/system/Redland,
277.,267.,254.,InfiniteGraph,Graph,0.55,-0.09,-0.05,https://db-engines.com/en/system/InfiniteGraph,
278.,299.,268.,Comdb2,Relational,0.54,+0.10,+0.04,https://db-engines.com/en/system/Comdb2,
279.,276.,272.,Raima Database Manager,Multi-model,0.54,-0.04,+0.07,https://db-engines.com/en/system/Raima+Database+Manager,"Relational DBMS,Time Series DBMS"
280.,278.,295.,Alibaba Cloud AnalyticDB for PostgreSQL,Relational,0.54,-0.02,+0.19,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,
281.,277.,283.,Actian FastObjects,Object oriented,0.53,-0.02,+0.13,https://db-engines.com/en/system/Actian+FastObjects,
282.,275.,257.,OpenQM,Multivalue,0.53,-0.05,-0.03,https://db-engines.com/en/system/OpenQM,
283.,260.,239.,Starcounter,Object oriented,0.50,-0.22,-0.20,https://db-engines.com/en/system/Starcounter,
284.,313.,311.,AnzoGraph DB,Multi-model,0.50,+0.14,+0.22,https://db-engines.com/en/system/AnzoGraph+DB,"Graph DBMS,RDF store"
285.,306.,302.,Mimer SQL,Relational,0.50,+0.10,+0.17,https://db-engines.com/en/system/Mimer+SQL,
286.,310.,294.,Axibase,Time Series,0.49,+0.12,+0.14,https://db-engines.com/en/system/Axibase,
287.,291.,313.,RedStore,RDF,0.49,+0.03,+0.21,https://db-engines.com/en/system/RedStore,
288.,294.,282.,EJDB,Document,0.49,+0.04,+0.08,https://db-engines.com/en/system/EJDB,
289.,282.,273.,Kyligence Enterprise,Relational,0.48,-0.04,+0.01,https://db-engines.com/en/system/Kyligence+Enterprise,
290.,292.,265.,Elassandra,"Wide column, Multi-model",0.47,+0.02,-0.05,https://db-engines.com/en/system/Elassandra,"Wide column store,Search engine"
291.,332.,,Marqo,Search engine,0.47,+0.17,,https://db-engines.com/en/system/Marqo,
292.,316.,342.,Elliptics,Key-value,0.47,+0.12,+0.28,https://db-engines.com/en/system/Elliptics,
293.,314.,275.,Cloudflare Workers KV,Key-value,0.45,+0.10,0.00,https://db-engines.com/en/system/Cloudflare+Workers+KV,
294.,343.,312.,Immudb,"Key-value, Multi-model",0.45,+0.20,+0.18,https://db-engines.com/en/system/Immudb,"Key-value store,Relational DBMS"
295.,309.,290.,PipelineDB,Relational,0.45,+0.07,+0.07,https://db-engines.com/en/system/PipelineDB,
296.,301.,258.,YDB,Multi-model,0.45,+0.02,-0.10,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS"
297.,289.,288.,Fluree,Graph,0.44,-0.02,+0.06,https://db-engines.com/en/system/Fluree,
298.,290.,299.,Alibaba Cloud ApsaraDB for PolarDB,Relational,0.44,-0.02,+0.10,https://db-engines.com/en/system/Alibaba+Cloud+ApsaraDB+for+PolarDB,
299.,296.,293.,Alibaba Cloud Log Service,Search engine,0.43,-0.01,+0.07,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,
300.,288.,287.,Transbase,Relational,0.43,-0.04,+0.03,https://db-engines.com/en/system/Transbase,
301.,298.,,Apache Sedona,Spatial DBMS,0.41,-0.03,,https://db-engines.com/en/system/Apache+Sedona,
302.,320.,259.,Tokyo Tyrant,Key-value,0.41,+0.07,-0.14,https://db-engines.com/en/system/Tokyo+Tyrant,
303.,287.,242.,Tajo,Relational,0.41,-0.06,-0.29,https://db-engines.com/en/system/Tajo,
304.,322.,341.,Bangdb,Multi-model,0.41,+0.07,+0.21,https://db-engines.com/en/system/Bangdb,"Document store,Graph DBMS,Time Series DBMS,Spatial DBMS"
305.,328.,284.,Riak TS,Time Series,0.40,+0.09,0.00,https://db-engines.com/en/system/Riak+TS,
306.,297.,298.,TransLattice,Relational,0.40,-0.04,+0.06,https://db-engines.com/en/system/TransLattice,
307.,325.,317.,TerminusDB,"Graph, Multi-model",0.39,+0.07,+0.12,https://db-engines.com/en/system/TerminusDB,"Graph DBMS,Document store,RDF store"
308.,293.,286.,FlockDB,Graph,0.38,-0.07,-0.02,https://db-engines.com/en/system/FlockDB,
309.,330.,362.,Badger,Key-value,0.38,+0.08,+0.24,https://db-engines.com/en/system/Badger,
310.,327.,,MyScale,Multi-model,0.38,+0.06,,https://db-engines.com/en/system/MyScale,"Relational DBMS,Vector DBMS"
311.,307.,264.,Brytlyt,Relational,0.38,-0.02,-0.14,https://db-engines.com/en/system/Brytlyt,
312.,300.,297.,LeanXcale,Multi-model,0.36,-0.07,+0.02,https://db-engines.com/en/system/LeanXcale,"Key-value store,Relational DBMS"
313.,303.,,YottaDB,"Key-value, Multi-model",0.36,-0.05,,https://db-engines.com/en/system/YottaDB,"Key-value store,Relational DBMS"
314.,295.,305.,RDFox,Multi-model,0.36,-0.09,+0.05,https://db-engines.com/en/system/RDFox,"Graph DBMS,RDF store,Relational DBMS"
315.,305.,,Deep Lake,Vector,0.36,-0.05,,https://db-engines.com/en/system/Deep+Lake,
316.,321.,300.,Speedb,Key-value,0.35,+0.01,+0.02,https://db-engines.com/en/system/Speedb,
317.,286.,301.,Mulgara,RDF,0.34,-0.15,+0.01,https://db-engines.com/en/system/Mulgara,
318.,315.,307.,Machbase Neo,Time Series,0.34,-0.01,+0.04,https://db-engines.com/en/system/Machbase+Neo,
319.,336.,310.,Manticore Search,"Search engine, Multi-model",0.33,+0.06,+0.05,https://db-engines.com/en/system/Manticore+Search,"Search engine,Time Series DBMS"
320.,302.,278.,FeatureBase,Relational,0.33,-0.09,-0.11,https://db-engines.com/en/system/FeatureBase,
321.,308.,316.,CubicWeb,RDF,0.33,-0.05,+0.05,https://db-engines.com/en/system/CubicWeb,
322.,284.,292.,ElevateDB,Relational,0.32,-0.18,-0.06,https://db-engines.com/en/system/ElevateDB,
323.,312.,351.,Faircom DB,Multi-model,0.31,-0.05,+0.15,https://db-engines.com/en/system/Faircom+DB,"Key-value store,Relational DBMS"
324.,341.,331.,BigObject,Relational,0.30,+0.04,+0.10,https://db-engines.com/en/system/BigObject,
325.,331.,356.,Fujitsu Enterprise Postgres,"Relational, Multi-model",0.30,+0.00,+0.15,https://db-engines.com/en/system/Fujitsu+Enterprise+Postgres,"Relational DBMS,Document store,Spatial DBMS"
326.,324.,,AntDB,Relational,0.30,-0.03,,https://db-engines.com/en/system/AntDB,
327.,348.,344.,Eloquera,Object oriented,0.29,+0.07,+0.10,https://db-engines.com/en/system/Eloquera,
328.,285.,314.,NEventStore,Event,0.29,-0.21,+0.01,https://db-engines.com/en/system/NEventStore,
329.,333.,,PieCloudDB,Relational,0.28,-0.02,,https://db-engines.com/en/system/PieCloudDB,
330.,311.,321.,XtremeData,Relational,0.28,-0.09,+0.04,https://db-engines.com/en/system/XtremeData,
331.,355.,319.,Ultipa,Graph,0.27,+0.09,+0.01,https://db-engines.com/en/system/Ultipa,
332.,340.,349.,XTDB,Document,0.27,+0.00,+0.09,https://db-engines.com/en/system/XTDB,
333.,357.,,Dragonfly,Key-value,0.27,+0.09,,https://db-engines.com/en/system/Dragonfly,
334.,329.,326.,Upscaledb,Key-value,0.26,-0.05,+0.04,https://db-engines.com/en/system/Upscaledb,
335.,349.,357.,Kyoto Tycoon,Key-value,0.26,+0.05,+0.11,https://db-engines.com/en/system/Kyoto+Tycoon,
336.,319.,332.,Dydra,RDF,0.26,-0.09,+0.05,https://db-engines.com/en/system/Dydra,
337.,304.,326.,Exorbyte,Search engine,0.25,-0.16,+0.04,https://db-engines.com/en/system/Exorbyte,
338.,362.,346.,SiteWhere,Time Series,0.25,+0.09,+0.06,https://db-engines.com/en/system/SiteWhere,
339.,339.,329.,Siaqodb,Object oriented,0.25,-0.02,+0.04,https://db-engines.com/en/system/Siaqodb,
340.,344.,324.,Tibco ComputeDB,Relational,0.24,-0.01,+0.01,https://db-engines.com/en/system/Tibco+ComputeDB,
341.,317.,320.,STSdb,Key-value,0.24,-0.10,-0.02,https://db-engines.com/en/system/STSdb,
342.,354.,,Tigris,Multi-model,0.23,+0.04,,https://db-engines.com/en/system/Tigris,"Document store,Key-value store,Search engine,Time Series DBMS"
343.,318.,306.,Actian PSQL,Relational,0.22,-0.13,-0.09,https://db-engines.com/en/system/Actian+PSQL,
344.,346.,315.,Alibaba Cloud Table Store,Wide column,0.21,-0.02,-0.06,https://db-engines.com/en/system/Alibaba+Cloud+Table+Store,
345.,378.,353.,NosDB,Document,0.21,+0.11,+0.05,https://db-engines.com/en/system/NosDB,
346.,323.,308.,Sparksee,Graph,0.20,-0.13,-0.09,https://db-engines.com/en/system/Sparksee,
347.,337.,281.,HugeGraph,Graph,0.19,-0.08,-0.23,https://db-engines.com/en/system/HugeGraph,
348.,352.,354.,SenseiDB,Document,0.19,0.00,+0.03,https://db-engines.com/en/system/SenseiDB,
349.,335.,279.,Valentina Server,Relational,0.19,-0.10,-0.25,https://db-engines.com/en/system/Valentina+Server,
350.,326.,322.,Skytable,Key-value,0.19,-0.13,-0.05,https://db-engines.com/en/system/Skytable,
351.,342.,303.,GraphBase,Graph,0.19,-0.07,-0.13,https://db-engines.com/en/system/GraphBase,
352.,375.,330.,Hawkular Metrics,Time Series,0.19,+0.08,-0.02,https://db-engines.com/en/system/Hawkular+Metrics,
353.,369.,334.,HyperLevelDB,Key-value,0.18,+0.05,-0.02,https://db-engines.com/en/system/HyperLevelDB,
354.,345.,270.,TinkerGraph,Graph,0.18,-0.06,-0.31,https://db-engines.com/en/system/TinkerGraph,
355.,350.,289.,ArcadeDB,Multi-model,0.18,-0.03,-0.20,https://db-engines.com/en/system/ArcadeDB,"Document store,Graph DBMS,Key-value store,Time Series DBMS"
356.,351.,345.,IBM Db2 Event Store,Multi-model,0.17,-0.04,-0.02,https://db-engines.com/en/system/IBM+Db2+Event+Store,"Event Store,Time Series DBMS"
357.,360.,,GreptimeDB,Time Series,0.17,+0.01,,https://db-engines.com/en/system/GreptimeDB,
358.,338.,338.,BrightstarDB,RDF,0.17,-0.11,-0.04,https://db-engines.com/en/system/BrightstarDB,
359.,334.,352.,Quasardb,Time Series,0.16,-0.12,0.00,https://db-engines.com/en/system/Quasardb,
360.,381.,325.,SiriDB,Time Series,0.16,+0.09,-0.06,https://db-engines.com/en/system/SiriDB,
361.,347.,348.,EsgynDB,Relational,0.16,-0.06,-0.02,https://db-engines.com/en/system/EsgynDB,
362.,370.,358.,TomP2P,Key-value,0.15,+0.03,+0.00,https://db-engines.com/en/system/TomP2P,
363.,384.,350.,ActorDB,Relational,0.15,+0.09,-0.01,https://db-engines.com/en/system/ActorDB,
364.,356.,328.,Acebase,Document,0.15,-0.02,-0.06,https://db-engines.com/en/system/Acebase,
365.,380.,343.,H2GIS,"Spatial DBMS, Multi-model",0.15,+0.07,-0.04,https://db-engines.com/en/system/H2GIS,"Spatial DBMS,Relational DBMS"
366.,364.,363.,Linter,"Relational, Multi-model",0.14,0.00,+0.01,https://db-engines.com/en/system/Linter,"Relational DBMS,Spatial DBMS"
367.,367.,365.,LedisDB,Key-value,0.13,0.00,+0.02,https://db-engines.com/en/system/LedisDB,
368.,365.,361.,Blueflood,Time Series,0.13,-0.02,-0.02,https://db-engines.com/en/system/Blueflood,
369.,368.,358.,WhiteDB,Document,0.12,-0.01,-0.03,https://db-engines.com/en/system/WhiteDB,
370.,376.,347.,RaptorDB,Document,0.12,+0.02,-0.06,https://db-engines.com/en/system/RaptorDB,
370.,359.,339.,TerarkDB,Key-value,0.12,-0.04,-0.08,https://db-engines.com/en/system/TerarkDB,
372.,371.,364.,Alibaba Cloud TSDB,Time Series,0.12,+0.01,+0.01,https://db-engines.com/en/system/Alibaba+Cloud+TSDB,
373.,353.,,YTsaurus,Multi-model,0.12,-0.07,,https://db-engines.com/en/system/YTsaurus,"Document store,Key-value store"
374.,366.,334.,OrigoDB,Multi-model,0.12,-0.02,-0.09,https://db-engines.com/en/system/OrigoDB,"Document store,Object oriented DBMS"
375.,363.,318.,Transwarp KunDB,Relational,0.11,-0.04,-0.16,https://db-engines.com/en/system/Transwarp+KunDB,
376.,372.,382.,Indica,Search engine,0.10,-0.01,+0.10,https://db-engines.com/en/system/Indica,
377.,400.,323.,iBoxDB,Document,0.09,+0.09,-0.14,https://db-engines.com/en/system/iBoxDB,
378.,379.,382.,DataFS,"Object oriented, Multi-model",0.09,+0.00,+0.09,https://db-engines.com/en/system/DataFS,"Object oriented DBMS,Graph DBMS"
379.,383.,333.,VelocityDB,Multi-model,0.08,+0.01,-0.12,https://db-engines.com/en/system/VelocityDB,"Graph DBMS,Object oriented DBMS"
380.,361.,,openGemini,Time Series,0.08,-0.08,,https://db-engines.com/en/system/openGemini,
381.,382.,367.,OushuDB,Relational,0.07,-0.01,-0.01,https://db-engines.com/en/system/OushuDB,
382.,358.,334.,Edge Intelligence,Relational,0.07,-0.10,-0.14,https://db-engines.com/en/system/Edge+Intelligence,
383.,385.,370.,AgensGraph,Multi-model,0.06,+0.00,0.00,https://db-engines.com/en/system/AgensGraph,"Graph DBMS,Relational DBMS"
384.,377.,369.,Warp 10,Time Series,0.06,-0.04,-0.01,https://db-engines.com/en/system/Warp+10,
385.,388.,371.,ScaleOut StateServer,Key-value,0.06,+0.02,0.00,https://db-engines.com/en/system/ScaleOut+StateServer,
386.,373.,376.,InfinityDB,Key-value,0.05,-0.06,+0.02,https://db-engines.com/en/system/InfinityDB,
387.,389.,,gStore,Multi-model,0.05,+0.01,,https://db-engines.com/en/system/gStore,"Graph DBMS,RDF store"
388.,400.,382.,Newts,Time Series,0.04,+0.04,+0.04,https://db-engines.com/en/system/Newts,
389.,391.,378.,WakandaDB,Object oriented,0.03,+0.00,+0.02,https://db-engines.com/en/system/WakandaDB,
390.,400.,382.,DaggerDB,Relational,0.03,+0.03,+0.03,https://db-engines.com/en/system/DaggerDB,
391.,387.,382.,NSDb,Time Series,0.03,-0.01,+0.03,https://db-engines.com/en/system/NSDb,
392.,392.,382.,Cachelot.io,Key-value,0.02,-0.01,+0.02,https://db-engines.com/en/system/Cachelot.io,
393.,393.,368.,SmallSQL,Relational,0.02,+0.00,-0.05,https://db-engines.com/en/system/SmallSQL,
394.,394.,372.,SparkleDB,RDF,0.02,+0.00,-0.04,https://db-engines.com/en/system/SparkleDB,
395.,374.,358.,JethroData,Relational,0.02,-0.09,-0.13,https://db-engines.com/en/system/JethroData,
396.,395.,373.,Resin Cache,Key-value,0.01,0.00,-0.03,https://db-engines.com/en/system/Resin+Cache,
397.,396.,375.,SWC-DB,"Wide column, Multi-model",0.01,+0.00,-0.02,https://db-engines.com/en/system/SWC-DB,"Wide column store,Time Series DBMS"
398.,397.,380.,Faircom EDGE,Multi-model,0.01,+0.00,+0.00,https://db-engines.com/en/system/Faircom+EDGE,"Key-value store,Relational DBMS"
399.,390.,382.,Transwarp ArgoDB,"Relational, Multi-model",0.01,-0.03,+0.01,https://db-engines.com/en/system/Transwarp+ArgoDB,"Relational DBMS,Search engine"
400.,399.,381.,SwayDB,Key-value,0.00,+0.00,0.00,https://db-engines.com/en/system/SwayDB,
401.,400.,382.,BergDB,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/BergDB,
401.,400.,382.,CortexDB,Multi-model,0.00,±0.00,±0.00,https://db-engines.com/en/system/CortexDB,"Document store,Key-value store"
401.,400.,382.,CovenantSQL,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/CovenantSQL,
401.,400.,382.,EdgelessDB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/EdgelessDB,
401.,400.,382.,Galaxybase,Graph,0.00,±0.00,±0.00,https://db-engines.com/en/system/Galaxybase,
401.,400.,382.,Helium,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/Helium,
401.,400.,355.,HGraphDB,Graph,0.00,±0.00,-0.16,https://db-engines.com/en/system/HGraphDB,
401.,398.,379.,JaguarDB,Multi-model,0.00,0.00,-0.01,https://db-engines.com/en/system/JaguarDB,"Key-value store,Vector DBMS"
401.,400.,382.,JasDB,Document,0.00,±0.00,±0.00,https://db-engines.com/en/system/JasDB,
401.,400.,382.,K-DB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/K-DB,
401.,400.,377.,Rizhiyi,"Search engine, Multi-model",0.00,±0.00,-0.02,https://db-engines.com/en/system/Rizhiyi,"Search engine,Time Series DBMS"
401.,400.,374.,Sadas Engine,Relational,0.00,±0.00,-0.04,https://db-engines.com/en/system/Sadas+Engine,
401.,400.,382.,searchxml,Multi-model,0.00,±0.00,±0.00,https://db-engines.com/en/system/searchxml,"Native XML DBMS,Search engine"
401.,400.,382.,SpaceTime,"Spatial DBMS, Multi-model",0.00,±0.00,±0.00,https://db-engines.com/en/system/SpaceTime,"Spatial DBMS,Relational DBMS"
401.,400.,382.,Tkrzw,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/Tkrzw,
401.,386.,,Transwarp Hippo,Vector,0.00,-0.05,,https://db-engines.com/en/system/Transwarp+Hippo,
401.,400.,382.,Transwarp StellarDB,Graph,0.00,±0.00,±0.00,https://db-engines.com/en/system/Transwarp+StellarDB,
