DBMS,Rank_Dec-2023,Rank_Nov-2023,Rank_Dec-2022,Database Model,Score_Dec-2023,Score_Nov-2023,Score_Dec-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
dBASE,41.0,42.0,43.0,Relational,14.59,+0.92,+0.40,https://db-engines.com/en/system/dBASE,,Asthon Tate,"dBase was one of the first databases with a development environment on PC's. Its latest version dBase V is still sold as dBase classic, which needs a DOS Emulation. The up-to-date product is dBase plus.",1979.0,"dBASE 2019, 2019",commercial,,no
OpenSearch,42.0,44.0,48.0,"Search engine, Multi-model",13.6,+0.29,+3.28,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS",Amazon Web Services,"A distributed, RESTful search and analytics engine forked from,Elasticsearch,and based on,Apache Lucene",2021.0,"2.5.0, January 2023",Open Source,Apache Version 2.0,no
Apache Flink,43.0,45.0,,Relational,13.44,+0.19,,https://db-engines.com/en/system/Apache+Flink,,Apache Software Foundation and contributors,"A framework and distributed processing engine for stateful computations over unbounded and bounded data streams, delivering full database capabilities with the addition of Table Store.",,"1.18.0, October 2023",Open Source,,no
Vertica,44.0,41.0,38.0,"Relational, Multi-model",13.3,-0.46,-5.21,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS",OpenText,"Cloud or off-cloud analytical database and query engine for structured and semi-structured streaming and batch data. Machine learning platform with built-in algorithms, data preparation capabilities, and model evaluation and management via SQL or Python.",2005.0,"12.0.3, January 2023",commercial,Limited community edition free,no
Netezza,45.0,43.0,40.0,Relational,13.17,-0.44,-3.62,https://db-engines.com/en/system/Netezza,,IBM,Data warehouse and analytics appliance part of IBM PureSystems,2000.0,,commercial,,no
CouchDB,46.0,46.0,41.0,"Document, Multi-model",13.05,+0.25,-2.47,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS",Apache Software Foundation,"A native JSON -,document store,inspired by Lotus Notes, scalable from globally distributed server-clusters down to mobile phones.",2005.0,"3.3.3, December 2023",Open Source,Apache version 2,no
Google Cloud Firestore,47.0,47.0,47.0,Document,11.05,+0.04,-0.09,https://db-engines.com/en/system/Google+Cloud+Firestore,,Google,"Cloud Firestore is an auto-scaling document database for storing, syncing, and querying data for mobile and web apps. It offers seamless integration with other Firebase and Google Cloud Platform products.",2017.0,,commercial,,yes
Greenplum,48.0,48.0,46.0,"Relational, Multi-model",10.57,-0.17,-0.75,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS",Pivotal Software Inc.,"Analytic Database platform built on,PostgreSQL,. Full name is Pivotal Greenplum Database",2005.0,"7.0.0, September 2023",Open Source,Apache 2.0,no
Amazon Aurora,49.0,49.0,45.0,"Relational, Multi-model",9.47,-0.22,-2.14,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store",Amazon,MySQL and PostgreSQL compatible cloud service by Amazon,2015.0,,commercial,,yes
H2,50.0,50.0,52.0,"Relational, Multi-model",8.71,-0.33,+0.04,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS",Thomas Mueller,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",2005.0,"2.2.220, July 2023",Open Source,"dual-licence (Mozilla public license, Eclipse public license)",no
etcd,51.0,52.0,55.0,Key-value,8.38,-0.23,+0.42,https://db-engines.com/en/system/etcd,,,"A distributed reliable,key-value store",,"3.4, August 2019",Open Source,Apache Version 2.0,no
Prometheus,52.0,56.0,66.0,Time Series,8.34,+0.52,+2.05,https://db-engines.com/en/system/Prometheus,,,Open-source TimeSeries DBMS and monitoring system,2015.0,,Open Source,Apache 2.0,no
Kdb,53.0,51.0,59.0,Multi-model,8.28,-0.59,+1.05,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS","Kx Systems, a division of First Derivatives plc","High performance,Time Series DBMS",2000.0,"3.6, May 2018",commercial,free 32-bit version,no
