DBMS,Rank_Dec-2023,Rank_Nov-2023,Rank_Dec-2022,Database Model,Score_Dec-2023,Score_Nov-2023,Score_Dec-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Axibase,310.0,281.0,296.0,Time Series,0.38,-0.09,+0.06,https://db-engines.com/en/system/Axibase,,Axibase Corporation,"Scalable TimeSeries DBMS based on,HBase,with integrated rule engine and visualization",2013.0,15585,commercial,"Community Edition (single node) is free, Enterprise Edition (distributed) is paid",no
XtremeData,311.0,361.0,309.0,Relational,0.36,+0.21,+0.11,https://db-engines.com/en/system/XtremeData,,,,,,commercial,limited edition free,no
Faircom DB,312.0,314.0,338.0,Multi-model,0.36,+0.06,+0.18,https://db-engines.com/en/system/Faircom+DB,"Key-value store,Relational DBMS",FairCom Corporation,Native high-speed multi-model DBMS for relational and key-value store data simultaneously accessible through SQL and NoSQL APIs.,1979.0,"V12, November 2020",commercial,"Restricted, free version available",no
AnzoGraph DB,313.0,292.0,307.0,Multi-model,0.36,-0.06,+0.10,https://db-engines.com/en/system/AnzoGraph+DB,"Graph DBMS,RDF store",Cambridge Semantics,"Scalable graph database built for online analytics and data harmonization with MPP scaling, high-performance analytical algorithms and reasoning, and virtualization",2018.0,"2.3, January 2021",commercial,free trial version available,no
Cloudflare Workers KV,314.0,313.0,263.0,Key-value,0.36,+0.05,-0.15,https://db-engines.com/en/system/Cloudflare+Workers+KV,,Cloudflare,"A global, low-latency,,key-value store,for applications on Cloudflare with exceptionally high read volumes and low-latency.",2018.0,,commercial,,yes
Machbase Neo,315.0,288.0,311.0,Time Series,0.35,-0.08,+0.11,https://db-engines.com/en/system/Machbase+Neo,,Machbase,TimeSeries DBMS for AIoT and BigData,2013.0,"V8.0, August 2023",commercial,free test version available,no
Elliptics,316.0,272.0,342.0,Key-value,0.35,-0.19,+0.18,https://db-engines.com/en/system/Elliptics,,,Distributed Key-value Store,2009.0,,Open Source,,no
STSdb,317.0,308.0,345.0,Key-value,0.35,+0.01,+0.19,https://db-engines.com/en/system/STSdb,,STS Soft SC,Key-Value Store with special method for indexing,2011.0,"4.0.8, September 2015",Open Source,"GPLv2, commercial license available",no
Actian PSQL,318.0,331.0,312.0,Relational,0.35,+0.08,+0.11,https://db-engines.com/en/system/Actian+PSQL,,,RDBMS used for embedded databases,1982.0,"v15 SP2 (15.20), August 2021",commercial,,no
Dydra,319.0,326.0,330.0,RDF,0.34,+0.08,+0.15,https://db-engines.com/en/system/Dydra,,,,2010.0,,commercial,,no
Tokyo Tyrant,320.0,335.0,250.0,Key-value,0.34,+0.09,-0.25,https://db-engines.com/en/system/Tokyo+Tyrant,,,,2007.0,,Open Source,GPL,no
Speedb,321.0,319.0,301.0,Key-value,0.34,+0.05,+0.05,https://db-engines.com/en/system/Speedb,,Speedb,"An embeddable, high performance key-value store optimized for write-intensive workloads, which can be used as a drop-in replacement for,RocksDB",2020.0,,Open Source,Apache Version 2.0; commercial license available,no
Bangdb,322.0,325.0,321.0,Multi-model,0.33,+0.07,+0.12,https://db-engines.com/en/system/Bangdb,"Document store,Graph DBMS,Time Series DBMS,Spatial DBMS","Sachin Sinha, BangDB","Converged and high performance database for device data, events, time series, document and graph",2012.0,"BangDB 2.0, October 2021",Open Source,BSD 3,no
Sparksee,323.0,343.0,308.0,Graph,0.33,+0.11,+0.08,https://db-engines.com/en/system/Sparksee,,,,2008.0,"v6.0, 2021",commercial,,no
AntDB,324.0,303.0,,Relational,0.32,-0.03,,https://db-engines.com/en/system/AntDB,,AsiaInfo Technologies Limited,"A scalable, multi-tenant, MPP-architectured,RDBMS,for OLTP and OLAP operations, highly compatible with,Oracle",,,commercial,,no
TerminusDB,325.0,337.0,284.0,"Graph, Multi-model",0.32,+0.07,-0.06,https://db-engines.com/en/system/TerminusDB,"Graph DBMS,Document store,RDF store",DataChemist Ltd.,"Scalable,Graph Database,platform making enterprise data available by exploiting inferred entities and relationships",2018.0,"11.0.0, January 2023",Open Source,GPL V3,no
Skytable,326.0,336.0,,Key-value,0.32,+0.07,,https://db-engines.com/en/system/Skytable,,,"A free and open-source,Key-value Store,that aims to provide flexible data modeling at scale. Formerly also know as TerrabaseDB.",2020.0,,Open Source,GNU AGPL 3.0,no
MyScale,327.0,344.0,,Multi-model,0.32,+0.10,,https://db-engines.com/en/system/MyScale,"Relational DBMS,Vector DBMS",,"Built on,Clickhouse,, MyScale integrates vector search and SQL analytics and is used for large scale AI applications",2022.0,,commercial,,yes
Riak TS,328.0,312.0,290.0,Time Series,0.31,0.00,-0.02,https://db-engines.com/en/system/Riak+TS,,"Open Source, formerly Basho Technologies","Riak TS is a distributed NoSQL database optimized for time series data and based on,Riak KV",2015.0,"3.0.0, September 2022",Open Source,,no
Upscaledb,329.0,366.0,345.0,Key-value,0.3,+0.17,+0.15,https://db-engines.com/en/system/Upscaledb,,,"An embedded,key-value store,with SQL-style analytical functions",2007.0,,Open Source,Apache Version 2,no
Badger,330.0,338.0,358.0,Key-value,0.3,+0.06,+0.17,https://db-engines.com/en/system/Badger,,DGraph Labs,"An embeddable, persistent, simple and fast,Key-Value Store,, written purely in Go.",2017.0,,Open Source,Apache 2.0,no
Fujitsu Enterprise Postgres,331.0,306.0,359.0,"Relational, Multi-model",0.3,-0.04,+0.18,https://db-engines.com/en/system/Fujitsu+Enterprise+Postgres,"Relational DBMS,Document store,Spatial DBMS","PostgreSQL Global Development Group, Fujitsu Australia Software Technology","Enterprise-grade,PostgreSQL,-based DBMS with security enhancements such as Transparent Data Encryption and Data Masking, plus high-availability and performance improvement features.",,"Fujitsu Enterprise Postgres 14, January 2022",commercial,,no
Marqo,332.0,299.0,,Search engine,0.3,-0.09,,https://db-engines.com/en/system/Marqo,,,"An open source vector-based,search engine",2022.0,,Open Source,Apache Version 2.0,no
PieCloudDB,333.0,309.0,,Relational,0.3,-0.04,,https://db-engines.com/en/system/PieCloudDB,,OpenPie,A cloud-native analytic database platform with new technologoy for elastic MPP,,"2.1, January 2023",commercial,,yes
Quasardb,334.0,318.0,315.0,Time Series,0.29,0.00,+0.06,https://db-engines.com/en/system/Quasardb,,quasardb,"Distributed, high-performance timeseries database",2009.0,"3.13.3, April 2022",commercial,"Free community edition, Non-profit organizations and non-commercial usage are eligible for free licenses",no
Valentina Server,335.0,323.0,271.0,Relational,0.29,+0.02,-0.15,https://db-engines.com/en/system/Valentina+Server,,Paradigma Software,Object-relational database and reports server,1999.0,5.7.5,commercial,,no
Manticore Search,336.0,347.0,336.0,"Search engine, Multi-model",0.28,+0.07,+0.09,https://db-engines.com/en/system/Manticore+Search,"Search engine,Time Series DBMS",Manticore Software,"Multi-storage database for search, including full-text search.",2017.0,"6.0, February 2023",Open Source,GPL version 2,no
HugeGraph,337.0,322.0,257.0,Graph,0.27,+0.00,-0.25,https://db-engines.com/en/system/HugeGraph,,Baidu,"A fast-speed and highly-scalable,Graph DBMS",2018.0,0.9,Open Source,Apache Version 2.0,no
BrightstarDB,338.0,371.0,363.0,RDF,0.27,+0.15,+0.17,https://db-engines.com/en/system/BrightstarDB,,,,2012.0,,Open Source,,no
Siaqodb,339.0,362.0,343.0,Object oriented,0.27,+0.12,+0.11,https://db-engines.com/en/system/Siaqodb,,,,,,commercial,,no
XTDB,340.0,354.0,314.0,Document,0.27,+0.09,+0.04,https://db-engines.com/en/system/XTDB,,Juxt Ltd.,A general purpose database with bitemporal SQL and Datalog and graph queries,2019.0,"1.19, September 2021",Open Source,MIT License,no
BigObject,341.0,345.0,324.0,Relational,0.26,+0.05,+0.06,https://db-engines.com/en/system/BigObject,,"BigObject, Inc.",Analytic DBMS for real-time computations and queries,2015.0,,commercial,free community edition available,no
GraphBase,342.0,334.0,294.0,Graph,0.26,+0.01,-0.06,https://db-engines.com/en/system/GraphBase,,,,,,commercial,,no
Immudb,343.0,294.0,304.0,"Key-value, Multi-model",0.26,-0.16,-0.02,https://db-engines.com/en/system/Immudb,"Key-value store,Relational DBMS",Codenotary,An open source immutable (append-only) database with cryptographic verification which makes it tamper-resistant and fully auditable.,2020.0,"1.2.3, April 2022",Open Source,Apache Version 2.0,no
Tibco ComputeDB,344.0,321.0,306.0,Relational,0.25,-0.03,-0.01,https://db-engines.com/en/system/Tibco+ComputeDB,,Tibco,Distributed in-memory data store for real-time operational analytics based on Apache Spark,2015.0,,Open Source,Apache 2.0,no
TinkerGraph,345.0,327.0,273.0,Graph,0.24,-0.02,-0.19,https://db-engines.com/en/system/TinkerGraph,,,"A lightweight, in-memory graph engine that serves as a reference implementation of the TinkerPop3 API",2009.0,,Open Source,Apache 2.0,no
Alibaba Cloud Table Store,346.0,330.0,298.0,Wide column,0.23,-0.03,-0.08,https://db-engines.com/en/system/Alibaba+Cloud+Table+Store,,Alibaba,"A fully managed,Wide Column Store,for large quantities of semi-structured data with real-time access",2016.0,,commercial,,yes
EsgynDB,347.0,320.0,335.0,Relational,0.22,-0.07,+0.03,https://db-engines.com/en/system/EsgynDB,,Esgyn,"Enterprise-class SQL-on-Hadoop solution, powered by,Apache Trafodion",2015.0,,commercial,,no
Eloquera,348.0,352.0,360.0,Object oriented,0.22,+0.04,+0.10,https://db-engines.com/en/system/Eloquera,,,,2008.0,6.3.3; January 2014,commercial,free licenses,no
Kyoto Tycoon,349.0,367.0,320.0,Key-value,0.21,+0.08,0.00,https://db-engines.com/en/system/Kyoto+Tycoon,,,,2009.0,,Open Source,GPL,no
ArcadeDB,350.0,341.0,297.0,Multi-model,0.21,-0.02,-0.10,https://db-engines.com/en/system/ArcadeDB,"Document store,Graph DBMS,Key-value store,Time Series DBMS",Arcade Data,"Fast and scalable multi-model DBMS, originally forked from,OrientDB,but most of the code has been rewritten",2021.0,September 2021,Open Source,Apache Version 2.0,no
IBM Db2 Event Store,351.0,328.0,317.0,Multi-model,0.21,-0.06,-0.02,https://db-engines.com/en/system/IBM+Db2+Event+Store,"Event Store,Time Series DBMS",IBM,Distributed Event Store optimized for Internet of Things use cases,2017.0,2.0,commercial,free developer edition available,no
SenseiDB,352.0,356.0,345.0,Document,0.19,+0.02,+0.04,https://db-engines.com/en/system/SenseiDB,,,,2010.0,,Open Source,Apache Version 2,no
YTsaurus,353.0,363.0,,Multi-model,0.19,+0.05,,https://db-engines.com/en/system/YTsaurus,"Document store,Key-value store",Yandex,YTsaurus is an open source platform for distributed storage and processing.,2023.0,,Open Source,"Apache License, Version 2.0",no
Tigris,354.0,349.0,,Multi-model,0.19,-0.01,,https://db-engines.com/en/system/Tigris,"Document store,Key-value store,Search engine,Time Series DBMS","Tigris Data, Inc.","A horizontally scalable, ACID transactional, document database available both as a fully managed cloud service and for deployment on self-managed infrastructure",2022.0,,Open Source,Apache Version 2.0,no
Ultipa,355.0,329.0,337.0,Graph,0.18,-0.08,0.00,https://db-engines.com/en/system/Ultipa,,Ultipa,"High performance,Graph DBMS,supporting HTAP high availability cluster deployment",2019.0,,commercial,,no
Acebase,356.0,375.0,303.0,Document,0.18,+0.07,-0.10,https://db-engines.com/en/system/Acebase,,,"A fast, low memory, transactional,Document Store,, inspired by,Firebase Realtime Database",2018.0,,Open Source,MIT License,no
Dragonfly,357.0,348.0,,Key-value,0.17,-0.02,,https://db-engines.com/en/system/Dragonfly,,DragonflyDB team and community contributors,"A drop-in,Redis,replacement that scales vertically to support millions of operations per second and terabyte sized workloads, all on a single instance",2023.0,"1.0, March 2023",Open Source,BSL 1.1,no
Edge Intelligence,358.0,397.0,330.0,Relational,0.17,+0.13,-0.03,https://db-engines.com/en/system/Edge+Intelligence,,,A Big Data Analytics Platform,2012.0,,commercial,,no
TerarkDB,359.0,358.0,345.0,Key-value,0.17,+0.01,+0.01,https://db-engines.com/en/system/TerarkDB,,Terark,"A,key-value store,forked from,RocksDB,with advanced compression algorithms. It can be used standalone or as a storage engine for,MySQL,and,MongoDB",2016.0,,commercial,restricted open source version available,no
GreptimeDB,360.0,339.0,,Time Series,0.16,-0.07,,https://db-engines.com/en/system/GreptimeDB,,Greptime Inc.,"An open source,Time Series DBMS,built for increased scalability, high performance and efficiency",2022.0,,Open Source,Apache Version 2.0,no
openGemini,361.0,365.0,,Time Series,0.16,+0.02,,https://db-engines.com/en/system/openGemini,,Huawei and openGemini community,"An open source distributed,Time Series DBMS,with high concurrency, high performance, and high scalability",2022.0,"1.1, July 2023",Open Source,Apache Version 2.0,no
SiteWhere,362.0,377.0,356.0,Time Series,0.15,+0.05,+0.01,https://db-engines.com/en/system/SiteWhere,,SiteWhere,M2M integration platform for persisting/querying time series data,2010.0,,Open Source,Common Public Attribution License Version 1.0,no
Transwarp KunDB,363.0,342.0,329.0,Relational,0.14,-0.08,-0.05,https://db-engines.com/en/system/Transwarp+KunDB,,Transwarp,"OLTP DBMS based on a distributed architecture and highly compatible with,MySQL,and,Oracle",,,commercial,,no
Linter,364.0,346.0,357.0,"Relational, Multi-model",0.14,-0.07,+0.01,https://db-engines.com/en/system/Linter,"Relational DBMS,Spatial DBMS",relex.ru,RDBMS for high security requirements,1990.0,,commercial,,no
Blueflood,365.0,355.0,345.0,Time Series,0.14,-0.03,-0.01,https://db-engines.com/en/system/Blueflood,,Rackspace,"Scalable TimeSeries DBMS based on,Cassandra",2013.0,,Open Source,Apache 2.0,no
OrigoDB,366.0,359.0,345.0,Multi-model,0.14,-0.01,-0.01,https://db-engines.com/en/system/OrigoDB,"Document store,Object oriented DBMS",Robert Friberg et al,A fully ACID in-memory object graph database,2009.0,,Open Source,,no
LedisDB,367.0,394.0,341.0,Key-value,0.13,+0.09,-0.03,https://db-engines.com/en/system/LedisDB,,,,2014.0,,Open Source,MIT-License,no
WhiteDB,368.0,397.0,360.0,Document,0.13,+0.10,+0.02,https://db-engines.com/en/system/WhiteDB,,,,2008.0,,Open Source,GPL V3,no
HyperLevelDB,369.0,353.0,345.0,Key-value,0.13,-0.05,-0.02,https://db-engines.com/en/system/HyperLevelDB,,,"A fork of Google's,LevelDB",2010.0,,Open Source,,no
TomP2P,370.0,360.0,324.0,Key-value,0.13,-0.03,-0.08,https://db-engines.com/en/system/TomP2P,,,Distributed Key-Value store,2004.0,4.4,Open Source,Apache Version 2,no
Alibaba Cloud TSDB,371.0,357.0,362.0,Time Series,0.12,-0.05,+0.01,https://db-engines.com/en/system/Alibaba+Cloud+TSDB,,Alibaba,"A stable, reliable, and cost-effective online high-performance time series database service",,,commercial,,yes
Indica,372.0,370.0,377.0,Search engine,0.11,-0.01,+0.11,https://db-engines.com/en/system/Indica,,,Enterprise Search Engine,2014.0,,commercial,parts of it are open source,no
InfinityDB,373.0,372.0,377.0,Key-value,0.11,-0.01,+0.11,https://db-engines.com/en/system/InfinityDB,,Boiler Bay Inc.,"A Java embedded,Key-Value Store,which extends the Java Map interface",2002.0,4.0,commercial,,no
JethroData,374.0,404.0,345.0,Relational,0.11,+0.10,-0.04,https://db-engines.com/en/system/JethroData,,JethroData,SQL Query Engine for Hadoop,2013.0,,commercial,,no
Hawkular Metrics,375.0,386.0,340.0,Time Series,0.11,+0.04,-0.06,https://db-engines.com/en/system/Hawkular+Metrics,,Community supported by Red Hat,"Hawkular metrics is the metric storage of the Red Hat sponsored Hawkular monitoring system. It is based on,Cassandra,.",2014.0,,Open Source,Apache 2.0,no
RaptorDB,376.0,405.0,345.0,Document,0.11,+0.11,-0.05,https://db-engines.com/en/system/RaptorDB,,,,,,Open Source,Apache Version 2,no
Warp 10,377.0,364.0,364.0,Time Series,0.1,-0.04,+0.01,https://db-engines.com/en/system/Warp+10,,SenX,"TimeSeries DBMS specialized on timestamped geo data based on,LevelDB,or,HBase",2015.0,,Open Source,Apache License 2.0,no
NosDB,378.0,373.0,330.0,Document,0.09,-0.01,-0.10,https://db-engines.com/en/system/NosDB,,Alachisoft,"Scalable JSON based,document store,for .NET",2016.0,,Open Source,Professional and Enterprise Versions available,no
DataFS,379.0,384.0,377.0,"Object oriented, Multi-model",0.09,+0.01,+0.09,https://db-engines.com/en/system/DataFS,"Object oriented DBMS,Graph DBMS",Mobiland AG,All data is stored inside objects which are linked by so-called link attributes. Objects consist of classes which can be extended and de-extended at runtime. Graphs can be defined with a struct.,2018.0,"1.1.263, October 2022",commercial,,no
H2GIS,380.0,350.0,324.0,"Spatial DBMS, Multi-model",0.08,-0.12,-0.13,https://db-engines.com/en/system/H2GIS,"Spatial DBMS,Relational DBMS",CNRS,"Spatial extension of,H2",2013.0,,Open Source,LGPL 3.0,no
SiriDB,381.0,376.0,330.0,Time Series,0.08,-0.03,-0.12,https://db-engines.com/en/system/SiriDB,,Cesbit,"Open Source,Time Series DBMS",2017.0,,Open Source,MIT License,no
OushuDB,382.0,369.0,365.0,Relational,0.07,-0.05,-0.01,https://db-engines.com/en/system/OushuDB,,Oushu,"A data warehouse powered by,Apache HAWQ,supporting descriptive analysis and advanced machine learning",,"4.0.1, August 2020",commercial,,no
VelocityDB,383.0,351.0,324.0,Multi-model,0.07,-0.12,-0.14,https://db-engines.com/en/system/VelocityDB,"Graph DBMS,Object oriented DBMS",VelocityDB Inc,A .NET Object Database that can be embedded/distributed and extended to a graph data model (VelocityGraph),2011.0,7.x,commercial,,no
ActorDB,384.0,397.0,324.0,Relational,0.06,+0.03,-0.14,https://db-engines.com/en/system/ActorDB,,,"A distributed, consistent,RDBMS",2014.0,,Open Source,Mozilla Public License 2.0,no
AgensGraph,385.0,387.0,369.0,Multi-model,0.06,0.00,-0.01,https://db-engines.com/en/system/AgensGraph,"Graph DBMS,Relational DBMS",Bitnine Global Inc.,"Multi-model database supporting relational and graph data models and built upon,PostgreSQL",2016.0,"2.1, December 2018",Open Source,Apache License 2.0,no
Transwarp Hippo,386.0,374.0,,Vector,0.05,-0.05,,https://db-engines.com/en/system/Transwarp+Hippo,,,"Cloud-native distributed,Vector DBMS,that supports storage, retrieval, and management of massive vector-based datasets",2023.0,"1.0, May 2023",commercial,,no
NSDb,387.0,379.0,377.0,Time Series,0.04,-0.05,+0.04,https://db-engines.com/en/system/NSDb,,,"Scalable, High-performance,Time Series DBMS,designed for Real-time Analytics on top of Kubernetes",2017.0,,Open Source,Apache Version 2.0,no
ScaleOut StateServer,388.0,391.0,367.0,Key-value,0.04,-0.01,-0.04,https://db-engines.com/en/system/ScaleOut+StateServer,,,,2005.0,,commercial,,no
gStore,389.0,368.0,,Multi-model,0.04,-0.09,,https://db-engines.com/en/system/gStore,"Graph DBMS,RDF store",,"A native,Graph DBMS,to store and maintain very large RDF datasets.",2016.0,"1.2, November 2023",Open Source,BSD,no
Transwarp ArgoDB,390.0,378.0,377.0,"Relational, Multi-model",0.04,-0.06,+0.04,https://db-engines.com/en/system/Transwarp+ArgoDB,"Relational DBMS,Search engine",Transwarp,Distributed Analytical Database to replace Hadoop+MPP hybrid architecture,,,commercial,,no
WakandaDB,391.0,381.0,374.0,Object oriented,0.03,-0.05,+0.02,https://db-engines.com/en/system/WakandaDB,,Wakanda SAS,WakandaDB is embedded in a server that provides a REST API and a server-side javascript engine to access data,2012.0,"2.7.0 (April 29, 2019), April 2019",Open Source,"AGPLv3, extended commercial license available",no
Cachelot.io,392.0,389.0,377.0,Key-value,0.03,-0.03,+0.03,https://db-engines.com/en/system/Cachelot.io,,,In-memory caching system,2015.0,,Open Source,Simplified BSD License,no
SmallSQL,393.0,400.0,366.0,Relational,0.02,+0.00,-0.06,https://db-engines.com/en/system/SmallSQL,,,,2005.0,,Open Source,L-GPL,no
SparkleDB,394.0,402.0,368.0,RDF,0.02,+0.00,-0.05,https://db-engines.com/en/system/SparkleDB,,,,2012.0,,commercial,,no
Resin Cache,395.0,403.0,370.0,Key-value,0.01,0.00,-0.04,https://db-engines.com/en/system/Resin+Cache,,,Distributed cache as part of an application server,1998.0,"4.0.66, December 2021",Open Source,"GPLv3, extended commercial license available",no
SWC-DB,396.0,393.0,371.0,"Wide column, Multi-model",0.01,-0.04,-0.04,https://db-engines.com/en/system/SWC-DB,"Wide column store,Time Series DBMS",Alex Kashirin,"A high performance, scalable,Wide Column DBMS",2020.0,"0.5, April 2021",Open Source,GPL V3,no
Faircom EDGE,397.0,388.0,372.0,Multi-model,0.01,-0.05,-0.02,https://db-engines.com/en/system/Faircom+EDGE,"Key-value store,Relational DBMS",FairCom Corporation,"FairCom EDGE is an Industry 4.0 solution built to integrate, collect, aggregate and synchronize mission-critical data in edge computing environments",1979.0,"V3, October 2020",commercial,"Restricted, free version available",no
JaguarDB,398.0,380.0,377.0,Multi-model,0.0,-0.08,+0.00,https://db-engines.com/en/system/JaguarDB,"Key-value store,Vector DBMS","DataJaguar, Inc.","Performant, highly scalable DBMS for AI and IoT applications",2015.0,3.3 July 2023,Open Source,GPL V3.0,no
SwayDB,399.0,395.0,376.0,Key-value,0.0,-0.04,0.00,https://db-engines.com/en/system/SwayDB,,Simer Plaha,"An embeddable, non-blocking, type-safe,key-value store,for single or multiple disks and in-memory storage",2018.0,,Open Source,GNU Affero GPL V3.0,no
BergDB,400.0,405.0,377.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/BergDB,,,BergDB is a Java/.NET in-process time-key-value store.,2013.0,,Open Source,Gnu Affero General Public License (AGPL),no
CortexDB,400.0,405.0,377.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/CortexDB,"Document store,Key-value store",,,2014.0,,commercial,,no
CovenantSQL,400.0,405.0,377.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/CovenantSQL,,,"A decentralized blockchain,relational DBMS,, built with,SQLite",2018.0,,Open Source,,no
DaggerDB,400.0,405.0,377.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/DaggerDB,,,Simple olap analytics DBMS built for high performance querying in real time,2014.0,,commercial,,no
EdgelessDB,400.0,405.0,377.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/EdgelessDB,,Edgeless Systems,"A,MariaDB,-based, confidential,RDBMS,that runs entirely inside runtime-encrypted Intel SGX enclaves",2021.0,,Open Source,GPL V2,no
Galaxybase,400.0,383.0,375.0,Graph,0.0,-0.07,0.00,https://db-engines.com/en/system/Galaxybase,,"Chuanglin(Createlink) Technology Co., Ltd 浙江创邻科技有限公司","Scalable, ACID-compliant native distributed parallel graph platform",2017.0,"Nov 20, November 2021",commercial,,no
Helium,400.0,405.0,377.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/Helium,,Levyx Inc.,Cost efficient key-value store,2013.0,,commercial,,no
HGraphDB,400.0,405.0,339.0,Graph,0.0,±0.00,-0.17,https://db-engines.com/en/system/HGraphDB,,,"HGraphDB is a client layer for using,HBase,as a graph database by implementing the Tinkerpop 3 interfaces",2016.0,,Open Source,Apache 2.0,no
iBoxDB,400.0,390.0,330.0,Document,0.0,-0.05,-0.19,https://db-engines.com/en/system/iBoxDB,,,Transactional embedded database for desktop and mobile applications.,2013.0,,Open Source,,no
JasDB,400.0,405.0,377.0,Document,0.0,±0.00,±0.00,https://db-engines.com/en/system/JasDB,,,,2014.0,,Open Source,,no
K-DB,400.0,405.0,377.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/K-DB,,Inspur Group,"Oracle compatible DBMS for Inspur's own K1 mainframe, available in China",,,commercial,,no
Newts,400.0,396.0,377.0,Time Series,0.0,-0.03,±0.00,https://db-engines.com/en/system/Newts,,OpenNMS Group,"Time Series DBMS based on,Cassandra",2014.0,,Open Source,Apache 2.0,no
Rizhiyi,400.0,405.0,377.0,"Search engine, Multi-model",0.0,±0.00,±0.00,https://db-engines.com/en/system/Rizhiyi,"Search engine,Time Series DBMS",Rizhiyi,"Used for unified collecting, indexing, and searching of log file data",2014.0,,commercial,,no
Sadas Engine,400.0,385.0,373.0,Relational,0.0,-0.07,-0.03,https://db-engines.com/en/system/Sadas+Engine,,SADAS s.r.l.,SADAS Engine is a columnar DBMS specifically designed for high performance in Data warehouse environments,2006.0,8.0,commercial,free trial version available,no
searchxml,400.0,405.0,377.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/searchxml,"Native XML DBMS,Search engine",informationpartners gmbh,DBMS for structured and unstructured content wrapped with an application server,2015.0,1.0,commercial,,no
SpaceTime,400.0,401.0,377.0,"Spatial DBMS, Multi-model",0.0,-0.02,±0.00,https://db-engines.com/en/system/SpaceTime,"Spatial DBMS,Relational DBMS",Mireo,SpaceTime is a spatio-temporal DBMS with a focus on performance.,2020.0,,commercial,,no
Tkrzw,400.0,392.0,377.0,Key-value,0.0,-0.05,±0.00,https://db-engines.com/en/system/Tkrzw,,Mikio Hirabayashi,"A concept of libraries, allowing an application program to store and query key-value pairs in a file. Successor of,Tokyo Cabinet,and,Kyoto Cabinet",2020.0,"0.9.3, August 2020",Open Source,Apache Version 2.0,no
Transwarp StellarDB,400.0,382.0,377.0,Graph,0.0,-0.08,±0.00,https://db-engines.com/en/system/Transwarp+StellarDB,,Transwarp,A distributed graph DBMS built for enterprise-level graph applications,,,commercial,,no
