DBMS,Rank_Mar-2023,Rank_Feb-2023,Rank_Mar-2022,Database Model,Score_Mar-2023,Score_Feb-2023,Score_Mar-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
IBM Cloudant,93.0,94.0,94.0,Document,4.16,-0.19,+0.56,https://db-engines.com/en/system/IBM+Cloudant,,"IBM, Apache Software Foundation","Database as a Service offering based on,Apache CouchDB",2010.0,,commercial,,yes,2010,,N,Y
RavenDB,94.0,95.0,93.0,"Document, Multi-model",4.04,-0.17,+0.43,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Hibernating Rhinos,Open Source Operational and Transactional Enterprise NoSQL Document Database,2010.0,"5.4, July 2022",Open Source,"AGPL version 3, commercial license available",no,2010,2022,Y,N
RethinkDB,95.0,96.0,103.0,"Document, Multi-model",3.85,0.00,+0.79,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS",The Linux Foundation,DBMS for the Web with a mechanism to push updated query results to applications in realtime.,2009.0,"2.4.1, August 2020",Open Source,Apache Version 2,no,2009,2020,Y,N
YugabyteDB,96.0,93.0,111.0,"Relational, Multi-model",3.82,-0.55,+1.17,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store",Yugabyte Inc.,"High-performance distributed SQL database for global, internet-scale applications. Wire and feature compatible with,PostgreSQL,.",2017.0,"2.17, December 2022",Open Source,Apache 2.0,no,2017,2022,Y,N
Oracle NoSQL,97.0,98.0,78.0,Multi-model,3.72,+0.02,-1.22,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS",Oracle,"A multi-model, scalable, distributed NoSQL database, designed to provide highly reliable, flexible, and available data management across a configurable set of storage nodes",2011.0,"22.3, December 2022",Open Source,"Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",no,2011,2022,Y,N
LevelDB,98.0,99.0,100.0,Key-value,3.54,-0.01,+0.34,https://db-engines.com/en/system/LevelDB,,Google,"Embeddable fast,key-value storage,library that provides an ordered mapping from string keys to string values",2011.0,"1.23, February 2021",Open Source,BSD,no,2011,2021,Y,N
Infinispan,99.0,97.0,96.0,Key-value,3.52,-0.24,+0.11,https://db-engines.com/en/system/Infinispan,,,,2009.0,"14.0.7.Final, March 2023",Open Source,Apache Version 2,no,2009,2023,Y,N
PouchDB,100.0,100.0,101.0,Document,3.49,-0.03,+0.32,https://db-engines.com/en/system/PouchDB,,Apache Software Foundation,"JavaScript DBMS with an API inspired by,CouchDB",2012.0,"7.1.1, June 2019",Open Source,,no,2012,2019,Y,N
Oracle Berkeley DB,101.0,102.0,107.0,Multi-model,3.38,+0.14,+0.40,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS",Oracle,Widely used in-process key-value store,1994.0,"18.1.40, May 2020",Open Source,commercial license available,no,1994,2020,Y,N
MaxDB,102.0,101.0,83.0,Relational,3.37,-0.12,-1.02,https://db-engines.com/en/system/MaxDB,,"SAP, acquired from Software AG (Adabas-D) in 1997","A robust and reliable,RDBMS,optimized to run all major SAP solutions",1984.0,"7.9.10 (January 2020), 2020",commercial,Limited community edition free,no,1984,2020,N,N
Apache Phoenix,103.0,112.0,97.0,Relational,3.09,+0.12,-0.24,https://db-engines.com/en/system/Apache+Phoenix,,Apache Software Foundation,"A scale-out RDBMS with evolutionary schema built on,Apache HBase",2014.0,"5.0-HBase2, July 2018 and 4.15-HBase1, December 2019",Open Source,Apache Version 2.0,no,2014,2019,Y,N
Percona Server for MySQL,104.0,104.0,115.0,Relational,3.07,-0.09,+0.57,https://db-engines.com/en/system/Percona+Server+for+MySQL,,Percona,"Enhanced drop-in replacement for,MySQL,based on XtraDB or TokuDB storage engines with improved performance and additional diagnostic and management features.",2008.0,"8.0.28-20, 2022",Open Source,GPL version 2,no,2008,2022,Y,N
InterSystems IRIS,105.0,116.0,119.0,Multi-model,3.06,+0.25,+0.86,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS",InterSystems,"A containerised multi-model DBMS, interoperability and analytics data platform with wide capabilities for vertical and horizontal scalability",2018.0,"2021.1, June 2021",commercial,,no,2018,2021,N,N
EDB Postgres,106.0,107.0,120.0,"Relational, Multi-model",3.02,-0.01,+0.83,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS",EnterpriseDB,"The EDB Postgres Platform is an enterprise-class data management platform based on the open source database,PostgreSQL,with flexible deployment options and,Oracle,compatibility features, complemented by tool kits for management, integration, and migration.",2005.0,"14, December 2021",commercial,BSD for PostgreSQL-components,no,2005,2021,N,N
RRDtool,107.0,110.0,113.0,Time Series,3.02,+0.02,+0.41,https://db-engines.com/en/system/RRDtool,,Tobias Oetiker,Industry standard data logging and graphing tool for time series data. RRD is an acronym for round-robin database.,1999.0,"1.8.0, 2022",Open Source,GPL V2 and FLOSS,no,1999,2022,Y,N
Apache Drill,108.0,103.0,104.0,Multi-model,3.01,-0.18,-0.05,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS",Apache Software Foundation,"Schema-free SQL Query Engine for Hadoop, NoSQL and Cloud Storage",2012.0,"1.20.3, January 2023",Open Source,Apache Version 2,no,2012,2023,Y,N
SAP Advantage Database Server,109.0,111.0,90.0,Relational,2.99,+0.02,-0.85,https://db-engines.com/en/system/SAP+Advantage+Database+Server,,"Sybase, SAP","Low-cost,RDBMS,with access to ISAM and FoxPro data structures",1993.0,,commercial,,no,1993,,N,N
LMDB,110.0,113.0,114.0,Key-value,2.99,+0.13,+0.44,https://db-engines.com/en/system/LMDB,,Symas,"A high performant, light-weight, embedded key-value database library",2011.0,"0.9.29, March 2021",Open Source,,no,2011,2021,Y,N
CloudKit,111.0,106.0,116.0,Document,2.98,-0.09,+0.49,https://db-engines.com/en/system/CloudKit,,,,2016.0,,commercial,,yes,2016,,N,Y
InterSystems Caché,112.0,109.0,98.0,Multi-model,2.96,-0.05,-0.35,https://db-engines.com/en/system/InterSystems+Cach%C3%A9,"Key-value store,Object oriented DBMS,Relational DBMS,Document store",InterSystems,A multi-model DBMS and application server,1997.0,"2018.1.4, May 2020",commercial,,no,1997,2020,N,N
TiDB,113.0,108.0,95.0,"Relational, Multi-model",2.92,-0.10,-0.52,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store","PingCAP, Inc.","TiDB is an open source distributed Hybrid Transactional/Analytical Processing (HTAP) database that supports,MySQL,and,Spark SQL,syntaxes.",2016.0,"6.6.0, February 2023",Open Source,Apache 2.0,no,2016,2023,Y,N
4D,114.0,119.0,105.0,Relational,2.88,+0.14,-0.13,https://db-engines.com/en/system/4D,,"4D, Inc",Application development environment with integrated database management system,1984.0,"v18 R5, January 2021",commercial,,no,1984,2021,N,N
Amazon SimpleDB,115.0,118.0,122.0,Key-value,2.83,+0.08,+0.67,https://db-engines.com/en/system/Amazon+SimpleDB,,Amazon,"Hosted simple database service by Amazon, with the data stored in the Amazon Cloud.",2007.0,,commercial,,yes,2007,,N,Y
Citus,116.0,105.0,142.0,"Relational, Multi-model",2.81,-0.31,+1.24,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store",,Scalable hybrid operational and analytics RDBMS for big data use cases based on PostgreSQL,2010.0,"8.1, December 2018",Open Source,"AGPL, commercial license also available",no,2010,2018,Y,N
IMS,117.0,120.0,102.0,Navigational,2.81,+0.07,-0.32,https://db-engines.com/en/system/IMS,,IBM,,1966.0,"15, October 2017",commercial,,no,1966,2017,N,N
EXASOL,118.0,122.0,92.0,Relational,2.77,+0.04,-0.85,https://db-engines.com/en/system/EXASOL,,Exasol,"High-performance, in-memory, MPP database specifically designed for in-memory analytics.",2000.0,,commercial,,no,2000,,N,N
HEAVY.AI,119.0,123.0,155.0,"Relational, Multi-model",2.76,+0.08,+1.43,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS","HEAVY.AI, Inc.","A high performance, column-oriented,RDBMS,, specifically developed to harness the massive parallelism of modern CPU and GPU hardware",2016.0,"5.10, January 2022",Open Source,Apache Version 2; enterprise edition available,no,2016,2022,Y,N
DolphinDB,120.0,114.0,143.0,"Time Series, Multi-model",2.69,-0.16,+1.16,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Relational DBMS","DolphinDB, Inc","DolphinDB is a high performance,Time Series DBMS,. It is integrated with an easy-to-use fully featured programming language and a high-volume high-velocity streaming analytics system. It offers operational simplicity, scalability, fault tolerance, and concurrency.",2018.0,"v2.00.4, January 2022",commercial,free community version available,no,2018,2022,N,N
Oracle Coherence,121.0,115.0,112.0,Key-value,2.67,-0.16,+0.05,https://db-engines.com/en/system/Oracle+Coherence,,Oracle,Oracles in-memory data grid solution,2007.0,"12c, September 2016",commercial,,no,2007,2016,N,N
Apache Druid,122.0,125.0,99.0,Multi-model,2.63,+0.14,-0.63,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS",Apache Software Foundation and contributors,Open-source analytics data store designed for sub-second OLAP queries on high dimensionality and high cardinality data,2012.0,"25.0.0, January 2023",Open Source,Apache license v2,no,2012,2023,Y,N
Amazon Neptune,123.0,121.0,110.0,Multi-model,2.6,-0.13,-0.09,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store",Amazon,"Fast, reliable graph database built for the cloud",2017.0,,commercial,,yes,2017,,N,Y
JanusGraph,124.0,117.0,117.0,Graph,2.56,-0.24,+0.09,https://db-engines.com/en/system/JanusGraph,,"Linux Foundation; originally developed as,Titan,by Aurelius",A Graph DBMS optimized for distributed clusters,2017.0,"0.6.3, February 2023",Open Source,Apache 2.0,no,2017,2023,Y,N
Amazon CloudSearch,125.0,126.0,118.0,Search engine,2.52,+0.06,+0.23,https://db-engines.com/en/system/Amazon+CloudSearch,,Amazon,A hosted search engine service by Amazon with the data stored in Amazons cloud,2012.0,,commercial,,yes,2012,,N,Y
Geode,126.0,124.0,131.0,Key-value,2.51,-0.02,+0.64,https://db-engines.com/en/system/Geode,,Originally developed by Gemstone. They outsourced the project to Apache in 2015 but still deliver a commercial version as Gemfire.,"Geode is a distributed data container, pooling memory, CPU, network resources, and optionally local disk across multiple processes",2002.0,"1.1, February 2017",Open Source,Apache Version 2; commercial licenses available as Gemfire,no,2002,2017,Y,N
TDengine,127.0,130.0,201.0,"Time Series, Multi-model",2.43,+0.02,+1.67,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS","TDEngine, previously Taos Data",Time Series DBMS and big data platform,2019.0,"3.0, August 2022",Open Source,"GPL V3, also commercial editions available",no,2019,2022,Y,N
Coveo,128.0,132.0,123.0,Search engine,2.4,+0.03,+0.26,https://db-engines.com/en/system/Coveo,,Coveo,"AI-powered hosted search, recommendation and personalization platform providing tools for both low-code and full-code development",2012.0,,commercial,,yes,2012,,N,Y
MonetDB,129.0,131.0,130.0,"Relational, Multi-model",2.36,-0.01,+0.49,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS",MonetDB BV,A relational database management system that stores data in columns,2004.0,"Jul2021-SP2, July 2021",Open Source,Mozilla Public License 2.0,no,2004,2021,Y,N
GridGain,130.0,129.0,124.0,Multi-model,2.34,-0.07,+0.24,https://db-engines.com/en/system/GridGain,"Key-value store,Relational DBMS","GridGain Systems, Inc.","GridGain is an in-memory computing platform, built on,Apache Ignite",2007.0,GridGain 8.5.1,commercial,,no,2007,,N,N
GraphDB,131.0,127.0,109.0,Multi-model,2.32,-0.12,-0.52,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store",Ontotext,"Enterprise-ready RDF and graph database with efficient reasoning, cluster and external index synchronization support. It supports also SQL JDBC access to Knowledge Graph and GraphQL over SPARQL.",2000.0,"10.2, February 2023",commercial,Some plugins of GraphDB Workbench are open sourced,no,2000,2023,N,N
OpenTSDB,132.0,128.0,135.0,Time Series,2.32,-0.12,+0.53,https://db-engines.com/en/system/OpenTSDB,,currently maintained by Yahoo and other contributors,"Scalable Time Series DBMS based on,HBase",2011.0,,Open Source,LGPL,no,2011,,Y,N
Datomic,133.0,133.0,133.0,Relational,2.25,-0.04,+0.41,https://db-engines.com/en/system/Datomic,,Cognitect,"Datomic builds on immutable values, supports point-in-time queries and uses 3rd party systems for durability",2012.0,"1.0.6362, January 2022",commercial,limited edition free,no,2012,2022,N,N
DuckDB,134.0,143.0,271.0,Relational,2.14,+0.14,+1.88,https://db-engines.com/en/system/DuckDB,,,"An embeddable, in-process, column-oriented SQL OLAP,RDBMS",2018.0,"0.2, August 2020",Open Source,MIT License,no,2018,2020,Y,N
TimesTen,135.0,138.0,132.0,Relational,2.12,-0.02,+0.27,https://db-engines.com/en/system/TimesTen,,"Oracle, TimesTen Performance Software, HP","In-Memory,RDBMS,compatible to Oracle",1998.0,11 Release 2 (11.2.2.8.0),commercial,,no,1998,,N,N
Tibero,136.0,136.0,125.0,Relational,2.12,-0.11,+0.09,https://db-engines.com/en/system/Tibero,,TmaxSoft,"A secure RDBMS, designed for easy portability from Oracle",2003.0,"6, April 2015",commercial,,no,2003,2015,N,N
BaseX,137.0,144.0,141.0,Native XML,2.11,+0.12,+0.47,https://db-engines.com/en/system/BaseX,,BaseX GmbH,"Light-weight,Native XML DBMS,with support for XQuery 3.0 and interactive GUI.",2007.0,"10.5, March 2023",Open Source,BSD license,no,2007,2023,Y,N
SpatiaLite,138.0,135.0,126.0,"Spatial DBMS, Multi-model",2.1,-0.16,+0.15,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS",Alessandro Furieri,"Spatial extension of,SQLite",2008.0,"5.0.0, August 2020",Open Source,"MPL 1.1, GPL v2.0 or LGPL v2.1",no,2008,2020,Y,N
VoltDB,139.0,134.0,140.0,Relational,2.08,-0.21,+0.44,https://db-engines.com/en/system/VoltDB,,VoltDB Inc.,"Distributed In-Memory NewSQL,RDBMS",2010.0,"11.3, April 2022",Open Source,"AGPL for Community Edition, commercial license for Enterprise, AWS, and Pro Editions",no,2010,2022,Y,N
jBASE,140.0,140.0,127.0,Multivalue,2.07,+0.01,+0.14,https://db-engines.com/en/system/jBASE,,Zumasys,A robust multi-value DBMS comprising development tools and middleware,1991.0,5.7,commercial,,no,1991,,N,N
ObjectStore,141.0,142.0,147.0,Object oriented,2.06,+0.02,+0.65,https://db-engines.com/en/system/ObjectStore,,Ignite Technologies,,1988.0,"2013 Update 1, April 2014",commercial,,no,1988,2014,N,N
OceanBase,142.0,145.0,,"Relational, Multi-model",2.05,+0.08,,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store",OceanBase,"A distributed, high available,RDBMS,compatible with,Oracle,and,MySQL",2011.0,"3.2.3, March 2022",Open Source,Commercial license available,no,2011,2022,Y,N
Db4o,143.0,139.0,139.0,Object oriented,2.03,-0.05,+0.34,https://db-engines.com/en/system/Db4o,,,,2001.0,8.0,Open Source,commercial license available for existing customers only,no,2001,,Y,N
TigerGraph,144.0,137.0,121.0,Graph,1.96,-0.21,-0.22,https://db-engines.com/en/system/TigerGraph,,,"A complete, distributed, parallel graph computing platform supporting web-scale data analytics in real-time",2017.0,,commercial,,no,2017,,N,N
IBM Db2 warehouse,145.0,141.0,129.0,Relational,1.9,-0.14,+0.02,https://db-engines.com/en/system/IBM+Db2+warehouse,,IBM,Cloud-based data warehousing service,2014.0,,commercial,,yes,2014,,N,Y
QuestDB,146.0,147.0,164.0,"Time Series, Multi-model",1.89,-0.06,+0.73,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS",QuestDB Limited,"A high performance open source SQL database for,time series data",2014.0,,Open Source,Apache 2.0,no,2014,,Y,N
SQLBase,147.0,150.0,157.0,Relational,1.85,-0.03,+0.55,https://db-engines.com/en/system/SQLBase,,,,1985.0,,commercial,,no,1985,,N,N
Mnesia,148.0,152.0,138.0,Document,1.84,-0.03,+0.15,https://db-engines.com/en/system/Mnesia,,,,1999.0,"4.15.4, June 2018",Open Source,proprietary license,no,1999,2018,Y,N
GridDB,149.0,146.0,152.0,"Time Series, Multi-model",1.83,-0.13,+0.49,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS",Toshiba Corporation,Scalable in-memory time series database optimized for IoT and Big Data,2013.0,"5.1, August 2022",Open Source,"AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",no,2013,2022,Y,N
NebulaGraph,150.0,154.0,167.0,Graph,1.83,+0.04,+0.70,https://db-engines.com/en/system/NebulaGraph,,Vesoft Inc.,"A distributed, linear scalable, high perfomant,Graph DBMS",2019.0,,Open Source,Apache Version 2.0 + Common Clause 1.0,no,2019,,Y,N
Empress,151.0,160.0,172.0,Relational,1.81,+0.16,+0.72,https://db-engines.com/en/system/Empress,,,,1981.0,"v10.20-E, January 2010",commercial,,no,1981,2010,N,N
Tarantool,152.0,151.0,145.0,"Key-value, Multi-model",1.81,-0.06,+0.37,https://db-engines.com/en/system/Tarantool,"Key-value store,Document store,Relational DBMS,Spatial DBMS",VK,In-memory computing platform with a flexible data schema for efficiently?building?high-performance applications,2008.0,"2.10.0, May 2022",Open Source,BSD,no,2008,2022,Y,N
Amazon DocumentDB,153.0,148.0,136.0,Document,1.81,-0.09,+0.04,https://db-engines.com/en/system/Amazon+DocumentDB,,,"Fast, scalable, highly available, and fully managed,MongoDB,-compatible database service",2019.0,,commercial,,yes,2019,,N,Y
Memgraph,154.0,158.0,262.0,Graph,1.79,+0.10,+1.41,https://db-engines.com/en/system/Memgraph,,Memgraph Ltd,An open source graph database built for real-time streaming and compatible with Neo4j,2017.0,,commercial,Free license available,no,2017,,N,N
Actian NoSQL Database,155.0,159.0,148.0,Object oriented,1.78,+0.11,+0.38,https://db-engines.com/en/system/Actian+NoSQL+Database,,Actian,,1988.0,"9.3, April 2017",commercial,,no,1988,2017,N,N
Dgraph,156.0,153.0,137.0,Graph,1.78,-0.08,+0.09,https://db-engines.com/en/system/Dgraph,,"Dgraph Labs, Inc.","Distributed and scalable native,Graph DBMS",2016.0,,Open Source,Apache 2.0,no,2016,,Y,N
Fauna,157.0,149.0,150.0,Multi-model,1.77,-0.12,+0.42,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS","Fauna, Inc.","Fauna provides a web-native interface, with support for GraphQL and custom business logic that integrates seamlessly with the rest of the serverless ecosystem. The underlying globally distributed storage and compute platform is fast, consistent, and reliable, with a modern security infrastructure.",2014.0,,commercial,,yes,2014,,N,Y
Stardog,158.0,163.0,128.0,Multi-model,1.77,+0.14,-0.13,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store",Stardog-Union,"Enterprise Knowledge Graph platform and graph DBMS with high availability, high performance reasoning, and virtualization",2010.0,"7.3.0, May 2020",commercial,60-day fully-featured trial license; 1-year fully-featured non-commercial use license for academics/students,no,2010,2020,N,N
Firebolt,159.0,162.0,,Relational,1.74,+0.10,,https://db-engines.com/en/system/Firebolt,,Firebolt Analytics Inc.,Highly scalable cloud data warehouse and analytics product,2020.0,,commercial,,yes,2020,,N,Y
Apache Kylin,160.0,164.0,154.0,Relational,1.69,+0.06,+0.35,https://db-engines.com/en/system/Apache+Kylin,,"Apache Software Foundation, originally contributed from eBay Inc","A distributed analytics engine for big data, providing a SQL interface and multi-dimensional analysis (OLAP) and leveraging the Hadoop stack",2015.0,"3.1.0, July 2020",Open Source,Apache Version 2.0,no,2015,2020,Y,N
LiteDB,161.0,155.0,151.0,Document,1.65,-0.10,+0.30,https://db-engines.com/en/system/LiteDB,,Mauricio David,"MongoDB-like, serverless database delivered in a single DLL",2014.0,,Open Source,MIT License,no,2014,,Y,N
Datameer,162.0,156.0,149.0,Document,1.64,-0.10,+0.25,https://db-engines.com/en/system/Datameer,,,,2009.0,,commercial,,no,2009,,N,N
DataEase,163.0,161.0,169.0,Relational,1.6,-0.04,+0.50,https://db-engines.com/en/system/DataEase,,,,1981.0,,commercial,,no,1981,,N,N
Matisse,164.0,192.0,193.0,Object oriented,1.6,+0.33,+0.79,https://db-engines.com/en/system/Matisse,,Matisse Software Inc.,Object oriented DBMS providing ANSI SQL,1986.0,,commercial,free developer license available,no,1986,,N,N
GT.M,165.0,178.0,146.0,Key-value,1.59,+0.17,+0.18,https://db-engines.com/en/system/GT.M,,,,1986.0,"7.0-000, February 2021",commercial,,no,1986,2021,N,N
NonStop SQL,166.0,166.0,173.0,Relational,1.56,-0.05,+0.48,https://db-engines.com/en/system/NonStop+SQL,,"HP, originally by Tandem",,1987.0,,commercial,,no,1987,,N,N
Cubrid,167.0,168.0,153.0,Relational,1.55,-0.04,+0.21,https://db-engines.com/en/system/Cubrid,,"CUBRID Corporation, CUBRID Foundation",CUBRID is an open-source SQL-based relational database management system with object extensions for OLTP,2008.0,"11.0, January 2021",Open Source,Apache Version 2.0,no,2008,2021,Y,N
Giraph,168.0,169.0,156.0,Graph,1.55,-0.04,+0.23,https://db-engines.com/en/system/Giraph,,,,2013.0,"1.3.0, June 2020",Open Source,Apache Version 2,no,2013,2020,Y,N
ObjectBox,169.0,170.0,183.0,"Object oriented, Multi-model",1.54,-0.03,+0.62,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Time Series DBMS",ObjectBox Limited,"Extremely fast embedded database for small devices, IoT and Mobile",2017.0,,Open Source,Apache License 2.0,no,2017,,Y,N
Oracle Rdb,170.0,171.0,163.0,Relational,1.52,-0.01,+0.34,https://db-engines.com/en/system/Oracle+Rdb,,"Oracle, originally developed by Digital Equipment Corporation (DEC)",,1984.0,"7.4.1.1, 2021",commercial,,no,1984,2021,N,N
GigaSpaces,171.0,177.0,179.0,Multi-model,1.52,+0.09,+0.58,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine",Gigaspaces Technologies,"High performance in-memory data grid platform, powering three products: Smart Cache, Smart ODS (Operational Data Store), Smart Augmented Transactions",2000.0,"15.5, September 2020",Open Source,Apache Version 2; Commercial licenses available,no,2000,2020,Y,N
GBase,172.0,157.0,171.0,Relational,1.52,-0.17,+0.42,https://db-engines.com/en/system/GBase,,,An analytical database for business intelligence with large customers in China.,,GBase 8a,commercial,,no,,,N,N
mSQL,173.0,173.0,134.0,Relational,1.49,-0.02,-0.35,https://db-engines.com/en/system/mSQL,,Hughes Technologies,"mSQL (Mini SQL) is a simple and lightweight,RDBMS",1994.0,"4.4, October 2021",commercial,free licenses can be provided,no,1994,2021,N,N
Pinecone,174.0,191.0,,Search engine,1.48,+0.19,,https://db-engines.com/en/system/Pinecone,,"Pinecone Systems, Inc","A managed, cloud-native vector database",2019.0,,commercial,,yes,2019,,N,Y
FoundationDB,175.0,167.0,158.0,Multi-model,1.46,-0.14,+0.16,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS",FoundationDB,Ordered key-value store. Core features are complimented by layers.,2013.0,"6.2.28, November 2020",Open Source,Apache 2.0,no,2013,2020,Y,N
MatrixOne,176.0,175.0,,Relational,1.42,-0.03,,https://db-engines.com/en/system/MatrixOne,,,"A Hyperconverged Cloud & Edge Native DBMS, supporting transactional, analytical, and streaming workloads with a simplified and distributed database engine, across multiple data centers, clouds, edges and other heterogenous infrastructures.",2021.0,,Open Source,Apache Version 2.0,no,2021,,Y,N
ZODB,177.0,176.0,182.0,Key-value,1.41,-0.03,+0.49,https://db-engines.com/en/system/ZODB,,,Native object database for Python,2009.0,"5.6.0, June 2020",Open Source,,no,2009,2020,Y,N
Infobright,178.0,174.0,174.0,Relational,1.4,-0.07,+0.34,https://db-engines.com/en/system/Infobright,,Ignite Technologies Inc.; formerly InfoBright Inc.,High performant column-oriented DBMS for analytic workloads using MySQL or PostgreSQL as a frontend,2005.0,,commercial,The open source (GPLv2) version did not support inserts/updates/deletes and was discontinued with July 2016,no,2005,,N,N
Apache HAWQ,179.0,179.0,168.0,Relational,1.39,-0.03,+0.27,https://db-engines.com/en/system/Apache+HAWQ,,Pivotal Software; Apache,HAWQ is a parallel SQL query engine integrated into the Hadoop ecosystem,2012.0,,Open Source,,no,2012,,Y,N
Altibase,180.0,172.0,170.0,Relational,1.37,-0.16,+0.27,https://db-engines.com/en/system/Altibase,,Altibase,"An enterprise grade, high-performance,RDBMS",1999.0,"v7.1.0.5.3, March 2021",Open Source,since February 2018,no,1999,2021,Y,N
IDMS,181.0,200.0,181.0,Navigational,1.36,+0.21,+0.43,https://db-engines.com/en/system/IDMS,,,,1973.0,18.5,commercial,,no,1973,,N,N
HFSQL,182.0,180.0,144.0,Relational,1.35,-0.07,-0.14,https://db-engines.com/en/system/HFSQL,,PC Soft,"RDBMS included in the development environments WINDEV, WINDEV Mobile and WEBDEV",,,commercial,,no,,,N,N
SQL.JS,183.0,165.0,165.0,Relational,1.34,-0.28,+0.21,https://db-engines.com/en/system/SQL.JS,,Alon Zakai,"Port of,SQLite,to JavaScript",2012.0,,Open Source,,no,2012,,Y,N
Model 204,184.0,181.0,162.0,Multivalue,1.34,-0.06,+0.13,https://db-engines.com/en/system/Model+204,,,,1972.0,,commercial,,no,1972,,N,N
EventStoreDB,185.0,193.0,176.0,Event,1.29,+0.03,+0.29,https://db-engines.com/en/system/EventStoreDB,,Event Store Limited,"Industrial-strength, open-source database solution built from the ground up for event sourcing.",2012.0,"21.2, February 2021",Open Source,,no,2012,2021,Y,N
Perst,186.0,189.0,190.0,Object oriented,1.27,-0.03,+0.45,https://db-engines.com/en/system/Perst,,,,2003.0,,Open Source,commercial license available,no,2003,,Y,N
NCache,187.0,183.0,195.0,"Key-value, Multi-model",1.25,-0.10,+0.46,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine",Alachisoft,"Open-Source and Enterprise in-memory,Key-Value Store",2005.0,"5.2, April 2021",Open Source,Enterprise Edition available,no,2005,2021,Y,N
NuoDB,188.0,186.0,177.0,Relational,1.24,-0.11,+0.26,https://db-engines.com/en/system/NuoDB,,"NuoDB, Inc.",NuoDB is a webscale distributed database that supports SQL and ACID transactions,2013.0,,commercial,limited edition free,no,2013,,N,N
Xapian,189.0,197.0,200.0,Search engine,1.23,+0.04,+0.47,https://db-engines.com/en/system/Xapian,,,Open Source search engine library,1986.0,"1.4.22, February 2023",Open Source,GPLv2,no,1986,2023,Y,N
TypeDB,190.0,182.0,210.0,Multi-model,1.23,-0.16,+0.53,https://db-engines.com/en/system/TypeDB,"Graph DBMS,Relational DBMS",Vaticle (formerly Grakn Labs),TypeDB is a strongly-typed database with a rich and logical type system and TypeQL as its query language,2016.0,"2.16.1, March 2023",Open Source,"GPL Version 3, commercial licenses available",no,2016,2023,Y,N
1010data,191.0,185.0,159.0,Relational,1.22,-0.12,-0.05,https://db-engines.com/en/system/1010data,,,,2000.0,,commercial,,no,2000,,N,N
Hibari,192.0,196.0,248.0,Key-value,1.21,+0.00,+0.76,https://db-engines.com/en/system/Hibari,,,,2005.0,,Open Source,Apache Version 2,no,2005,,Y,N
DBISAM,193.0,215.0,205.0,Relational,1.21,+0.19,+0.48,https://db-engines.com/en/system/DBISAM,,"Elevate Software, Inc.",RDBMS mainly geared to Delphi and C++Builder application developers,1998.0,,commercial,,no,1998,,N,N
Sedna,194.0,201.0,166.0,Native XML,1.2,+0.07,+0.07,https://db-engines.com/en/system/Sedna,,,,2006.0,,Open Source,Apache Version 2,no,2006,,Y,N
Northgate Reality,195.0,213.0,225.0,Multivalue,1.19,+0.17,+0.62,https://db-engines.com/en/system/Northgate+Reality,,,,1973.0,,commercial,,no,1973,,N,N
