Name,Description,Primary database model,Secondary database models,DB-Engines Ranking Trend Chart,Website,Technical documentation,Developer,Initial release,Current release,License,Cloud-based only,DBaaS offerings (sponsored links),Implementation language,Server operating systems,Data scheme,Typing,XML support,Secondary indexes,SQL,APIs and other access methods,Supported programming languages,Server-side scripts,Triggers,Partitioning methods,Replication methods,MapReduce,Consistency concepts,Foreign keys,Transaction concepts,Concurrency,Durability,In-memory capabilities,User concepts
Jade,,Object oriented DBMS,,"Score,0.42,Rank,#276,Overall,#15,Object oriented DBMS",www.jadeworld.com/developer-center,www.jadeworld.com/developer-center/resource-library,,1996.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Mimer SQL,,Relational DBMS,,"Score,0.41,Rank,#277,Overall,#129,Relational DBMS",www.mimer.com,,,1977.0,"11.0.7B, September 2022",commercial,no,,,,,,,,,,,,,,,,,,,,,,
Fluree,"A,Graph DBMS,built with blockchain technology",Graph DBMS,,"Score,0.41,Rank,#278,Overall,#23,Graph DBMS",flur.ee,,"Fluree, PBC",2018.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
Redland,A set of free software C libraries that provide support for the Resource Description Framework (RDF),RDF store,,"Score,0.41,Rank,#279,Overall,#12,RDF stores",librdf.org,,,2000.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
ITTIA,,Relational DBMS,,"Score,0.41,Rank,#280,Overall,#130,Relational DBMS",www.ittia.com,,,2000.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Actian FastObjects,,Object oriented DBMS,,"Score,0.41,Rank,#281,Overall,#16,Object oriented DBMS",esd.actian.com/product/Versant_FastObjects,,Actian,,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Axibase,"Scalable TimeSeries DBMS based on,HBase,with integrated rule engine and visualization",Time Series DBMS,,"Score,0.40,Rank,#282,Overall,#21,Time Series DBMS",axibase.com/docs/atsd/finance,,Axibase Corporation,2013.0,15585,commercial,no,,Java,Linux,yes,yes,no,no,SQL-like query language,"JDBC,Proprietary protocol (Network API),RESTful HTTP API","Go,Java,PHP,Python,R,Ruby",yes,yes,Sharding,Source-replica replication,yes,,no,no,yes,yes,,
TinkerGraph,"A lightweight, in-memory graph engine that serves as a reference implementation of the TinkerPop3 API",Graph DBMS,,"Score,0.40,Rank,#283,Overall,#24,Graph DBMS",tinkerpop.apache.org/docs/current/reference/#tinkergraph-gremlin,,,2009.0,,Open Source,no,,Java,,schema-free,yes,no,no,no,TinkerPop 3,"Groovy,Java",no,no,none,none,no,none,yes,no,no,optional,yes,no
EJDB,Embeddable document-store database library with JSON representation of queries (in MongoDB style),Document store,,"Score,0.39,Rank,#284,Overall,#41,Document stores",ejdb.org,github.com/Softmotions/ejdb/blob/master/README.md,Softmotions,2012.0,,Open Source,no,,C,server-less,schema-free,yes,,no,no,in-process shared library,"Actionscript,C,C#,C++,Go,Java,JavaScript (Node.js),Lua,Objective-C,Pike,Python,Ruby",no,no,none,none,no,,no,no,yes,yes,,no
OpenQM,"QpenQM is a high-performance, self-tuning, multi-value DBMS",Multivalue DBMS,,"Score,0.39,Rank,#285,Overall,#10,Multivalue DBMS",www.openqm.com,www.openqm.com/support/documentation,Martin Phillips,1993.0,3.4-12,Open Source,no,,,"AIX,FreeBSD,Linux,macOS,Raspberry Pi,Solaris,Windows",yes,,yes,yes,no,,".Net,Basic,C,Java,Objective C,PHP,Python",yes,yes,yes,yes,no,Immediate Consistency,no,ACID,yes,yes,,Access rights can be defined down to the item level
Valentina Server,Object-relational database and reports server,Relational DBMS,,"Score,0.38,Rank,#286,Overall,#131,Relational DBMS",www.valentina-db.net,valentina-db.com/docs/dokuwiki/v5/doku.php,Paradigma Software,1999.0,5.7.5,commercial,no,,,"Linux,OS X,Windows",yes,yes,,yes,yes,ODBC,".Net,C,C#,C++,Objective-C,PHP,Ruby,Visual Basic,Visual Basic.NET",yes,yes,,,no,,yes,,,yes,yes,fine grained access rights according to SQL-standard
Riak TS,"Riak TS is a distributed NoSQL database optimized for time series data and based on,Riak KV",Time Series DBMS,,"Score,0.37,Rank,#287,Overall,#22,Time Series DBMS",riak.com/products/riak-ts,,Basho Technologies,2015.0,,Open Source,no,,Erlang,"Linux,OS X",schema-free,no,no,restricted,no,"HTTP API,Native Erlang Interface","C,C#,C++,Clojure,Dart,Erlang,Go,Groovy,Haskell,Java,JavaScript,Lisp,Perl,PHP,Python,Ruby,Scala,Smalltalk",JavaScript and Erlang,yes,Sharding,selectable replication factor,yes,Eventual Consistency,no,no,yes,yes,,no
Lovefield,"Embeddable,relational database,for web apps written in pure JavaScript",Relational DBMS,,"Score,0.37,Rank,#288,Overall,#132,Relational DBMS",google.github.io/lovefield,github.com/google/lovefield/blob/master/docs/spec_index.md,Google,2014.0,"2.1.12, February 2017",Open Source,no,,JavaScript,"server-less, requires a JavaScript environment (browser, Node.js)",yes,yes,no,yes,SQL-like query language,,JavaScript,no,Using read-only observers,none,none,no,,yes,ACID,yes,"yes, by using IndexedDB or the cloud service,Firebase Realtime Database",yes,no
RedStore,RedStore is a lightweight RDF triplestore,RDF store,,"Score,0.36,Rank,#289,Overall,#13,RDF stores",www.aelius.com/njh/redstore,,,2009.0,,Open Source,no,,C,,,,,,,,,,,,,,,,,,,,
CubicWeb,,RDF store,,"Score,0.33,Rank,#290,Overall,#14,RDF stores",www.cubicweb.org,,,2001.0,"3.30.0, March 2021",Open Source,no,,,,,,,,,,,,,,,,,,,,,,
ElevateDB,RDBMS designed to be included in a pre-packaged database application,Relational DBMS,,"Score,0.33,Rank,#291,Overall,#133,Relational DBMS",www.elevatesoft.com/products?category=edb,,"Elevate Software, Inc.",2006.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Alibaba Cloud Table Store,"A fully managed,Wide Column Store,for large quantities of semi-structured data with real-time access",Wide column store,,"Score,0.33,Rank,#292,Overall,#12,Wide column stores",www.alibabacloud.com/product/table-store,www.alibabacloud.com/help/product/27278.htm,Alibaba,2016.0,,commercial,yes,,,hosted,schema-free,yes,no,no,no,HTTP API,"Java,Python",no,no,Sharding,yes,no,Immediate Consistency,no,Atomic single-row operations,yes,yes,no,Access rights based on subaccounts and tokens
GraphBase,,Graph DBMS,,"Score,0.33,Rank,#293,Overall,#25,Graph DBMS",graphbase.ai,,,,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Manticore Search,"Multi-storage database for search, including full-text search.",Search engine,Time Series DBMS,"Score,0.32,Rank,#294,Overall,#20,Search engines",manticoresearch.com,manual.manticoresearch.com,Manticore Software,2017.0,"4.2, December 2021",Open Source,no,,C++,"FreeBSD,Linux,macOS,Windows",Fixed schema,"Int, Bigint, Float, Timestamp, Bit, Int array, Bigint array, JSON, Boolean",Can index from XML,yes,SQL-like query language,"Binary API,RESTful HTTP/JSON API,RESTful HTTP/SQL API,SQL over MySQL","Elixir,Go,Java,JavaScript (Node.js),Perl,PHP,Python",user defined functions,no,Sharding,Synchronous replication based on Galera library,no,,no,yes,yes,yes,,no
Alibaba Cloud ApsaraDB for PolarDB,"A cloud-native relational database compatible with MySQL, PostgreSQL, and Oracle. Designed for business critical applications.",Relational DBMS,,"Score,0.31,Rank,#295,Overall,#134,Relational DBMS",www.alibabacloud.com/product/polardb,www.alibabacloud.com/help/doc-detail/58764.htm,Alibaba,,,commercial,yes,,,hosted,yes,yes,yes,yes,yes,"JDBC,ODBC","Java,Python",yes,yes,Sharding,yes,no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
AnzoGraph DB,"Scalable graph database built for online analytics and data harmonization with MPP scaling, high-performance analytical algorithms and reasoning, and virtualization","Graph DBMS,RDF store",,"Score,0.31,Rank,#296,Overall,#26,Graph DBMS,#15,RDF stores",www.cambridgesemantics.com/anzograph,docs.cambridgesemantics.com/anzograph/userdoc/home.htm,Cambridge Semantics,2018.0,"2.3, January 2021",commercial,no,,,Linux,Schema-free and OWL/RDFS-schema support,,no,no,SPARQL and SPARQL* as primary query language. Cypher preview.,"Apache Mule,gRPC,JDBC,Kafka,OData access for BI tools,OpenCypher,RESTful HTTP API,SPARQL","C++,Java,Python",user defined functions and aggregates,no,Automatic sharding,Multi-source replication in MPP-Cluster,Kerberos/HDFS data loading,Immediate Consistency in MPP-Cluster,no,ACID,yes,yes,yes,Access rights for users and roles
TerminusDB,"Scalable,Graph Database,platform making enterprise data available by exploiting inferred entities and relationships",Graph DBMS,"Document store,RDF store","Score,0.31,Rank,#297,Overall,#27,Graph DBMS",terminusdb.com,terminusdb.github.io/terminusdb/#,DataChemist Ltd.,2018.0,"10.1.4, August 2022",Open Source,no,,"Prolog, Rust",Linux,yes,yes,no,,SQL-like query language (WOQL),"OWL,RESTful HTTP API,WOQL (Web Object Query Language)","JavaScript,Python",yes,yes,Graph Partitioning,Journaling Streams,no,,yes,ACID,yes,yes,,Role-based access control
IBM Db2 Event Store,Distributed Event Store optimized for Internet of Things use cases,"Event Store,Time Series DBMS",,"Score,0.31,Rank,#298,Overall,#2,Event Stores,#23,Time Series DBMS",www.ibm.com/products/db2-event-store,www.ibm.com/support/knowledgecenter/en/SSGNPV_2.0.0/welcome.html,IBM,2017.0,2.0,commercial,no,,C and C++,Linux,yes,yes,no,no,yes,"ADO.NET,DB2 Connect,JDBC,ODBC,RESTful HTTP API","C,C#,C++,Cobol,Delphi,Fortran,Go,Java,JavaScript (Node.js),Perl,PHP,Python,R,Ruby,Scala,Visual Basic",yes,no,Sharding,Active-active shard replication,no,Eventual Consistency,no,no,No - written data is immutable,Yes - Synchronous writes to local disk combined with replication and asynchronous writes in parquet format to permanent shared storage,yes,fine grained access rights according to SQL-standard
NEventStore,A persistence agnostic Event Store for .NET,Event Store,,"Score,0.30,Rank,#299,Overall,#3,Event Stores",neventstore.org,,,2011.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
Alibaba Cloud AnalyticDB for PostgreSQL,"An online MPP (Massively Parallel Processing) data warehousing service based on,Greenplum",Relational DBMS,,"Score,0.30,Rank,#300,Overall,#135,Relational DBMS",www.alibabacloud.com/product/hybriddb-postgresql,www.alibabacloud.com/help/doc-detail/35387.htm,Alibaba / Pivotal Software Inc. / PostgreSQL Global Development Group,2016.0,,commercial,yes,,,hosted,yes,yes,yes,yes,yes,"JDBC,ODBC","C,Java,Perl,Python,R",yes,yes,Sharding,yes,no,Immediate Consistency,yes,ACID,yes,yes,no,fine grained access rights according to SQL-standard
HyperGraphDB,,Graph DBMS,,"Score,0.30,Rank,#301,Overall,#28,Graph DBMS",www.hypergraphdb.org,,,2007.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
XtremeData,,Relational DBMS,,"Score,0.30,Rank,#302,Overall,#136,Relational DBMS",www.xtremedata.com,,,,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
GeoSpock,Spatial and temporal data processing engine for extreme data scale,Relational DBMS,Time Series DBMS,"Score,0.30,Rank,#303,Overall,#137,Relational DBMS",geospock.com,docs.geospock.com/Content/Home.htm,GeoSpock,,"2.0, September 2019",commercial,yes,,"Java, Javascript",hosted,yes,yes,no,"temporal, categorical",ANSI SQL for query only (using Presto),JDBC,,no,no,Automatic sharding,,no,Immediate Consistency,no,no,yes,yes,no,Access rights for users can be defined per table
Actian PSQL,RDBMS used for embedded databases,Relational DBMS,,"Score,0.29,Rank,#304,Overall,#138,Relational DBMS",www.actian.com/data-management/psql-embedded-database,,,1982.0,"v14.11, May 2020",commercial,no,,,,,,,,,,,,,,,,,,,,,,
Acebase,"A fast, low memory, transactional,Document Store,, inspired by,Firebase Realtime Database",Document store,,"Score,0.28,Rank,#305,Overall,#42,Document stores",github.com/appy-one/acebase,,,2018.0,,Open Source,no,,,"server-less, requires a JavaScript environment (browser, Node.js)",,,,,,,,,,,,,,,,,,,
Qdrant,"A vector similarity,Search Engine,with neural network or semantic based matching",Search engine,,"Score,0.28,Rank,#306,Overall,#21,Search engines","github.com/qdrant/qdrant,qdrant.tech",qdrant.tech/documentation,Qdrant,2021.0,,Open Source,no,,Rust,Docker,,yes,no,,no,RESTful HTTP/JSON API,Python,,,,,no,,,,,,,
Tibco ComputeDB,Distributed in-memory data store for real-time operational analytics based on Apache Spark,Relational DBMS,,"Score,0.28,Rank,#307,Overall,#139,Relational DBMS",community.tibco.com/products/tibco-computedb,docs.tibco.com/products/tibco-computedb-enterprise-edition,Tibco,2015.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
SurrealDB,"A fully ACID transactional, developer-friendly, multi-model,DBMS","Document store,Graph DBMS",,"Score,0.26,Rank,#308,Overall,#43,Document stores,#29,Graph DBMS",surrealdb.com,surrealdb.com/docs,SurrealDB Ltd,2022.0,,Open Source,no,,Rust,"Linux,macOS,Windows",schema-free,yes,,,SQL-like query language,"GraphQL,RESTful HTTP API,WebSocket","Deno,Go,JavaScript (Node.js),Rust",,,,,no,,,ACID,yes,yes,,"yes, based on authentication and database rules"
LeanXcale,A highly scalable full ACID SQL database with fast NoSQL data ingestion and GIS capabilities,"Key-value store,Relational DBMS",,"Score,0.26,Rank,#309,Overall,#41,Key-value stores,#140,Relational DBMS",www.leanxcale.com,,LeanXcale,2015.0,,commercial,no,,,,yes,,,,yes,"JDBC,Kafka Connector,ODBC,proprietary key/value interface,Spark Connector","C,Java,Scala",,,,,no,Immediate Consistency,yes,ACID,yes,yes,yes,
Heroic,"Time Series DBMS built at Spotify based on,Cassandra,or,Google Cloud Bigtable,, and,ElasticSearch",Time Series DBMS,,"Score,0.26,Rank,#310,Overall,#24,Time Series DBMS",spotify.github.io/heroic/#!/index,spotify.github.io/heroic/#!/docs/overview,Spotify,2014.0,,Open Source,no,,Java,,schema-free,yes,no,yes,no,"HQL (Heroic Query Language, a JSON-based language),HTTP API",,no,no,Sharding,yes,no,"Eventual Consistency,Immediate Consistency",no,no,yes,yes,no,
Speedb,"An embeddable, high performance key-value store optimized for write-intensive workloads, which can be used as a drop-in replacement for,RocksDB",Key-value store,,"Score,0.26,Rank,#311,Overall,#42,Key-value stores",www.speedb.io,,Speedb,2020.0,,commercial,no,,C++,Linux,schema-free,no,no,no,no,,"C,C++,Go,Java,Perl,Python,Ruby",no,no,none,none,no,,no,yes,yes,yes,yes,no
Elliptics,Distributed Key-value Store,Key-value store,,"Score,0.25,Rank,#312,Overall,#43,Key-value stores",github.com/reverbrain/elliptics,,,2009.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
Mulgara,,RDF store,,"Score,0.25,Rank,#313,Overall,#16,RDF stores",www.mulgara.org,,,2006.0,"2.1.13, January 2012",Open Source,no,,Java,,,,,,,,,,,,,,,,,,,,
Transbase,"A resource-optimized, high-performance, universally applicable RDBMS",Relational DBMS,,"Score,0.25,Rank,#314,Overall,#141,Relational DBMS",www.transaction.de/en/products/transbase.html,www.transaction.de/en/products/transbase/features.html,Transaction Software GmbH,1987.0,"Transbase 8.4, September 2020",commercial,no,,C and C++,"FreeBSD,Linux,macOS,Solaris,Windows",yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC,Proprietary native API","C,C#,C++,Java,JavaScript,Kotlin,Objective-C,PHP,Python",yes,yes,,Source-replica replication,no,Immediate Consistency,yes,yes,yes,yes,no,fine grained access rights according to SQL-standard
RDFox,High performance knowledge graph and semantic reasoning engine,"Graph DBMS,RDF store",,"Score,0.25,Rank,#315,Overall,#30,Graph DBMS,#17,RDF stores",www.oxfordsemantic.tech,docs.oxfordsemantic.tech,,2017.0,"5.2, June 2021",commercial,no,,,"Linux,macOS,Windows",yes,,,,no,"RESTful HTTP API,SPARQL 1.1","C,Java",,,,,,,,ACID,,,yes,
SiteWhere,M2M integration platform for persisting/querying time series data,Time Series DBMS,,"Score,0.24,Rank,#316,Overall,#25,Time Series DBMS",sitewhere.io,sitewhere.io/docs/2.1.0,SiteWhere,2010.0,,Open Source,no,,Java,"Linux,OS X,Windows",predefined scheme,yes,no,no,no,HTTP REST,,,,Sharding,selectable replication factor,no,Immediate Consistency,no,no,yes,yes,no,Users with fine-grained authorization concept
Transwarp KunDB,"OLTP DBMS based on a distributed architecture and highly compatible with,MySQL,and,Oracle",Relational DBMS,,"Score,0.23,Rank,#317,Overall,#142,Relational DBMS",www.transwarp.cn/en/product/kundb,,Transwarp,,,commercial,no,,,,yes,yes,,yes,yes,,,yes,yes,horizontal partitioning,,no,Immediate Consistency,yes,ACID,yes,yes,,yes
Immudb,An open source immutable (append-only) database with cryptographic verification which makes it tamper-resistant and fully auditable.,Key-value store,Relational DBMS,"Score,0.22,Rank,#318,Overall,#44,Key-value stores","github.com/codenotary/immudb,www.codenotary.com/technologies/immudb",docs.immudb.io,Codenotary,2020.0,"1.2.3, April 2022",Open Source,no,,Go,"BSD,Linux,macOS,Solaris,Windows,z/OS",schema-free,,no,yes,SQL-like syntax,"gRPC protocol,PostgreSQL wire protocol",".Net,Go,Java,JavaScript (Node.js),Python",no,no,Sharding,,no,Immediate Consistency,no,ACID,yes,yes,no,
Hawkular Metrics,"Hawkular metrics is the metric storage of the Red Hat sponsored Hawkular monitoring system. It is based on,Cassandra,.",Time Series DBMS,,"Score,0.21,Rank,#319,Overall,#26,Time Series DBMS",www.hawkular.org,www.hawkular.org/hawkular-metrics/docs/user-guide,Community supported by Red Hat,2014.0,,Open Source,no,,Java,"Linux,OS X,Windows",schema-free,yes,no,no,no,HTTP REST,"Go,Java,Python,Ruby",no,yes,Sharding,selectable replication factor,no,"Eventual Consistency,Immediate Consistency",no,no,yes,yes,no,no
FeatureBase,"Real-time database platform that powers real-time analytics and machine learning applications by simultaneously executing low-latency, high-throughput, and highly concurrent workloads.",Relational DBMS,,"Score,0.20,Rank,#320,Overall,#143,Relational DBMS",www.molecula.com,docs.molecula.cloud,Molecula and Pilosa Open Source Contributors,2017.0,"2022, May 2022",commercial,no,,Go,"Linux,macOS",yes,yes,no,no,SQL queries,"gRPC,JDBC,Kafka Connector,ODBC","Java,Python",,no,Sharding,yes,,,yes,yes,yes,"yes, using Linux fsync",yes,
Typesense,"A typo-tolerant, in-memory search engine optimized for instant search-as-you-type experiences and developer productivity",Search engine,,"Score,0.20,Rank,#321,Overall,#22,Search engines",typesense.org,typesense.org/docs,,2015.0,,Open Source,no,,C++,Linux,schema-free,yes,,yes,no,RESTful HTTP API,".Net,Clojure,Dart,Go,Java,JavaScript,Perl,PHP,Python,Ruby,Rust,Swift",no,,,Multi-source replication using RAFT,no,,no,no,yes,yes,yes,
Bangdb,"Converged and high performance database for device data, events, time series, document and graph","Document store,Graph DBMS,Time Series DBMS",Spatial DBMS,"Score,0.20,Rank,#322,Overall,#44,Document stores,#31,Graph DBMS,#27,Time Series DBMS",bangdb.com,bangdb.com/developer,"Sachin Sinha, BangDB",2012.0,"BangDB 2.0, October 2021",Open Source,no,,"C, C++",Linux,schema-free,"yes: string, long, double, int, geospatial, stream, events",no,yes,SQL like support with command line tool,"Proprietary protocol,RESTful HTTP API","C,C#,C++,Java,Python",no,"yes, Notifications (with Streaming only)",Sharding (enterprise version only). P2P based virtual network overlay with consistent hashing and chord algorithm,"selectable replication factor, Knob for CAP (enterprise version only)",no,"Tunable consistency, set CAP knob accordingly",no,ACID,"yes, optimistic concurrency control","yes, implements WAL (Write ahead log) as well","yes, run db with in-memory only mode",yes (enterprise version only)
ArcadeDB,"Fast and scalable multi-model DBMS, originally forked from,OrientDB,but most of the code has been rewritten","Document store,Graph DBMS,Key-value store,Time Series DBMS",,"Score,0.20,Rank,#323,Overall,#45,Document stores,#32,Graph DBMS,#45,Key-value stores,#28,Time Series DBMS",arcadedb.com,docs.arcadedb.com,Arcade Data,2021.0,September 2021,Open Source,no,,Java,All OS with a Java VM,schema-free,yes,no,yes,"SQL-like query language, no joins","JDBC,MongoDB API,OpenCypher,PostgreSQL wire protocol,Redis API,RESTful HTTP/JSON API,TinkerPop Gremlin",Java,,,,Source-replica replication,no,Immediate Consistency,yes,ACID,yes,yes,,
Quasardb,"Distributed, high-performance timeseries database",Time Series DBMS,,"Score,0.20,Rank,#324,Overall,#29,Time Series DBMS",quasardb.net,doc.quasar.ai/master,quasardb,2009.0,"3.13.3, April 2022",commercial,no,,C++,"BSD,Linux,OS X,Windows",schema-free,yes,no,yes,SQL-like query language,HTTP API,".Net,C,C#,C++,Go,Java,JavaScript (Node.js),PHP,Python,R",no,no,Sharding,Source-replica replication with selectable replication factor,with Hadoop integration,Immediate Consistency,no,ACID,yes,yes,yes,Cryptographically strong user authentication and audit trail
Kyoto Tycoon,,Key-value store,,"Score,0.19,Rank,#325,Overall,#46,Key-value stores",dbmx.net//kyototycoon,,,2009.0,,Open Source,no,,C++,,,,,,,,,,,,,,,,,,,,
EsgynDB,"Enterprise-class SQL-on-Hadoop solution, powered by,Apache Trafodion",Relational DBMS,,"Score,0.19,Rank,#326,Overall,#144,Relational DBMS",www.esgyn.cn,,Esgyn,2015.0,,commercial,no,,"C++, Java",Linux,yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC",All languages supporting JDBC/ODBC/ADO.Net,Java Stored Procedures,no,Sharding,Multi-source replication between multi datacenters,yes,Immediate Consistency,yes,ACID,yes,yes,no,fine grained access rights according to SQL-standard
Eloquera,,Object oriented DBMS,,"Score,0.19,Rank,#327,Overall,#17,Object oriented DBMS",www.nuget.org/packages/EloqueraDB,,,2008.0,6.3.3; January 2014,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Machbase,TimeSeries DBMS for AIoT and BigData,Time Series DBMS,,"Score,0.19,Rank,#327,Overall,#30,Time Series DBMS",www.machbase.com,machbase.atlassian.net/wiki/spaces/MAN/overview,Machbase,2013.0,"V6.5, August 2021",commercial,no,,C,"Linux,Windows",yes,yes,no,yes,SQL-like query language,"HTTP REST,JDBC,ODBC","C,C#,C++,Java,JavaScript,PHP,Python,R,Scala",no,no,Sharding,selectable replication factor,no,,no,no,yes,no,yes,simple password-based access control
OrigoDB,A fully ACID in-memory object graph database,"Document store,Object oriented DBMS",,"Score,0.19,Rank,#327,Overall,#46,Document stores,#17,Object oriented DBMS",origodb.com,origodb.com/docs,Robert Friberg et al,2009.0,,Open Source,no,,C#,"Linux,Windows",yes,User defined using .NET types and collections,no,yes,no,".NET Client API,HTTP API,LINQ",.Net,yes,yes,horizontal partitioning,Source-replica replication,no,,depending on model,ACID,yes,yes,yes,Role based authorization
RaptorDB,,Document store,,"Score,0.19,Rank,#327,Overall,#46,Document stores",github.com/mgholam/RaptorDB-Document,www.codeproject.com/Articles/375413/RaptorDB-The-Document-Store-2,,,,Open Source,no,,C#,,,,,,,,,,,,,,,,,,,,
WhiteDB,,Document store,,"Score,0.19,Rank,#327,Overall,#46,Document stores",whitedb.org,,,2008.0,,Open Source,no,,C,,,,,,,,,,,,,,,,,,,,
LedisDB,,Key-value store,,"Score,0.19,Rank,#332,Overall,#47,Key-value stores",ledisdb.io,,,2014.0,,Open Source,no,,Go,,,,,,,,,,,,,,,,,,,,
Faircom DB,Native high-speed multi-model DBMS for relational and key-value store data simultaneously accessible through SQL and NoSQL APIs.,"Key-value store,Relational DBMS",,"Score,0.18,Rank,#333,Overall,#48,Key-value stores,#145,Relational DBMS",www.faircom.com/products/faircom-db,learn.faircomcorp.com/developers/documentation_directory,FairCom Corporation,1979.0,"V12, November 2020",commercial,no,,"ANSI C, C++","AIX,FreeBSD,HP-UX,Linux,NetBSD,OS X,QNX,SCO,Solaris,VxWorks,Windows","schema free, schema optional, schema required, partial schema,","yes, ANSI SQL Types, JSON, typed binary structures",no,yes,"yes, ANSI SQL with proprietary extensions","ADO.NET,Direct SQL,JDBC,JPA,ODBC,RESTful HTTP/JSON API,RESTful MQTT/JSON API,RPC",".Net,C,C#,C++,Java,JavaScript (Node.js and browser),PHP,Python,Visual Basic",yes,yes,"File partitioning, horizontal partitioning, sharding","yes, configurable to be parallel or serial, synchronous or asynchronous, uni-directional or bi-directional, ACID-consistent or eventually consistent (with custom conflict resolution).",no,"Eventual Consistency,Immediate Consistency,Tunable consistency per server, database, table, and transaction",yes,tunable from ACID to Eventually Consistent,yes,"Yes, tunable from durable to delayed durability to in-memory",yes,Fine grained access rights according to SQL-standard with additional protections for files
Sparksee,,Graph DBMS,,"Score,0.18,Rank,#334,Overall,#33,Graph DBMS",sparsity-technologies.com/#sparksee,,,2008.0,"v6.0, 2021",commercial,no,,,,,,,,,,,,,,,,,,,,,,
H2GIS,"Spatial extension of,H2",Spatial DBMS,Relational DBMS,"Score,0.18,Rank,#335,Overall,#5,Spatial DBMS",www.h2gis.org,www.h2gis.org/docs/home,CNRS,2013.0,,Open Source,no,,Java,,yes,yes,no,yes,yes,,Java,yes,yes,none,yes,no,Immediate Consistency,yes,ACID,"yes, multi-version concurrency control (MVCC)",yes,yes,yes
ActorDB,"A distributed, consistent,RDBMS",Relational DBMS,,"Score,0.18,Rank,#336,Overall,#146,Relational DBMS",www.actordb.com,www.actordb.com/docs-about.html,,2014.0,,Open Source,no,,,,,,,,,,,,,,,,Immediate Consistency,,,,,,
BigObject,Analytic DBMS for real-time computations and queries,Relational DBMS,,"Score,0.18,Rank,#336,Overall,#146,Relational DBMS",bigobject.io,docs.bigobject.io,"BigObject, Inc.",2015.0,,commercial,no,,,"Linux,OS X,Windows",yes,yes,no,yes,SQL-like DML and DDL statements,"fluentd,ODBC,RESTful HTTP API",,Lua,no,none,none,no,none,yes,no,yes,yes,yes,no
Blueflood,"Scalable TimeSeries DBMS based on,Cassandra",Time Series DBMS,,"Score,0.18,Rank,#336,Overall,#31,Time Series DBMS",blueflood.io,github.com/rackerlabs/blueflood/wiki,Rackspace,2013.0,,Open Source,no,,Java,"Linux,OS X",predefined scheme,yes,no,no,no,HTTP REST,,no,no,Sharding,selectable replication factor,no,"Eventual Consistency,Immediate Consistency",no,no,yes,yes,no,no
BrightstarDB,,RDF store,,"Score,0.18,Rank,#336,Overall,#18,RDF stores",brightstardb.com,,,2012.0,,Open Source,no,,C#,,,,,,,,,,,,,,,,,,,,
Exorbyte,,Search engine,,"Score,0.18,Rank,#336,Overall,#23,Search engines",www.exorbyte.com,,,2000.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
STSdb,Key-Value Store with special method for indexing,Key-value store,,"Score,0.18,Rank,#336,Overall,#49,Key-value stores",github.com/STSSoft/STSdb4,,STS Soft SC,2011.0,"4.0.8, September 2015",Open Source,no,,C#,Windows,yes,yes,,no,no,.NET Client API,"C#,Java",no,no,none,none,no,,no,no,yes,yes,,no
TerarkDB,"A,key-value store,forked from,RocksDB,with advanced compression algorithms. It can be used standalone or as a storage engine for,MySQL,and,MongoDB",Key-value store,,"Score,0.18,Rank,#336,Overall,#49,Key-value stores",github.com/Terark/terarkdb,github.com/Terark/terarkdb/wiki,Terark,2016.0,,commercial,no,,C++,,schema-free,no,no,no,no,"C++ API,Java API","C++,Java",no,no,none,none,no,,no,no,yes,yes,yes,no
TomP2P,Distributed Key-Value store,Key-value store,,"Score,0.18,Rank,#336,Overall,#49,Key-value stores",tomp2p.net,,,2004.0,4.4,Open Source,no,,Java,,,,,,,,,,,,,,,,,,,,
VelocityDB,A .NET Object Database that can be embedded/distributed and extended to a graph data model (VelocityGraph),"Graph DBMS,Object oriented DBMS",,"Score,0.18,Rank,#336,Overall,#34,Graph DBMS,#19,Object oriented DBMS",velocitydb.com,velocitydb.com/UserGuide,VelocityDB Inc,2011.0,7.x,commercial,no,,C#,Any that supports .NET,yes,yes,no,yes,no,.Net,.Net,no,Callbacks are triggered when data changes,Sharding,,no,Immediate Consistency,no,ACID,yes,yes,yes,Based on Windows Authentication
