Name,Description,Primary database model,Secondary database models,DB-Engines Ranking Trend Chart,Website,Technical documentation,Developer,Initial release,Current release,License,Cloud-based only,DBaaS offerings (sponsored links),Implementation language,Server operating systems,Data scheme,Typing,XML support,Secondary indexes,SQL,APIs and other access methods,Supported programming languages,Server-side scripts,Triggers,Partitioning methods,Replication methods,MapReduce,Consistency concepts,Foreign keys,Transaction concepts,Concurrency,Durability,In-memory capabilities,User concepts
FileMaker,"FileMaker is a cross-platform,RDBMS,that includes a GUI frontend.",Relational DBMS,,"Score,54.31,Rank,#21,Overall,#14,Relational DBMS",www.claris.com/filemaker,www.claris.com/resources/documentation,FileMaker,1983.0,"19.4.1, November 2021",commercial,no,,,"iOS,Linux,OS X,Windows",yes,yes,yes,yes,yes,"Filemaker WebDirect,JDBC,ODBC",PHP,yes,yes,none,"Source-replica replication, warm standby",no,,yes,no,yes,yes,,simple rights management via user accounts and connection to external directory services
Google BigQuery,Large scale data warehouse service with append-only tables,Relational DBMS,,"Score,54.13,Rank,#22,Overall,#15,Relational DBMS",cloud.google.com/bigquery,cloud.google.com/bigquery/docs,Google,2010.0,,commercial,yes,,,hosted,yes,yes,no,no,yes,RESTful HTTP/JSON API,".Net,Java,JavaScript,Objective-C,PHP,Python,Ruby",user defined functions,no,none,,no,Immediate Consistency,no,no,yes,yes,no,"Access privileges (owner, writer, reader) on dataset, table or view level"
SAP HANA,"In-memory, column based data store. Available as appliance or cloud service",Relational DBMS,"Document store,Graph DBMS,Spatial DBMS","Score,51.45,Rank,#23,Overall,#16,Relational DBMS",www.sap.com/products/hana.html,help.sap.com/hana,SAP,2010.0,"2.0 SPS06 (March 4, 2022), March 2022",commercial,no,,,Appliance or cloud-service,yes,yes,no,yes,yes,"JDBC,ODBC",,"SQLScript, R",yes,yes,yes,no,Immediate Consistency,yes,ACID,yes,yes,yes,yes
Solr,"A widely used distributed, scalable,search engine,based on,Apache Lucene",Search engine,Spatial DBMS,"Score,51.33,Rank,#24,Overall,#3,Search engines",lucene.apache.org/solr,lucene.apache.org/solr/resources.html,Apache Software Foundation,2006.0,"9.0.0, May 2022",Open Source,no,,Java,All OS with a Java VM,yes,yes,yes,yes,Solr Parallel SQL Interface,"Java API,RESTful HTTP/JSON API",".Net,Erlang,Java,JavaScript,any language that supports sockets and either XML or JSON,Perl,PHP,Python,Ruby,Scala",Java plugins,yes,Sharding,yes,"spark-solr:,github.com/lucidworks/spark-solr,and streaming expressions to reduce",Eventual Consistency,no,optimistic locking,yes,yes,yes,yes
SAP Adaptive Server,"The SAP (Sybase) Adaptive Server Enterprise (ASE) is an enterprise-class,RDBMS",Relational DBMS,Spatial DBMS,"Score,43.58,Rank,#25,Overall,#17,Relational DBMS",www.sap.com/products/sybase-ase.html,help.sap.com/viewer/product/SAP_ASE,"SAP, Sybase",1987.0,16.0,commercial,no,,C and C++,"AIX,HP-UX,Linux,Solaris,Unix,Windows",yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC,OLE DB,Tabular Data Stream (TDS)","C,C++,Cobol,Java,Java,Perl,PHP,Python",Java and Transact-SQL,yes,horizontal partitioning,"Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,,fine grained access rights according to SQL-standard
HBase,Wide-column store based on Apache Hadoop and on concepts of BigTable,Wide column store,,"Score,40.41,Rank,#26,Overall,#2,Wide column stores",hbase.apache.org,hbase.apache.org,Apache Software Foundation,2008.0,"2.3.4, January 2021",Open Source,no,,Java,"Linux,Unix,Windows","schema-free, schema definition possible","options to bring your own types, AVRO",no,no,no,"Java API,RESTful HTTP API,Thrift","C,C#,C++,Groovy,Java,PHP,Python,Scala",yes,yes,Sharding,"Multi-source replication,Source-replica replication",yes,Immediate Consistency or Eventual Consistency,no,Single row ACID (across millions of columns),yes,yes,yes,"Access Control Lists (ACL) for RBAC, integration with Apache Ranger for RBAC & ABAC"
Microsoft Azure Cosmos DB,"Globally distributed, horizontally scalable, multi-model database service","Document store,Graph DBMS,Key-value store,Wide column store",Spatial DBMS,"Score,39.75,Rank,#27,Overall,#4,Document stores,#2,Graph DBMS,#3,Key-value stores,#3,Wide column stores",azure.microsoft.com/services/cosmos-db,docs.microsoft.com/azure/cosmos-db,Microsoft,2014.0,,commercial,yes,,,hosted,schema-free,yes,,yes,SQL-like query language,"DocumentDB API,Graph API (Gremlin),MongoDB API,RESTful HTTP API,Table API",".Net,C#,Java,JavaScript,JavaScript (Node.js),MongoDB client drivers written for various programming languages,Python",JavaScript,JavaScript,Sharding,yes,with Hadoop integration,"Bounded Staleness,Consistent Prefix,Eventual Consistency,Immediate Consistency,Session Consistency",no,Multi-item ACID transactions with snapshot isolation within a partition,yes,yes,,Access rights can be defined down to the item level
PostGIS,"Spatial extension of,PostgreSQL",Spatial DBMS,Relational DBMS,"Score,30.78,Rank,#28,Overall,#1,Spatial DBMS",postgis.net,postgis.net/documentation,,2005.0,"3.2.1, February 2022",Open Source,no,,C,,yes,yes,yes,yes,yes,,,user defined functions,yes,yes,yes,no,Immediate Consistency,yes,ACID,yes,yes,no,yes
InfluxDB,"DBMS for storing time series, events and metrics",Time Series DBMS,Spatial DBMS,"Score,29.96,Rank,#29,Overall,#1,Time Series DBMS",www.influxdata.com/products/influxdb-overview,docs.influxdata.com/influxdb,,2013.0,"2.4, August 2022",Open Source,no,,Go,"Linux,OS X",schema-free,Numeric data and Strings,no,no,SQL-like query language,"HTTP API,JSON over UDP",".Net,Clojure,Erlang,Go,Haskell,Java,JavaScript,JavaScript (Node.js),Lisp,Perl,PHP,Python,R,Ruby,Rust,Scala",no,no,Sharding,selectable replication factor,no,,no,no,yes,yes,yes,simple rights management via user accounts
Couchbase,"A distributed,document store,with a powerful search engine and in-built operational and analytical capabilities",Document store,"Key-value store,Spatial DBMS","Score,28.62,Rank,#30,Overall,#5,Document stores",www.couchbase.com,docs.couchbase.com,"Couchbase, Inc.",2011.0,"Server: 7.0, July 2021; Mobile: 3, February 2022; Couchbase Capella, October 2021",Open Source,no,"Couchbase Capella,: a fully managed database-as-a-service that eliminates database management efforts and reduces cost","C, C++, Go and Erlang","Linux,OS X,Windows",schema-free,yes,,yes,Declarative query language (N1QL) that extends ANSI SQL to JSON. First commercial implementation of SQL++.,"Native language bindings for CRUD, Query, Search and Analytics APIs",".Net,C,Go,Java,JavaScript,PHP,Python,Ruby,Scala",Functions and timers in JavaScript,yes,Sharding,"Multi-source replication,Source-replica replication",yes,"Eventual Consistency,Immediate Consistency",no,ACID,yes,yes,yes,User and Administrator separation with password-based and LDAP integrated Authentication
Amazon Redshift,Large scale data warehouse service for use with business intelligence tools,Relational DBMS,,"Score,27.04,Rank,#31,Overall,#18,Relational DBMS",aws.amazon.com/redshift,docs.aws.amazon.com/redshift,"Amazon (based on,PostgreSQL,)",2012.0,,commercial,yes,,C,hosted,yes,yes,no,restricted,yes,"JDBC,ODBC",All languages supporting JDBC/ODBC,user defined functions,no,Sharding,yes,no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
Firebird,"Firebird is an open source,RDBMS,forked from Borland's,InterBase",Relational DBMS,,"Score,25.37,Rank,#32,Overall,#19,Relational DBMS",www.firebirdsql.org,www.firebirdsql.org/en/reference-manuals,Firebird Foundation,2000.0,"4.0.2, August 2022",Open Source,no,,C and C++,"AIX,FreeBSD,HP-UX,Linux,OS X,server-less,Solaris,Unix,Windows",yes,yes,,yes,yes,"ADO.NET,C/C++ API,JDBC,ODBC,OLE DB","C,C#,C++,Delphi,Java,JavaScript,Lua,Perl,PHP,Python,Ruby",PSQL,yes,none,Source-replica replication,no,,yes,ACID,yes,yes,,Users with fine-grained authorization concept
Memcached,"In-memory key-value store, originally intended for caching",Key-value store,,"Score,24.45,Rank,#33,Overall,#4,Key-value stores",www.memcached.org,github.com/memcached/memcached/wiki,Danga Interactive,2003.0,"1.6.17, August 2022",Open Source,no,,C,"FreeBSD,Linux,OS X,Unix,Windows",schema-free,no,,no,no,Proprietary protocol,".Net,C,C++,ColdFusion,Erlang,Java,Lisp,Lua,OCaml,Perl,PHP,Python,Ruby",no,no,none,none,no,,no,no,yes,no,,yes
Microsoft Azure Synapse Analytics,"Elastic, large scale data warehouse service leveraging the broad eco-system of SQL Server",Relational DBMS,,"Score,23.03,Rank,#34,Overall,#20,Relational DBMS",azure.microsoft.com/services/synapse-analytics,docs.microsoft.com/azure/synapse-analytics,Microsoft,2016.0,,commercial,yes,,C++,hosted,yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC","C#,Java,PHP",Transact SQL,no,"Sharding, horizontal partitioning",yes,no,Immediate Consistency,no,ACID,yes,yes,,yes
Informix,"A secure embeddable database from IBM, positioned besides,IBM Db2,as a relatively low-cost product optimized for OLTP and Internet of Things data",Relational DBMS,"Document store,Spatial DBMS,Time Series DBMS","Score,22.82,Rank,#35,Overall,#21,Relational DBMS",www.ibm.com/products/informix,"informix.hcldoc.com,www.ibm.com/support/knowledgecenter/SSGU8G/welcomeIfxServers.html","IBM, HCL Technologies",1984.0,"14.10.FC5, November 2020",commercial,no,,"C, C++ and Java","AIX,HP-UX,Linux,macOS,Solaris,Windows",yes,yes,,yes,yes,"JDBC,JSON API,MQTT (Message Queue Telemetry Transport),ODBC,RESTful HTTP API",".Net,C,C++,Java,JavaScript (Node.js),PHP,Python,Ruby",yes,yes,Sharding,"Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,yes,"Users with fine-grained authentication, authorization, and auditing controls"
Spark SQL,Spark SQL is a component on top of 'Spark Core' for structured data processing,Relational DBMS,,"Score,21.90,Rank,#36,Overall,#22,Relational DBMS",spark.apache.org/sql,spark.apache.org/docs/latest/sql-programming-guide.html,Apache Software Foundation,2014.0,"3.3.0 ( 2.13), June 2022",Open Source,no,,Scala,"Linux,OS X,Windows",yes,yes,no,no,SQL-like DML and DDL statements,"JDBC,ODBC","Java,Python,R,Scala",no,no,"yes, utilizing Spark Core",none,,,no,no,yes,yes,no,no
Firebase Realtime Database,"Cloud-hosted realtime,document store,. iOS, Android, and JavaScript clients share one Realtime Database instance and automatically receive updates with the newest data.",Document store,,"Score,19.84,Rank,#37,Overall,#6,Document stores",firebase.google.com/products/realtime-database,firebase.google.com/docs/database,Google,2012.0,,commercial,yes,,,hosted,schema-free,yes,no,yes,no,"Android,iOS,JavaScript API,RESTful HTTP API","Java,JavaScript,Objective-C",limited functionality with using 'rules',Callbacks are triggered when data changes,,,no,"Eventual Consistency,Immediate Consistency",no,yes,yes,yes,,"yes, based on authentication and database rules"
