Rank_Feb-2024,Rank_Jan-2024,Rank_Feb-2023,DBMS,Database Model,Score_Feb-2024,Score_Jan-2024,Score_Feb-2023,DBMS_insitelink,Multi_model_info
208.,199.,197.,Xapian,Search engine,1.02,-0.21,-0.17,https://db-engines.com/en/system/Xapian,
209.,221.,235.,Yellowbrick,Relational,0.98,-0.02,+0.12,https://db-engines.com/en/system/Yellowbrick,
210.,210.,207.,M3DB,Time Series,0.96,-0.14,-0.12,https://db-engines.com/en/system/M3DB,
211.,204.,186.,NuoDB,Relational,0.95,-0.23,-0.39,https://db-engines.com/en/system/NuoDB,
212.,209.,184.,Actian Vector,Relational,0.95,-0.16,-0.40,https://db-engines.com/en/system/Actian+Vector,
213.,211.,205.,WebSphere eXtreme Scale,Key-value,0.94,-0.16,-0.14,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,
214.,222.,225.,GeoMesa,Spatial,0.92,-0.09,-0.02,https://db-engines.com/en/system/GeoMesa,
215.,224.,216.,SciDB,Multivalue,0.91,-0.09,-0.10,https://db-engines.com/en/system/SciDB,
216.,223.,227.,CrateDB,Multi-model,0.91,-0.09,0.00,https://db-engines.com/en/system/CrateDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Relational DBMS"
217.,215.,200.,IDMS,Navigational,0.90,-0.14,-0.24,https://db-engines.com/en/system/IDMS,
218.,228.,239.,Datacom/DB,Relational,0.90,-0.04,+0.12,https://db-engines.com/en/system/Datacom%2FDB,
219.,217.,214.,TDSQL for MySQL,"Relational, Multi-model",0.90,-0.13,-0.12,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
220.,254.,245.,Apache Doris,Relational,0.89,+0.14,+0.15,https://db-engines.com/en/system/Apache+Doris,
221.,214.,195.,solidDB,Relational,0.86,-0.19,-0.37,https://db-engines.com/en/system/solidDB,
222.,226.,228.,Amazon Keyspaces,Wide column,0.85,-0.11,-0.06,https://db-engines.com/en/system/Amazon+Keyspaces,
223.,225.,231.,SQream DB,Relational,0.85,-0.13,-0.05,https://db-engines.com/en/system/SQream+DB,
224.,216.,224.,BigchainDB,Document,0.82,-0.21,-0.12,https://db-engines.com/en/system/BigchainDB,
225.,213.,196.,Hibari,Key-value,0.82,-0.23,-0.39,https://db-engines.com/en/system/Hibari,
226.,238.,269.,Kinetica,"Relational, Multi-model",0.80,-0.06,+0.24,https://db-engines.com/en/system/Kinetica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
227.,227.,230.,ObjectDB,Object oriented,0.79,-0.16,-0.11,https://db-engines.com/en/system/ObjectDB,
228.,220.,202.,eXist-db,Native XML,0.78,-0.23,-0.33,https://db-engines.com/en/system/eXist-db,
229.,244.,243.,Objectivity/DB,Object oriented,0.78,-0.03,+0.02,https://db-engines.com/en/system/Objectivity%2FDB,
230.,219.,215.,DBISAM,Relational,0.78,-0.24,-0.24,https://db-engines.com/en/system/DBISAM,
231.,243.,254.,Apache Pinot,Relational,0.77,-0.03,+0.11,https://db-engines.com/en/system/Apache+Pinot,
232.,212.,165.,SQL.JS,Relational,0.77,-0.32,-0.85,https://db-engines.com/en/system/SQL.JS,
233.,248.,283.,Alibaba Cloud AnalyticDB for MySQL,"Relational, Multi-model",0.76,-0.02,+0.27,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store"
234.,245.,,Vald,Vector,0.76,-0.04,,https://db-engines.com/en/system/Vald,
235.,230.,198.,Blazegraph,Multi-model,0.75,-0.16,-0.43,https://db-engines.com/en/system/Blazegraph,"Graph DBMS,RDF store"
236.,252.,279.,Alibaba Cloud MaxCompute,Relational,0.75,-0.02,+0.24,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
237.,231.,233.,BoltDB,Key-value,0.73,-0.17,-0.14,https://db-engines.com/en/system/BoltDB,
238.,249.,306.,Heroic,Time Series,0.71,-0.07,+0.33,https://db-engines.com/en/system/Heroic,
239.,242.,247.,SearchBlox,Search engine,0.70,-0.13,-0.02,https://db-engines.com/en/system/SearchBlox,
240.,234.,236.,OpenInsight,Multivalue,0.69,-0.19,-0.15,https://db-engines.com/en/system/OpenInsight,
241.,246.,267.,HarperDB,Document,0.69,-0.10,+0.13,https://db-engines.com/en/system/HarperDB,
242.,240.,208.,Graph Engine,Multi-model,0.68,-0.17,-0.40,https://db-engines.com/en/system/Graph+Engine,"Graph DBMS,Key-value store"
243.,237.,211.,FrontBase,Relational,0.68,-0.18,-0.36,https://db-engines.com/en/system/FrontBase,
244.,232.,220.,MapDB,Key-value,0.68,-0.22,-0.31,https://db-engines.com/en/system/MapDB,
245.,233.,238.,eXtremeDB,Multi-model,0.68,-0.21,-0.12,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS"
246.,247.,194.,RDF4J,RDF,0.67,-0.12,-0.59,https://db-engines.com/en/system/RDF4J,
247.,235.,222.,NexusDB,Relational,0.67,-0.21,-0.31,https://db-engines.com/en/system/NexusDB,
248.,236.,229.,ScaleArc,Relational,0.66,-0.21,-0.24,https://db-engines.com/en/system/ScaleArc,
249.,255.,262.,GemStone/S,Object oriented,0.66,-0.08,+0.08,https://db-engines.com/en/system/GemStone%2FS,
250.,241.,258.,atoti,Object oriented,0.65,-0.20,+0.03,https://db-engines.com/en/system/atoti,
251.,259.,242.,4store,RDF,0.65,-0.06,-0.12,https://db-engines.com/en/system/4store,
252.,253.,210.,KairosDB,Time Series,0.64,-0.13,-0.42,https://db-engines.com/en/system/KairosDB,
253.,257.,,RisingWave,Relational,0.60,-0.12,,https://db-engines.com/en/system/RisingWave,
254.,264.,,Vespa,Multi-model,0.60,-0.06,,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS"
255.,250.,232.,VistaDB,Relational,0.59,-0.18,-0.28,https://db-engines.com/en/system/VistaDB,
256.,258.,237.,Scalaris,Key-value,0.59,-0.12,-0.23,https://db-engines.com/en/system/Scalaris,
257.,265.,253.,Strabon,RDF,0.58,-0.07,-0.10,https://db-engines.com/en/system/Strabon,
258.,266.,290.,Jade,Object oriented,0.58,-0.05,+0.15,https://db-engines.com/en/system/Jade,
259.,262.,241.,Kingbase,"Relational, Multi-model",0.57,-0.09,-0.19,https://db-engines.com/en/system/Kingbase,"Relational DBMS,Document store,Spatial DBMS"
260.,251.,249.,AlaSQL,Multi-model,0.56,-0.21,-0.15,https://db-engines.com/en/system/AlaSQL,"Document store,Relational DBMS"
261.,268.,266.,ITTIA,"Time Series, Multi-model",0.56,-0.06,-0.01,https://db-engines.com/en/system/ITTIA,"Time Series DBMS,Relational DBMS"
262.,271.,265.,Percona Server for MongoDB,Document,0.56,-0.05,-0.01,https://db-engines.com/en/system/Percona+Server+for+MongoDB,
263.,280.,305.,Alibaba Cloud AnalyticDB for PostgreSQL,Relational,0.55,+0.02,+0.17,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,
264.,256.,234.,R:BASE,Relational,0.54,-0.18,-0.32,https://db-engines.com/en/system/R%3ABASE,
265.,260.,212.,Splice Machine,Relational,0.54,-0.15,-0.49,https://db-engines.com/en/system/Splice+Machine,
266.,229.,,CnosDB,Time Series,0.54,-0.39,,https://db-engines.com/en/system/CnosDB,
267.,263.,251.,Postgres-XL,"Relational, Multi-model",0.52,-0.14,-0.18,https://db-engines.com/en/system/Postgres-XL,"Relational DBMS,Document store,Spatial DBMS"
268.,276.,277.,Redland,RDF,0.52,-0.05,+0.00,https://db-engines.com/en/system/Redland,
269.,279.,273.,Raima Database Manager,Multi-model,0.50,-0.04,-0.03,https://db-engines.com/en/system/Raima+Database+Manager,"Relational DBMS,Time Series DBMS"
270.,273.,297.,HyperGraphDB,Graph,0.49,-0.10,+0.08,https://db-engines.com/en/system/HyperGraphDB,
271.,270.,250.,Rasdaman,Multivalue,0.48,-0.14,-0.23,https://db-engines.com/en/system/Rasdaman,
272.,272.,252.,LokiJS,Document,0.47,-0.13,-0.23,https://db-engines.com/en/system/LokiJS,
273.,269.,264.,Project Voldemort,Key-value,0.47,-0.15,-0.10,https://db-engines.com/en/system/Project+Voldemort,
274.,275.,260.,Sequoiadb,Multi-model,0.47,-0.12,-0.12,https://db-engines.com/en/system/Sequoiadb,"Document store,Relational DBMS"
275.,261.,246.,ModeShape,Content,0.47,-0.20,-0.26,https://db-engines.com/en/system/ModeShape,
276.,298.,318.,Alibaba Cloud ApsaraDB for PolarDB,Relational,0.44,0.00,+0.10,https://db-engines.com/en/system/Alibaba+Cloud+ApsaraDB+for+PolarDB,
277.,278.,270.,Comdb2,Relational,0.43,-0.10,-0.12,https://db-engines.com/en/system/Comdb2,
278.,287.,309.,RedStore,RDF,0.42,-0.07,+0.06,https://db-engines.com/en/system/RedStore,
279.,299.,322.,Alibaba Cloud Log Service,Search engine,0.42,-0.01,+0.11,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,
280.,274.,,Databend,Relational,0.42,-0.16,,https://db-engines.com/en/system/Databend,
281.,302.,263.,Tokyo Tyrant,Key-value,0.41,+0.00,-0.17,https://db-engines.com/en/system/Tokyo+Tyrant,
282.,285.,289.,Mimer SQL,Relational,0.41,-0.09,-0.03,https://db-engines.com/en/system/Mimer+SQL,
283.,267.,272.,Lovefield,Relational,0.40,-0.22,-0.13,https://db-engines.com/en/system/Lovefield,
284.,291.,288.,Marqo,Search engine,0.40,-0.07,-0.05,https://db-engines.com/en/system/Marqo,
285.,293.,275.,Cloudflare Workers KV,Key-value,0.39,-0.06,-0.12,https://db-engines.com/en/system/Cloudflare+Workers+KV,
286.,277.,259.,InfiniteGraph,Graph,0.38,-0.18,-0.24,https://db-engines.com/en/system/InfiniteGraph,
287.,288.,280.,EJDB,Document,0.37,-0.12,-0.13,https://db-engines.com/en/system/EJDB,
288.,289.,285.,Kyligence Enterprise,Relational,0.37,-0.11,-0.11,https://db-engines.com/en/system/Kyligence+Enterprise,
289.,283.,255.,Starcounter,Object oriented,0.36,-0.14,-0.28,https://db-engines.com/en/system/Starcounter,
290.,286.,298.,Axibase,Time Series,0.36,-0.13,-0.05,https://db-engines.com/en/system/Axibase,
291.,282.,261.,OpenQM,Multivalue,0.35,-0.17,-0.23,https://db-engines.com/en/system/OpenQM,
292.,306.,284.,TransLattice,Relational,0.34,-0.07,-0.14,https://db-engines.com/en/system/TransLattice,
293.,311.,276.,Brytlyt,Relational,0.33,-0.04,-0.18,https://db-engines.com/en/system/Brytlyt,
294.,316.,313.,Speedb,Key-value,0.33,-0.02,-0.02,https://db-engines.com/en/system/Speedb,
295.,281.,268.,Actian FastObjects,Object oriented,0.33,-0.20,-0.23,https://db-engines.com/en/system/Actian+FastObjects,
296.,303.,248.,Tajo,Relational,0.33,-0.08,-0.39,https://db-engines.com/en/system/Tajo,
297.,284.,344.,AnzoGraph DB,Multi-model,0.32,-0.18,+0.09,https://db-engines.com/en/system/AnzoGraph+DB,"Graph DBMS,RDF store"
298.,309.,371.,Badger,Key-value,0.32,-0.06,+0.20,https://db-engines.com/en/system/Badger,
299.,322.,286.,ElevateDB,Relational,0.32,+0.00,-0.14,https://db-engines.com/en/system/ElevateDB,
300.,329.,389.,PieCloudDB,Relational,0.31,+0.03,+0.31,https://db-engines.com/en/system/PieCloudDB,
301.,294.,323.,Immudb,"Key-value, Multi-model",0.31,-0.14,+0.00,https://db-engines.com/en/system/Immudb,"Key-value store,Relational DBMS"
302.,325.,370.,Fujitsu Enterprise Postgres,"Relational, Multi-model",0.31,+0.01,+0.19,https://db-engines.com/en/system/Fujitsu+Enterprise+Postgres,"Relational DBMS,Document store,Spatial DBMS"
303.,297.,301.,Fluree,Graph,0.30,-0.14,-0.09,https://db-engines.com/en/system/Fluree,
304.,290.,257.,Elassandra,"Wide column, Multi-model",0.30,-0.17,-0.33,https://db-engines.com/en/system/Elassandra,"Wide column store,Search engine"
305.,307.,315.,TerminusDB,"Graph, Multi-model",0.30,-0.09,-0.04,https://db-engines.com/en/system/TerminusDB,"Graph DBMS,Document store,RDF store"
306.,296.,271.,YDB,Multi-model,0.30,-0.15,-0.25,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS"
307.,295.,291.,PipelineDB,Relational,0.30,-0.15,-0.12,https://db-engines.com/en/system/PipelineDB,
308.,310.,,MyScale,Multi-model,0.29,-0.09,,https://db-engines.com/en/system/MyScale,"Relational DBMS,Vector DBMS"
309.,301.,,Apache Sedona,Spatial,0.29,-0.12,,https://db-engines.com/en/system/Apache+Sedona,
310.,305.,296.,Riak TS,Time Series,0.29,-0.12,-0.12,https://db-engines.com/en/system/Riak+TS,
311.,292.,328.,Elliptics,Key-value,0.28,-0.19,-0.02,https://db-engines.com/en/system/Elliptics,
312.,333.,,Dragonfly,Key-value,0.28,+0.02,,https://db-engines.com/en/system/Dragonfly,
313.,318.,310.,Machbase Neo,Time Series,0.27,-0.06,-0.08,https://db-engines.com/en/system/Machbase+Neo,
314.,326.,368.,AntDB,Relational,0.27,-0.03,+0.13,https://db-engines.com/en/system/AntDB,
315.,312.,312.,LeanXcale,Multi-model,0.27,-0.10,-0.08,https://db-engines.com/en/system/LeanXcale,"Key-value store,Relational DBMS"
316.,308.,282.,FlockDB,Graph,0.26,-0.11,-0.23,https://db-engines.com/en/system/FlockDB,
317.,304.,316.,Bangdb,Multi-model,0.25,-0.15,-0.08,https://db-engines.com/en/system/Bangdb,"Document store,Graph DBMS,Time Series DBMS,Spatial DBMS"
318.,315.,,Deep Lake,Vector,0.25,-0.10,,https://db-engines.com/en/system/Deep+Lake,
319.,319.,327.,Manticore Search,"Search engine, Multi-model",0.25,-0.09,-0.06,https://db-engines.com/en/system/Manticore+Search,"Search engine,Time Series DBMS"
320.,317.,281.,Mulgara,RDF,0.24,-0.10,-0.26,https://db-engines.com/en/system/Mulgara,
321.,323.,367.,Faircom DB,Multi-model,0.24,-0.07,+0.09,https://db-engines.com/en/system/Faircom+DB,"Key-value store,Relational DBMS"
322.,340.,333.,Tibco ComputeDB,Relational,0.24,0.00,-0.03,https://db-engines.com/en/system/Tibco+ComputeDB,
323.,314.,321.,RDFox,Multi-model,0.23,-0.12,-0.09,https://db-engines.com/en/system/RDFox,"Graph DBMS,RDF store,Relational DBMS"
324.,313.,,YottaDB,"Key-value, Multi-model",0.23,-0.13,,https://db-engines.com/en/system/YottaDB,"Key-value store,Relational DBMS"
325.,320.,292.,FeatureBase,Relational,0.23,-0.10,-0.19,https://db-engines.com/en/system/FeatureBase,
326.,332.,361.,XTDB,Document,0.22,-0.05,+0.04,https://db-engines.com/en/system/XTDB,
327.,345.,348.,NosDB,Document,0.22,+0.02,+0.00,https://db-engines.com/en/system/NosDB,
328.,335.,376.,Kyoto Tycoon,Key-value,0.22,-0.04,+0.16,https://db-engines.com/en/system/Kyoto+Tycoon,
329.,300.,274.,Transbase,Relational,0.22,-0.21,-0.30,https://db-engines.com/en/system/Transbase,
330.,324.,356.,BigObject,Relational,0.20,-0.10,+0.01,https://db-engines.com/en/system/BigObject,
331.,344.,346.,Alibaba Cloud Table Store,Wide column,0.19,-0.02,-0.04,https://db-engines.com/en/system/Alibaba+Cloud+Table+Store,
332.,336.,336.,Dydra,RDF,0.18,-0.07,-0.07,https://db-engines.com/en/system/Dydra,
333.,321.,304.,CubicWeb,RDF,0.18,-0.15,-0.20,https://db-engines.com/en/system/CubicWeb,
334.,351.,308.,GraphBase,Graph,0.17,-0.01,-0.20,https://db-engines.com/en/system/GraphBase,
335.,361.,363.,EsgynDB,Relational,0.17,+0.01,0.00,https://db-engines.com/en/system/EsgynDB,
336.,356.,365.,IBM Db2 Event Store,Multi-model,0.17,-0.01,+0.01,https://db-engines.com/en/system/IBM+Db2+Event+Store,"Event Store,Time Series DBMS"
337.,331.,302.,Ultipa,Graph,0.16,-0.11,-0.23,https://db-engines.com/en/system/Ultipa,
338.,328.,319.,NEventStore,Event,0.16,-0.13,-0.17,https://db-engines.com/en/system/NEventStore,
339.,360.,356.,SiriDB,Time Series,0.14,-0.02,-0.05,https://db-engines.com/en/system/SiriDB,
340.,349.,299.,Valentina Server,Relational,0.14,-0.05,-0.26,https://db-engines.com/en/system/Valentina+Server,
341.,343.,326.,Actian PSQL,Relational,0.13,-0.08,-0.17,https://db-engines.com/en/system/Actian+PSQL,
342.,366.,366.,Linter,"Relational, Multi-model",0.13,-0.01,-0.02,https://db-engines.com/en/system/Linter,"Relational DBMS,Spatial DBMS"
343.,330.,307.,XtremeData,Relational,0.13,-0.15,-0.24,https://db-engines.com/en/system/XtremeData,
344.,346.,314.,Sparksee,Graph,0.13,-0.08,-0.22,https://db-engines.com/en/system/Sparksee,
345.,338.,332.,SiteWhere,Time Series,0.12,-0.13,-0.14,https://db-engines.com/en/system/SiteWhere,
346.,353.,337.,HyperLevelDB,Key-value,0.12,-0.06,-0.13,https://db-engines.com/en/system/HyperLevelDB,
347.,327.,345.,Eloquera,Object oriented,0.11,-0.17,-0.11,https://db-engines.com/en/system/Eloquera,
348.,339.,354.,Siaqodb,Object oriented,0.11,-0.14,-0.08,https://db-engines.com/en/system/Siaqodb,
349.,372.,364.,Alibaba Cloud TSDB,Time Series,0.11,-0.01,-0.05,https://db-engines.com/en/system/Alibaba+Cloud+TSDB,
350.,352.,353.,Hawkular Metrics,Time Series,0.11,-0.08,-0.09,https://db-engines.com/en/system/Hawkular+Metrics,
351.,342.,329.,Tigris,Multi-model,0.09,-0.13,-0.20,https://db-engines.com/en/system/Tigris,"Document store,Key-value store,Search engine,Time Series DBMS"
352.,359.,352.,Quasardb,Time Series,0.09,-0.08,-0.11,https://db-engines.com/en/system/Quasardb,
353.,347.,287.,HugeGraph,Graph,0.09,-0.11,-0.37,https://db-engines.com/en/system/HugeGraph,
354.,376.,389.,Indica,Search engine,0.08,-0.01,+0.08,https://db-engines.com/en/system/Indica,
355.,357.,330.,GreptimeDB,Time Series,0.08,-0.08,-0.21,https://db-engines.com/en/system/GreptimeDB,
356.,378.,373.,DataFS,"Object oriented, Multi-model",0.08,-0.01,-0.01,https://db-engines.com/en/system/DataFS,"Object oriented DBMS,Graph DBMS"
357.,334.,320.,Upscaledb,Key-value,0.08,-0.18,-0.25,https://db-engines.com/en/system/Upscaledb,
358.,348.,372.,SenseiDB,Document,0.07,-0.12,-0.05,https://db-engines.com/en/system/SenseiDB,
359.,354.,303.,TinkerGraph,Graph,0.07,-0.11,-0.31,https://db-engines.com/en/system/TinkerGraph,
360.,337.,324.,Exorbyte,Search engine,0.07,-0.19,-0.24,https://db-engines.com/en/system/Exorbyte,
361.,363.,347.,ActorDB,Relational,0.06,-0.09,-0.16,https://db-engines.com/en/system/ActorDB,
362.,381.,374.,OushuDB,Relational,0.06,-0.01,-0.02,https://db-engines.com/en/system/OushuDB,
363.,373.,,YTsaurus,Multi-model,0.06,-0.06,,https://db-engines.com/en/system/YTsaurus,"Document store,Key-value store"
364.,383.,375.,AgensGraph,Multi-model,0.06,-0.01,-0.01,https://db-engines.com/en/system/AgensGraph,"Graph DBMS,Relational DBMS"
365.,341.,317.,STSdb,Key-value,0.06,-0.19,-0.28,https://db-engines.com/en/system/STSdb,
366.,384.,378.,Warp 10,Time Series,0.05,-0.01,+0.01,https://db-engines.com/en/system/Warp+10,
367.,364.,335.,Acebase,Document,0.05,-0.10,-0.21,https://db-engines.com/en/system/Acebase,
368.,385.,380.,ScaleOut StateServer,Key-value,0.05,-0.01,+0.01,https://db-engines.com/en/system/ScaleOut+StateServer,
369.,355.,294.,ArcadeDB,Multi-model,0.05,-0.13,-0.37,https://db-engines.com/en/system/ArcadeDB,"Document store,Graph DBMS,Key-value store,Time Series DBMS"
370.,387.,,gStore,Multi-model,0.04,0.00,,https://db-engines.com/en/system/gStore,"Graph DBMS,RDF store"
371.,358.,331.,BrightstarDB,RDF,0.04,-0.12,-0.23,https://db-engines.com/en/system/BrightstarDB,
372.,368.,350.,Blueflood,Time Series,0.04,-0.09,-0.17,https://db-engines.com/en/system/Blueflood,
373.,362.,356.,TomP2P,Key-value,0.03,-0.12,-0.16,https://db-engines.com/en/system/TomP2P,
374.,365.,351.,H2GIS,"Spatial, Multi-model",0.03,-0.12,-0.17,https://db-engines.com/en/system/H2GIS,"Spatial DBMS,Relational DBMS"
375.,367.,355.,LedisDB,Key-value,0.03,-0.10,-0.17,https://db-engines.com/en/system/LedisDB,
376.,380.,,openGemini,Time Series,0.03,-0.05,,https://db-engines.com/en/system/openGemini,
377.,375.,325.,Transwarp KunDB,Relational,0.02,-0.08,-0.28,https://db-engines.com/en/system/Transwarp+KunDB,
378.,389.,386.,WakandaDB,Object oriented,0.02,-0.01,+0.02,https://db-engines.com/en/system/WakandaDB,
379.,390.,389.,DaggerDB,Relational,0.02,-0.01,+0.02,https://db-engines.com/en/system/DaggerDB,
380.,393.,379.,SmallSQL,Relational,0.02,+0.00,-0.02,https://db-engines.com/en/system/SmallSQL,
381.,394.,381.,SparkleDB,RDF,0.02,+0.00,-0.02,https://db-engines.com/en/system/SparkleDB,
382.,386.,377.,InfinityDB,Key-value,0.02,-0.03,-0.04,https://db-engines.com/en/system/InfinityDB,
383.,369.,356.,WhiteDB,Document,0.01,-0.11,-0.18,https://db-engines.com/en/system/WhiteDB,
384.,391.,389.,NSDb,Time Series,0.01,-0.01,+0.01,https://db-engines.com/en/system/NSDb,
385.,396.,382.,Resin Cache,Key-value,0.01,0.00,-0.01,https://db-engines.com/en/system/Resin+Cache,
386.,370.,343.,RaptorDB,Document,0.01,-0.11,-0.22,https://db-engines.com/en/system/RaptorDB,
386.,370.,337.,TerarkDB,Key-value,0.01,-0.11,-0.23,https://db-engines.com/en/system/TerarkDB,
388.,397.,383.,SWC-DB,"Wide column, Multi-model",0.01,+0.00,-0.01,https://db-engines.com/en/system/SWC-DB,"Wide column store,Time Series DBMS"
389.,392.,389.,Cachelot.io,Key-value,0.01,-0.01,+0.01,https://db-engines.com/en/system/Cachelot.io,
390.,350.,300.,Skytable,Key-value,0.01,-0.18,-0.39,https://db-engines.com/en/system/Skytable,
391.,399.,389.,Transwarp ArgoDB,"Relational, Multi-model",0.00,0.00,+0.00,https://db-engines.com/en/system/Transwarp+ArgoDB,"Relational DBMS,Search engine"
392.,374.,337.,OrigoDB,Multi-model,0.00,-0.11,-0.24,https://db-engines.com/en/system/OrigoDB,"Document store,Object oriented DBMS"
393.,398.,387.,Faircom EDGE,Multi-model,0.00,-0.01,0.00,https://db-engines.com/en/system/Faircom+EDGE,"Key-value store,Relational DBMS"
394.,400.,388.,SwayDB,Key-value,0.00,+0.00,0.00,https://db-engines.com/en/system/SwayDB,
395.,401.,389.,BergDB,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/BergDB,
395.,,,chDB,"Relational, Multi-model",0.00,,,https://db-engines.com/en/system/chDB,"Relational DBMS,Time Series DBMS"
395.,401.,389.,CortexDB,Multi-model,0.00,±0.00,±0.00,https://db-engines.com/en/system/CortexDB,"Document store,Key-value store"
395.,401.,389.,CovenantSQL,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/CovenantSQL,
395.,382.,337.,Edge Intelligence,Relational,0.00,-0.07,-0.25,https://db-engines.com/en/system/Edge+Intelligence,
395.,401.,389.,EdgelessDB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/EdgelessDB,
395.,401.,389.,Galaxybase,Graph,0.00,±0.00,±0.00,https://db-engines.com/en/system/Galaxybase,
395.,401.,389.,Helium,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/Helium,
395.,401.,369.,HGraphDB,Graph,0.00,±0.00,-0.13,https://db-engines.com/en/system/HGraphDB,
395.,377.,337.,iBoxDB,Document,0.00,-0.09,-0.25,https://db-engines.com/en/system/iBoxDB,
395.,401.,389.,JaguarDB,Multi-model,0.00,±0.00,±0.00,https://db-engines.com/en/system/JaguarDB,"Key-value store,Vector DBMS"
395.,401.,389.,JasDB,Document,0.00,±0.00,±0.00,https://db-engines.com/en/system/JasDB,
395.,395.,349.,JethroData,Relational,0.00,-0.02,-0.21,https://db-engines.com/en/system/JethroData,
395.,401.,389.,K-DB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/K-DB,
395.,388.,389.,Newts,Time Series,0.00,-0.04,±0.00,https://db-engines.com/en/system/Newts,
395.,401.,385.,Rizhiyi,"Search engine, Multi-model",0.00,±0.00,-0.02,https://db-engines.com/en/system/Rizhiyi,"Search engine,Time Series DBMS"
395.,401.,384.,Sadas Engine,Relational,0.00,±0.00,-0.02,https://db-engines.com/en/system/Sadas+Engine,
395.,401.,389.,searchxml,Multi-model,0.00,±0.00,±0.00,https://db-engines.com/en/system/searchxml,"Native XML DBMS,Search engine"
395.,401.,389.,SpaceTime,"Spatial, Multi-model",0.00,±0.00,±0.00,https://db-engines.com/en/system/SpaceTime,"Spatial DBMS,Relational DBMS"
395.,401.,389.,Tkrzw,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/Tkrzw,
395.,401.,,Transwarp Hippo,Vector,0.00,±0.00,,https://db-engines.com/en/system/Transwarp+Hippo,
395.,401.,389.,Transwarp StellarDB,Graph,0.00,±0.00,±0.00,https://db-engines.com/en/system/Transwarp+StellarDB,
395.,379.,356.,VelocityDB,Multi-model,0.00,-0.08,-0.19,https://db-engines.com/en/system/VelocityDB,"Graph DBMS,Object oriented DBMS"
