Rank_Apr-2026,Rank_Mar-2026,Rank_Apr-2025,DBMS,Database Model,Score_Apr-2026,Score_Mar-2026,Score_Apr-2025,DBMS_insitelink,Multi_model_info
149.,151.,180.,PlanetScale,"Relational, Multi-model",1.53,+0.02,+0.53,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
150.,153.,138.,MonetDB,"Relational, Multi-model",1.53,+0.05,-0.04,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
151.,156.,145.,Fauna,Multi-model,1.52,+0.06,+0.07,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
152.,152.,114.,GridDB,"Time Series, Multi-model",1.52,+0.01,-0.48,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
153.,157.,202.,Rockset,"Document, Multi-model",1.49,+0.06,+0.66,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
154.,158.,179.,SurrealDB,Multi-model,1.49,+0.08,+0.48,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
155.,154.,146.,OpenTSDB,Time Series,1.46,-0.01,+0.05,https://db-engines.com/en/system/OpenTSDB,
156.,149.,150.,BaseX,Native XML,1.45,-0.06,+0.11,https://db-engines.com/en/system/BaseX,
157.,150.,191.,Vitess,"Relational, Multi-model",1.44,-0.07,+0.52,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
158.,155.,167.,Meilisearch,Multi-model,1.43,-0.04,+0.27,https://db-engines.com/en/system/Meilisearch,"Search engine,Vector DBMS"
159.,160.,151.,GridGain,Multi-model,1.39,+0.07,+0.07,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS"
160.,159.,153.,jBASE,Multivalue,1.37,+0.01,+0.06,https://db-engines.com/en/system/jBASE,
161.,161.,154.,Geode,Key-value,1.33,+0.01,+0.02,https://db-engines.com/en/system/Geode,
162.,162.,144.,Tarantool,Multi-model,1.29,-0.02,-0.17,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
163.,171.,152.,D3,Multivalue,1.28,+0.08,-0.04,https://db-engines.com/en/system/D3,
