DBMS,Rank_Oct-2025,Rank_Sep-2025,Rank_Oct-2024,Database Model,Score_Oct-2025,Score_Sep-2025,Score_Oct-2024,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
SingleStore,86.0,71.0,70.0,"Relational, Multi-model",3.05,-0.86,-1.05,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS",SingleStore Inc.,"MySQL wire-compliant distributed,RDBMS,that combines an in-memory row-oriented and a disc-based column-oriented storage with patented universal storage to handle transactional and analytical workloads in one single table type",2013.0,"8.5, January 2024",commercial,free developer edition available,no,2013,2024,N,N
Apache Ignite,87.0,88.0,92.0,Multi-model,2.99,-0.11,+0.05,https://db-engines.com/en/system/Apache+Ignite,"Key-value store,Relational DBMS",Apache Software Foundation,"Apache Ignite is a memory-centric distributed database, caching, and processing platform for transactional, analytical, and streaming workloads, delivering in-memory speeds at petabyte scale.",2015.0,"2.16.0, December 2023",Open Source,Apache 2.0,no,2015,2023,Y,N
Ehcache,88.0,80.0,65.0,Key-value,2.99,-0.49,-1.77,https://db-engines.com/en/system/Ehcache,,"Terracotta Inc, owned by Software AG",A widely adopted Java cache with tiered storage options,2009.0,"3.10.0, March 2022",Open Source,Apache Version 2; commercial licenses available,no,2009,2022,Y,N
ArangoDB,89.0,91.0,81.0,Multi-model,2.91,-0.02,-0.52,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB Inc.,"Native multi-model DBMS for graph, document, key/value and search. All in one engine and accessible with one query language.",2012.0,"3.11.5, November 2023",Open Source,Apache Version 2; Commercial license (Enterprise) available,no,2012,2023,Y,N
OceanBase,90.0,90.0,119.0,Multi-model,2.89,-0.15,+0.86,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Vector DBMS,Document store,Wide column store",OceanBase,"A distributed, high available,RDBMS,compatible with,Oracle,and,MySQL",2010.0,"4.3.0, April 2024",Open Source,Commercial license available,no,2010,2024,Y,N
RocksDB,91.0,84.0,88.0,Key-value,2.84,-0.49,-0.20,https://db-engines.com/en/system/RocksDB,,"Facebook, Inc.",Embeddable persistent key-value store optimized for fast storage (flash and RAM),2013.0,"9.4.0, June 2024",Open Source,BSD,no,2013,2024,Y,N
Google Cloud Spanner,92.0,89.0,101.0,Relational,2.8,-0.29,+0.11,https://db-engines.com/en/system/Google+Cloud+Spanner,,Google,"A horizontally scalable, globally consistent, relational database service. It is the externalization of the core Google database that runs the biggest aspects of Google, like Ads and Google Play.",2017.0,,commercial,,yes,2017,,N,Y
Adabas,93.0,98.0,103.0,Multivalue,2.8,+0.11,+0.18,https://db-engines.com/en/system/Adabas,,Software AG,OLTP - DBMS for mainframes and Linux/Unix/Windows environments,1971.0,,commercial,,no,1971,,N,N
Microsoft Azure Table Storage,94.0,94.0,84.0,Wide column,2.8,-0.05,-0.46,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,,Microsoft,"A,Wide Column Store,for rapid development using massive semi-structured datasets",2012.0,,commercial,,yes,2012,,N,Y
GemFire,95.0,92.0,104.0,"Key-value, Multi-model",2.79,-0.14,+0.18,https://db-engines.com/en/system/GemFire,"Key-value store,Document store",VMware,"An enterprise grade, high speed in-memory data and compute grid for high-performance, low latency applications where data must be consistent across multiple data centers",2004.0,"9.15, June 2022",commercial,,no,2004,2022,N,N
HyperSQL,96.0,95.0,86.0,Relational,2.76,-0.07,-0.34,https://db-engines.com/en/system/HyperSQL,,,"Multithreaded, transactional,RDBMS,written in Java",2001.0,"2.7.2, June 2023",Open Source,based on BSD license,no,2001,2023,Y,N
Virtuoso,97.0,103.0,72.0,Multi-model,2.74,+0.21,-1.18,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",OpenLink Software,Virtuoso is a multi-model hybrid-RDBMS that supports management of data represented as relational tables and/or property graphs,1998.0,"7.2.11, September 2023",Open Source,"GPLv2, extended commercial license available",no,1998,2023,Y,N
IBM Cloudant,98.0,96.0,99.0,Document,2.66,-0.12,-0.10,https://db-engines.com/en/system/IBM+Cloudant,,"IBM, Apache Software Foundation","Database as a Service offering based on,Apache CouchDB",2010.0,,commercial,,yes,2010,,N,Y
Google Cloud Bigtable,99.0,97.0,93.0,Multi-model,2.65,-0.10,-0.26,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store",Google,"Google's NoSQL Big Data database service. It's the same database that powers many core Google services, including Search, Analytics, Maps, and Gmail.",2015.0,,commercial,,yes,2015,,N,Y
OrientDB,100.0,101.0,89.0,Multi-model,2.62,+0.03,-0.41,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store",OrientDB LTD; CallidusCloud; SAP,"Multi-model DBMS (Document, Graph, Key/Value)",2010.0,"3.2.29, March 2024",Open Source,Apache version 2,no,2010,2024,Y,N
Coveo,101.0,99.0,113.0,Search engine,2.55,-0.11,+0.30,https://db-engines.com/en/system/Coveo,,Coveo,"AI-powered hosted search, recommendation and personalization platform providing tools for both low-code and full-code development",2012.0,,commercial,,yes,2012,,N,Y
Apache Jena - TDB,102.0,105.0,91.0,RDF,2.53,+0.02,-0.47,https://db-engines.com/en/system/Apache+Jena+-+TDB,,Apache Software Foundation,"A RDF storage and query DBMS, shipped as an optional-use component of the Apache Jena framework",2000.0,"4.9.0, July 2023",Open Source,"Apache License, Version 2.0",no,2000,2023,Y,N
SAP IQ,103.0,100.0,106.0,Relational,2.5,-0.12,-0.03,https://db-engines.com/en/system/SAP+IQ,,"SAP, formerly Sybase",Columnar RDBMS optimized for Big Data analytics,1994.0,"16.1 SPS04, April 2019",commercial,,no,1994,2019,N,N
RavenDB,104.0,108.0,100.0,"Document, Multi-model",2.49,+0.07,-0.20,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Hibernating Rhinos,Open Source Operational and Transactional Enterprise NoSQL Document Database,2010.0,"5.4, July 2022",Open Source,"AGPL version 3, commercial license available",no,2010,2022,Y,N
NebulaGraph,105.0,104.0,126.0,Graph,2.45,-0.08,+0.58,https://db-engines.com/en/system/NebulaGraph,,Vesoft Inc.,"A distributed, linear scalable, high perfomant,Graph DBMS",2019.0,,Open Source,Apache Version 2.0 + Common Clause 1.0,no,2019,,Y,N
Chroma,106.0,110.0,125.0,Vector,2.42,+0.06,+0.55,https://db-engines.com/en/system/Chroma,,Chroma,Chroma is an open-source vector DBMS.,,,Open Source,Apache-2.0 license,no,,,Y,N
RethinkDB,107.0,109.0,105.0,"Document, Multi-model",2.35,-0.05,-0.21,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS",The Linux Foundation,DBMS for the Web with a mechanism to push updated query results to applications in realtime.,2009.0,"2.4.1, August 2020",Open Source,Apache Version 2,no,2009,2020,Y,N
Apache Accumulo,108.0,102.0,82.0,Wide column,2.35,-0.20,-0.96,https://db-engines.com/en/system/Apache+Accumulo,,,,2008.0,"2.1.0 (November 1, 2022), 2022",Open Source,,no,2008,2022,Y,N
GraphDB,109.0,111.0,98.0,Multi-model,2.3,-0.05,-0.47,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store","Ontotext, trading as Graphwise","Enterprise-ready RDF and graph database with efficient reasoning, cluster and external index synchronization support. It supports also SQL JDBC access to Knowledge Graph and GraphQL over SPARQL.",2000.0,"11.1, August 2025",commercial,Some plugins of GraphDB Workbench are open sourced,no,2000,2025,N,N
Amazon Neptune,110.0,107.0,115.0,Multi-model,2.26,-0.16,+0.09,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store",Amazon,"Fast, reliable graph database built for the cloud",2017.0,,commercial,,yes,2017,,N,Y
Memgraph,111.0,106.0,96.0,Graph,2.26,-0.18,-0.56,https://db-engines.com/en/system/Memgraph,,Memgraph Ltd,An open source graph database built for real-time streaming and compatible with Neo4j,2017.0,,Open Source,BSL 1.1; commercial license for enterprise edition available,no,2017,,Y,N
InterSystems IRIS,112.0,112.0,94.0,Multi-model,2.2,-0.07,-0.69,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS",InterSystems,"A containerised multi-model DBMS, interoperability and analytics data platform with wide capabilities for vertical and horizontal scalability",2018.0,"2023.3, June 2023",commercial,,no,2018,2023,N,N
Citus,113.0,114.0,117.0,"Relational, Multi-model",2.19,-0.02,+0.14,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store",,Scalable hybrid operational and analytics RDBMS for big data use cases based on PostgreSQL,2010.0,"8.1, December 2018",Open Source,"AGPL, commercial license also available",no,2010,2018,Y,N
"UniData,UniVerse",114.0,113.0,109.0,Multivalue,2.14,-0.12,-0.30,https://db-engines.com/en/system/UniData%2CUniVerse,,Rocket Software,MultiValue database and application server with SQL mapping layer and meta database capabilities,1985.0,,commercial,,no,1985,,N,N
Apache Phoenix,115.0,115.0,120.0,Relational,2.13,-0.05,+0.21,https://db-engines.com/en/system/Apache+Phoenix,,Apache Software Foundation,A scale-out RDBMS with evolutionary schema built on Apache HBase,2014.0,"5.0-HBase2, July 2018 and 4.15-HBase1, December 2019",Open Source,Apache Version 2.0,no,2014,2019,Y,N
YugabyteDB,116.0,116.0,108.0,"Relational, Multi-model",2.13,+0.01,-0.33,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store",Yugabyte Inc.,"High-performance distributed SQL database for global, internet-scale applications. Wire and feature compatible with,PostgreSQL,.",2017.0,"2024.2, December 2024",Open Source,Apache 2.0,no,2017,2024,Y,N
Percona Server for MySQL,117.0,117.0,118.0,Relational,2.07,-0.05,+0.03,https://db-engines.com/en/system/Percona+Server+for+MySQL,,Percona,"Enhanced drop-in replacement for,MySQL,based on XtraDB or TokuDB storage engines with improved performance and additional diagnostic and management features.",2008.0,"8.0.36-28, 2024",Open Source,GPL version 2,no,2008,2024,Y,N
DolphinDB,118.0,125.0,102.0,Multi-model,2.06,+0.12,-0.60,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Vector DBMS,Relational DBMS","DolphinDB, Inc","DolphinDB is a high performance,Time Series DBMS,. It is integrated with an easy-to-use fully featured programming language and a high-volume high-velocity streaming analytics system. It offers operational simplicity, scalability, fault tolerance, and concurrency.",2018.0,"v2.00.4, January 2022",commercial,free community version available,no,2018,2022,N,N
4D,119.0,119.0,112.0,Relational,2.03,-0.04,-0.23,https://db-engines.com/en/system/4D,,"4D, Inc",Application development environment with integrated database management system,1984.0,"v20, April 2023",commercial,,no,1984,2023,N,N
GridDB,120.0,122.0,123.0,"Time Series, Multi-model",2.01,+0.00,+0.10,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS",Toshiba Corporation,Scalable in-memory time series database optimized for IoT and Big Data,2013.0,"5.1, August 2022",Open Source,"AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",no,2013,2022,Y,N
LevelDB,121.0,118.0,110.0,Key-value,2.0,-0.10,-0.39,https://db-engines.com/en/system/LevelDB,,Google,"Embeddable fast,key-value storage,library that provides an ordered mapping from string keys to string values",2011.0,"1.23, February 2021",Open Source,BSD,no,2011,2021,Y,N
LMDB,122.0,121.0,121.0,Key-value,1.95,-0.06,+0.03,https://db-engines.com/en/system/LMDB,,Symas,"A high performant, light-weight, embedded key-value database library",2011.0,"0.9.32, January 2024",Open Source,,no,2011,2024,Y,N
Infinispan,123.0,120.0,111.0,Key-value,1.94,-0.10,-0.38,https://db-engines.com/en/system/Infinispan,,,,2009.0,"14.0.7.Final, March 2023",Open Source,Apache Version 2,no,2009,2023,Y,N
Alibaba Cloud PolarDB,124.0,150.0,209.0,Relational,1.93,+0.39,+1.12,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,,Alibaba,"A cloud-native relational database compatible with MySQL, PostgreSQL, and Oracle. Designed for business critical applications.",,,commercial,,yes,,,N,Y
Amazon DocumentDB,125.0,124.0,124.0,Document,1.91,-0.05,+0.03,https://db-engines.com/en/system/Amazon+DocumentDB,,,"Fast, scalable, highly available, and fully managed,MongoDB,-compatible database service",2019.0,,commercial,,yes,2019,,N,Y
PouchDB,126.0,123.0,114.0,Document,1.9,-0.07,-0.28,https://db-engines.com/en/system/PouchDB,,Apache Software Foundation,"JavaScript DBMS with an API inspired by,CouchDB",2012.0,"7.1.1, June 2019",Open Source,,no,2012,2019,Y,N
CloudKit,127.0,127.0,129.0,Document,1.88,-0.04,+0.03,https://db-engines.com/en/system/CloudKit,,,,2016.0,,commercial,,yes,2016,,N,Y
Amazon CloudSearch,128.0,126.0,132.0,Search engine,1.87,-0.06,+0.04,https://db-engines.com/en/system/Amazon+CloudSearch,,Amazon,A hosted search engine service by Amazon with the data stored in Amazons cloud,2012.0,,commercial,,yes,2012,,N,Y
MaxDB,129.0,129.0,116.0,Relational,1.86,0.00,-0.27,https://db-engines.com/en/system/MaxDB,,"SAP, acquired from Software AG (Adabas-D) in 1997","A robust and reliable,RDBMS,optimized to run all major SAP solutions",1984.0,"7.9.10.12, February 2024",commercial,Limited community edition free,no,1984,2024,N,N
JanusGraph,130.0,130.0,134.0,Graph,1.81,-0.05,+0.02,https://db-engines.com/en/system/JanusGraph,,"Linux Foundation; originally developed as,Titan,by Aurelius",A Graph DBMS optimized for distributed clusters,2017.0,"1.0.0, October 2023",Open Source,Apache 2.0,no,2017,2023,Y,N
Valkey,131.0,137.0,,Key-value,1.8,+0.06,,https://db-engines.com/en/system/Valkey,,,Open source key/value datastore,2024.0,"Valkey 8.0.1, October 2024",Open Source,,no,2024,2024,Y,N
Apache Drill,132.0,128.0,128.0,Multi-model,1.79,-0.07,-0.07,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS",Apache Software Foundation,"Schema-free SQL Query Engine for Hadoop, NoSQL and Cloud Storage",2012.0,"1.20.3, January 2023",Open Source,Apache Version 2,no,2012,2023,Y,N
TigerGraph,133.0,133.0,150.0,Graph,1.77,-0.04,+0.31,https://db-engines.com/en/system/TigerGraph,,,"A complete, distributed, parallel graph computing platform supporting web-scale data analytics in real-time",2017.0,,commercial,,no,2017,,N,N
EDB Postgres,134.0,132.0,133.0,"Relational, Multi-model",1.75,-0.06,-0.05,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS",EnterpriseDB,"The EDB Postgres Platform is an enterprise-class data management platform based on the open source database,PostgreSQL,with flexible deployment options and,Oracle,compatibility features, complemented by tool kits for management, integration, and migration.",2005.0,"14, December 2021",commercial,BSD for PostgreSQL-components,no,2005,2021,N,N
Oracle Coherence,135.0,134.0,130.0,Key-value,1.75,-0.04,-0.09,https://db-engines.com/en/system/Oracle+Coherence,,Oracle,Oracles in-memory data grid solution,2007.0,"14.1, August 2023",commercial,,no,2007,2023,N,N
Stardog,136.0,136.0,122.0,Multi-model,1.73,-0.02,-0.18,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store",Stardog-Union,"Enterprise Knowledge Graph platform and graph DBMS with high availability, high performance reasoning, and virtualization",2010.0,"7.3.0, May 2020",commercial,60-day fully-featured trial license; 1-year fully-featured non-commercial use license for academics/students,no,2010,2020,N,N
TDengine,137.0,131.0,107.0,"Time Series, Multi-model",1.73,-0.09,-0.74,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS","TDEngine, previously Taos Data",Time Series DBMS and big data platform,2019.0,"3.0, August 2022",Open Source,"AGPL V3, also commercial editions available",no,2019,2022,Y,N
SpatiaLite,138.0,140.0,146.0,"Spatial, Multi-model",1.73,+0.05,+0.20,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS",Alessandro Furieri,"Spatial extension of,SQLite",2008.0,"5.0.0, August 2020",Open Source,"MPL 1.1, GPL v2.0 or LGPL v2.1",no,2008,2020,Y,N
Amazon SimpleDB,139.0,138.0,131.0,Key-value,1.7,-0.01,-0.12,https://db-engines.com/en/system/Amazon+SimpleDB,,Amazon,"Hosted simple database service by Amazon, with the data stored in the Amazon Cloud.",2007.0,,commercial,,yes,2007,,N,Y
GBase,140.0,146.0,173.0,Relational,1.68,+0.10,+0.57,https://db-engines.com/en/system/GBase,,"General Data Technology Co., Ltd.","Widely used RDBMS in China, including analytical, transactional, distributed transactional, and cloud-native data warehousing.",2004.0,"GBase 8a, GBase 8s, GBase 8c",commercial,,no,2004,,N,N
Apache IoTDB,141.0,139.0,155.0,Time Series,1.64,-0.04,+0.26,https://db-engines.com/en/system/Apache+IoTDB,,Apache Software Foundation,"An IoT native database with high performance for data management and analysis, deployable on the edge and the cloud and integrated with Hadoop, Spark and Flink",2018.0,"1.1.0, April 2023",Open Source,Apache Version 2.0,no,2018,2023,Y,N
Oracle Berkeley DB,142.0,141.0,127.0,Multi-model,1.64,-0.01,-0.22,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS",Oracle,Widely used in-process key-value store,1994.0,"18.1.40, May 2020",Open Source,commercial license available,no,1994,2020,Y,N
RRDtool,143.0,142.0,137.0,Time Series,1.63,-0.02,-0.04,https://db-engines.com/en/system/RRDtool,,Tobias Oetiker,Industry standard data logging and graphing tool for time series data. RRD is an acronym for round-robin database.,1999.0,"1.8.0, 2022",Open Source,GPL V2 and FLOSS,no,1999,2022,Y,N
HFSQL,144.0,143.0,171.0,Relational,1.62,+0.03,+0.49,https://db-engines.com/en/system/HFSQL,,PC Soft,"RDBMS included in the development environments WINDEV, WINDEV Mobile and WEBDEV",,,commercial,,no,,,N,N
EXASOL,145.0,148.0,139.0,Relational,1.6,+0.03,-0.05,https://db-engines.com/en/system/EXASOL,,Exasol,"High-performance, in-memory, MPP database specifically designed for in-memory analytics.",2000.0,,commercial,,no,2000,,N,N
VictoriaMetrics,146.0,135.0,160.0,Time Series,1.57,-0.18,+0.28,https://db-engines.com/en/system/VictoriaMetrics,,VictoriaMetrics,"A fast, cost-effective and scalable,Time Series DBMS,and monitoring solution",2018.0,"v1.91, May 2023",Open Source,Apache Version 2.0,no,2018,2023,Y,N
Datomic,147.0,144.0,148.0,Relational,1.54,-0.04,+0.04,https://db-engines.com/en/system/Datomic,,Cognitect,"Datomic builds on immutable values, supports point-in-time queries and uses 3rd party systems for durability",2012.0,"1.0.7180, July 2024",commercial,limited edition free,no,2012,2024,N,N
OpenTSDB,148.0,145.0,143.0,Time Series,1.53,-0.05,-0.05,https://db-engines.com/en/system/OpenTSDB,,currently maintained by Yahoo and other contributors,Scalable Time Series DBMS based on HBase,2011.0,,Open Source,LGPL,no,2011,,Y,N
MonetDB,149.0,149.0,135.0,"Relational, Multi-model",1.51,-0.04,-0.19,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS",MonetDB BV,A relational database management system that stores data in columns,2004.0,"Dec2023 (11.49), December 2023",Open Source,Mozilla Public License 2.0,no,2004,2023,Y,N
PlanetScale,150.0,152.0,185.0,"Relational, Multi-model",1.5,+0.00,+0.51,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS",PlanetScale,"Scalable, distributed, serverless,MySQL,database platform built on top of,Vitess",2020.0,,commercial,,yes,2020,,N,Y
Fauna,151.0,147.0,147.0,Multi-model,1.49,-0.09,-0.01,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS","Fauna, Inc.","Fauna provides a web-native interface, with support for GraphQL and custom business logic that integrates seamlessly with the rest of the serverless ecosystem. The underlying globally distributed storage and compute platform is fast, consistent, and reliable, with a modern security infrastructure.",2014.0,,commercial,,yes,2014,,N,Y
BaseX,152.0,151.0,141.0,Native XML,1.47,-0.06,-0.13,https://db-engines.com/en/system/BaseX,,BaseX GmbH,"Light-weight,Native XML DBMS,with support for XQuery 3.0 and interactive GUI.",2007.0,"11.2, August 2024",Open Source,BSD license,no,2007,2024,Y,N
Meilisearch,153.0,153.0,178.0,Multi-model,1.43,-0.06,+0.36,https://db-engines.com/en/system/Meilisearch,"Search engine,Vector DBMS",,"A powerful, fast, open-source and highly customizable,Search Engine",2020.0,,Open Source,MIT License,no,2020,,Y,N
IMS,154.0,156.0,144.0,Navigational,1.38,+0.00,-0.18,https://db-engines.com/en/system/IMS,,IBM,,1966.0,"15.6.x, June 2025",commercial,,no,1966,2025,N,N
Geode,155.0,154.0,151.0,Key-value,1.38,-0.02,-0.06,https://db-engines.com/en/system/Geode,,Originally developed by Gemstone. They outsourced the project to Apache in 2015 but still deliver a commercial version as Gemfire.,"Geode is a distributed data container, pooling memory, CPU, network resources, and optionally local disk across multiple processes",2002.0,"1.1, February 2017",Open Source,Apache Version 2; commercial licenses available as Gemfire,no,2002,2017,Y,N
TDSQL for MySQL,156.0,161.0,194.0,"Relational, Multi-model",1.36,+0.03,+0.41,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS",Tencent,"A high-performance distributed database management system with features such as automatic sharding, intelligent operation and maintenance, elastic scalability without downtime, and enterprise-grade security. It is highly compatible with MySQL.",2013.0,,commercial,,yes,2013,,N,Y
jBASE,157.0,157.0,158.0,Multivalue,1.36,-0.01,+0.03,https://db-engines.com/en/system/jBASE,,Rocket Software (formerly Zumasys),A robust multi-value DBMS comprising development tools and middleware,1991.0,5.7,commercial,,no,1991,,N,N
GridGain,158.0,155.0,149.0,Multi-model,1.35,-0.04,-0.14,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS","GridGain Systems, Inc.","GridGain is an in-memory computing platform, built on Apache Ignite",2007.0,GridGain 8.5.1,"commercial, open source",,no,2007,,"commercial, open source",N
Tarantool,159.0,158.0,142.0,Multi-model,1.31,-0.06,-0.27,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS",VK,In-memory computing platform with a flexible data schema for efficiently building high-performance applications,2008.0,"2.10.0, May 2022",Open Source,"BSD-2, source-available extensions (modules), commercial licenses for Tarantool Enterprise",no,2008,2022,Y,N
Vitess,160.0,170.0,200.0,"Relational, Multi-model",1.31,+0.06,+0.44,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS","The Linux Foundation, PlanetScale","Scalable, distributed, cloud-native DBMS, extending,MySQL",2013.0,"15.0.2, December 2022",Open Source,"Apache Version 2.0, commercial licenses available",no,2013,2022,Y,N
Dgraph,161.0,160.0,154.0,Graph,1.31,-0.03,-0.09,https://db-engines.com/en/system/Dgraph,,"Dgraph Labs, Inc.","Distributed and scalable native,Graph DBMS",2016.0,,Open Source,Apache 2.0,no,2016,,Y,N
Empress,162.0,166.0,140.0,Relational,1.3,+0.01,-0.33,https://db-engines.com/en/system/Empress,,,,1981.0,"v10.20-E, January 2010",commercial,,no,1981,2010,N,N
Amazon Timestream,163.0,159.0,167.0,Time Series,1.28,-0.07,+0.08,https://db-engines.com/en/system/Amazon+Timestream,,,"Fast, scalable, fully managed time series database service for IoT and operational applications",2018.0,,commercial,,yes,2018,,N,Y
openGauss,164.0,163.0,169.0,"Relational, Multi-model",1.27,-0.05,+0.13,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS",Huawei and openGauss community,"An enterprise-class,RDBMS,compatible with high-performance, high-availability and high-performance originally developed by Huawei",2019.0,"3.0, March 2022",Open Source,,no,2019,2022,Y,N
SurrealDB,165.0,169.0,179.0,Multi-model,1.27,-0.01,+0.20,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS",SurrealDB Ltd,"A fully ACID transactional, developer-friendly, multi-model,DBMS",2022.0,"v1.5.0, May 2024",Open Source,,no,2022,2024,Y,N
SQLBase,166.0,168.0,176.0,Relational,1.26,-0.02,+0.18,https://db-engines.com/en/system/SQLBase,,Open Text,,1985.0,,commercial,,no,1985,,N,N
D3,167.0,164.0,166.0,Multivalue,1.26,-0.03,+0.05,https://db-engines.com/en/system/D3,,"Rocket, formerly TigerLogic",,1999.0,,commercial,,no,1999,,N,N
VoltDB,168.0,165.0,156.0,Relational,1.26,-0.04,-0.11,https://db-engines.com/en/system/VoltDB,,VoltDB Inc.,"Distributed In-Memory NewSQL,RDBMS",2010.0,"11.3, April 2022",Open Source,"AGPL for Community Edition, commercial license for Enterprise, AWS, and Pro Editions",no,2010,2022,Y,N
StarRocks,169.0,162.0,193.0,Relational,1.24,-0.09,+0.28,https://db-engines.com/en/system/StarRocks,,The Linux Foundation,"An open source, high-performance columnar analytical database that enables real-time, multi-dimensional, and highly concurrent data analytics",2020.0,"3.3, June 2024",Open Source,Apache Version 2.0,no,2020,2024,Y,N
IBM Db2 warehouse,170.0,167.0,161.0,Relational,1.23,-0.06,-0.03,https://db-engines.com/en/system/IBM+Db2+warehouse,,IBM,Cloud-based data warehousing service,2014.0,,commercial,,yes,2014,,N,Y
Actian NoSQL Database,171.0,176.0,157.0,Object oriented,1.21,+0.00,-0.14,https://db-engines.com/en/system/Actian+NoSQL+Database,,Actian,,1988.0,"9.3, April 2017",commercial,,no,1988,2017,N,N
Mnesia,172.0,171.0,165.0,Document,1.21,-0.04,-0.01,https://db-engines.com/en/system/Mnesia,,Ericsson,,1999.0,"4.15.4, June 2018",Open Source,proprietary license,no,1999,2018,Y,N
Db4o,173.0,178.0,164.0,Object oriented,1.19,-0.01,-0.05,https://db-engines.com/en/system/Db4o,,,,2001.0,8.0,Open Source,commercial license available for existing customers only,no,2001,,Y,N
Apache Kylin,174.0,175.0,174.0,Relational,1.19,-0.03,+0.08,https://db-engines.com/en/system/Apache+Kylin,,"Apache Software Foundation, originally contributed from eBay Inc","A distributed analytics engine for big data, providing a SQL interface and multi-dimensional analysis (OLAP) and leveraging the Hadoop stack",2015.0,"3.1.0, July 2020",Open Source,Apache Version 2.0,no,2015,2020,Y,N
ObjectStore,175.0,180.0,159.0,Object oriented,1.17,-0.01,-0.13,https://db-engines.com/en/system/ObjectStore,,Ignite Technologies,,1988.0,"2013 Update 1, April 2014",commercial,,no,1988,2014,N,N
ObjectBox,176.0,177.0,175.0,Multi-model,1.16,-0.04,+0.07,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS",ObjectBox Limited,"Lightweight, fast on-device database for IoT, Mobile and Embedded devices, persisting and synchronising objects and vectors",2017.0,4.0 (May 2024),Bindings are released under Apache 2.0,Apache License 2.0,no,2017,2024,bindings are released under apache 2.0,N
HEAVY.AI,177.0,181.0,153.0,"Relational, Multi-model",1.16,0.00,-0.24,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS","HEAVY.AI, Inc.","A high performance, column-oriented,RDBMS,, specifically developed to harness the massive parallelism of modern CPU and GPU hardware",2016.0,"5.10, January 2022",Open Source,Apache Version 2; enterprise edition available,no,2016,2022,Y,N
Amazon Keyspaces,178.0,174.0,184.0,Wide column,1.15,-0.07,+0.15,https://db-engines.com/en/system/Amazon+Keyspaces,,Amazon,"A scalable, highly available Cassandra–compatible database service",2019.0,,commercial,,yes,2019,,N,Y
Tibero,179.0,173.0,145.0,Relational,1.14,-0.10,-0.42,https://db-engines.com/en/system/Tibero,,TmaxTibero,"Tibero is a high-performance, cost-effective RDBMS designed for enterprises seeking an Oracle-compatible alternative. It provides TAC (Tibero Active Cluster) high availability architecture, implemented with the same technology as Oracle RAC.",2003.0,"7, September 2022",commercial,,no,2003,2022,N,N
LiteDB,180.0,179.0,170.0,Document,1.13,-0.06,+0.00,https://db-engines.com/en/system/LiteDB,,Mauricio David,"MongoDB-like, serverless database delivered in a single DLL",2014.0,,Open Source,MIT License,no,2014,,Y,N
