category_label,Multi_model_info,DBMS,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Jul-2023,Rank_Jul-2023,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Vector DBMS,Wide column
Search engine,Search engine,Sphinx,https://db-engines.com/en/system/Sphinx,Y,Y,sphinxsearch/sphinx,6.08,70,sphinxsearch,sphinx,Sphinx Technologies Inc.,2001,2023,Y,"GPL version 2, commercial licence available",N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Wide column,Wide column store,Microsoft Azure Table Storage,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,N,,-,6.02,71,-,-,Microsoft,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Relational,Relational DBMS,Ingres,https://db-engines.com/en/system/Ingres,Y,,fosslc/Ingres,6.0,72,fosslc,Ingres,Actian Corporation,1974,2022,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Relational,Relational DBMS,Interbase,https://db-engines.com/en/system/Interbase,N,,-,6.0,73,-,-,Embarcadero,1984,2019,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Time Series,Time Series DBMS,Graphite,https://db-engines.com/en/system/Graphite,Y,,graphite-project/graphite-web,5.82,74,graphite-project,graphite-web,Chris Davis,2006,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Document,Document store,Google Cloud Datastore,https://db-engines.com/en/system/Google+Cloud+Datastore,N,,-,5.63,75,-,-,Google,2008,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Key-value,Key-value store,Riak KV,https://db-engines.com/en/system/Riak+KV,Y,,basho/riak_kv,5.52,76,basho,riak_kv,"OpenSource, formerly Basho Technologies",2009,2022,Y,"Apache version 2, commercial enterprise edition",N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,SAP SQL Anywhere,https://db-engines.com/en/system/SAP+SQL+Anywhere,N,,-,5.5,77,-,-,SAP,1992,2015,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RDF,RDF store,Apache Jena - TDB,https://db-engines.com/en/system/Apache+Jena+-+TDB,Y,N,apache/jena,5.21,78,apache,jena,Apache Software Foundation,2000,2022,Y,"Apache License, Version 2.0",N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Multivalue,Multivalue DBMS,Adabas,https://db-engines.com/en/system/Adabas,Y,,jrmarino/AdaBase,5.15,79,jrmarino,AdaBase,Software AG,1971,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,HyperSQL,https://db-engines.com/en/system/HyperSQL,Y,N,ryenus/hsqldb,5.07,80,ryenus,hsqldb,,2001,2022,Y,based on BSD license,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Key-value,"Key-value store,Relational DBMS",Ignite,https://db-engines.com/en/system/Ignite,Y,N,apache/ignite,4.99,81,apache,ignite,Apache Software Foundation,2015,,Y,Apache 2.0,N,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Wide column,Wide column store,Accumulo,https://db-engines.com/en/system/Accumulo,Y,,apache/accumulo,4.93,82,apache,accumulo,,2008,2022,Y,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Document,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",Virtuoso,https://db-engines.com/en/system/Virtuoso,Y,,openlink/virtuoso-opensource,4.88,83,openlink,virtuoso-opensource,OpenLink Software,1998,2022,Y,"GPLv2, extended commercial license available",N,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0
Time Series,"Time Series DBMS,Relational DBMS",TimescaleDB,https://db-engines.com/en/system/TimescaleDB,Y,,timescale/timescaledb,4.78,84,timescale,timescaledb,Timescale,2017,2023,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Document,"Document store,Graph DBMS,Key-value store",OrientDB,https://db-engines.com/en/system/OrientDB,Y,,orientechnologies/orientdb,4.76,85,orientechnologies,orientdb,OrientDB LTD; CallidusCloud; SAP,2010,2023,Y,Apache version 2,N,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Key-value,"Key-value store,Wide column store",Google Cloud Bigtable,https://db-engines.com/en/system/Google+Cloud+Bigtable,N,,-,4.69,86,-,-,Google,2015,,N,,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Document,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB,https://db-engines.com/en/system/ArangoDB,Y,Y,arangodb/arangodb,4.57,87,arangodb,arangodb,ArangoDB Inc.,2012,2023,Y,Apache Version 2; Commercial license (Enterprise) available,N,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Relational,Relational DBMS,SAP IQ,https://db-engines.com/en/system/SAP+IQ,N,,-,4.56,88,-,-,"SAP, formerly Sybase",1994,2019,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Multivalue,Multivalue DBMS,"UniData,UniVerse",https://db-engines.com/en/system/UniData%2CUniVerse,N,,-,4.46,89,-,-,Rocket Software,1985,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,OpenEdge,https://db-engines.com/en/system/OpenEdge,N,,-,4.3,90,-,-,Progress Software Corporation,1984,2020,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Document,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",RavenDB,https://db-engines.com/en/system/RavenDB,Y,,ravendb/ravendb,4.29,91,ravendb,ravendb,Hibernating Rhinos,2010,2022,Y,"AGPL version 3, commercial license available",N,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Key-value,Key-value store,RocksDB,https://db-engines.com/en/system/RocksDB,Y,Y,facebook/rocksdb,4.23,92,facebook,rocksdb,"Facebook, Inc.",2013,2023,Y,BSD,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,Google Cloud Spanner,https://db-engines.com/en/system/Google+Cloud+Spanner,N,,-,4.06,93,-,-,Google,2017,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Key-value,"Key-value store,Document store",GemFire,https://db-engines.com/en/system/GemFire,N,Y,-,4.04,94,-,-,VMware,2004,2022,N,,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Document,Document store,IBM Cloudant,https://db-engines.com/en/system/IBM+Cloudant,N,,-,3.89,95,-,-,"IBM, Apache Software Foundation",2010,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Document,"Document store,Key-value store,Relational DBMS",Oracle NoSQL,https://db-engines.com/en/system/Oracle+NoSQL,Y,N,oracle/nosql-go-sdk,3.85,96,oracle,nosql-go-sdk,Oracle,2011,2023,Y,"Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",N,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Time Series,"Time Series DBMS,Relational DBMS",DolphinDB,https://db-engines.com/en/system/DolphinDB,N,,-,3.85,97,-,-,"DolphinDB, Inc",2018,2022,N,free community version available,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Key-value,Key-value store,Infinispan,https://db-engines.com/en/system/Infinispan,Y,,infinispan/infinispan,3.79,98,infinispan,infinispan,,2009,2023,Y,Apache Version 2,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Relational,"Relational DBMS,Document store,Wide column store",YugabyteDB,https://db-engines.com/en/system/YugabyteDB,Y,Y,yugabyte/yugabyte-db,3.73,99,yugabyte,yugabyte-db,Yugabyte Inc.,2017,2023,Y,Apache 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Document,"Document store,Spatial DBMS",RethinkDB,https://db-engines.com/en/system/RethinkDB,Y,,rethinkdb/rethinkdb,3.64,100,rethinkdb,rethinkdb,The Linux Foundation,2009,2020,Y,Apache Version 2,N,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
