DBMS,Rank_Jun-2024,Rank_May-2024,Rank_Jun-2023,Database Model,Score_Jun-2024,Score_May-2024,Score_Jun-2023,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
GigaSpaces,188.0,192.0,180.0,Multi-model,1.03,+0.06,-0.56,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine",Gigaspaces Technologies,"High performance in-memory data grid platform, powering three products: Smart Cache, Smart ODS (Operational Data Store), Smart Augmented Transactions",2000.0,"15.5, September 2020",Open Source,Apache Version 2; Commercial licenses available,no,2000,2020,Y,N
Altibase,189.0,186.0,177.0,Relational,1.02,-0.04,-0.61,https://db-engines.com/en/system/Altibase,,Altibase,"An enterprise grade, high-performance,RDBMS",1999.0,"v7.3, 2023, August 2023",commercial,Open source edition discontinued with March 2023,no,1999,2023,N,N
SurrealDB,190.0,203.0,250.0,Multi-model,1.02,+0.16,+0.17,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS",SurrealDB Ltd,"A fully ACID transactional, developer-friendly, multi-model,DBMS",2022.0,"v1.5.0, May 2024",Open Source,,no,2022,2024,Y,N
Dolt,191.0,193.0,192.0,"Relational, Multi-model",1.02,+0.06,-0.41,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store",DoltHub Inc,"A,MySQL,compatible,DBMS,with Git-like versioning of data and schema",2018.0,,Open Source,Apache Version 2.0,no,2018,,Y,N
Infobright,192.0,194.0,182.0,Relational,1.02,+0.06,-0.55,https://db-engines.com/en/system/Infobright,,Ignite Technologies Inc.; formerly InfoBright Inc.,High performant column-oriented DBMS for analytic workloads using MySQL or PostgreSQL as a frontend,2005.0,,commercial,The open source (GPLv2) version did not support inserts/updates/deletes and was discontinued with July 2016,no,2005,,N,N
Meilisearch,193.0,188.0,201.0,Search engine,1.0,-0.04,-0.33,https://db-engines.com/en/system/Meilisearch,,,"A powerful, fast, open-source and highly customizable,Search Engine",2020.0,,Open Source,MIT License,no,2020,,Y,N
Northgate Reality,194.0,191.0,189.0,Multivalue,0.98,-0.05,-0.49,https://db-engines.com/en/system/Northgate+Reality,,,,1973.0,,commercial,,no,1973,,N,N
NCache,195.0,195.0,193.0,"Key-value, Multi-model",0.96,+0.02,-0.45,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine",Alachisoft,"Open-Source and Enterprise in-memory,Key-Value Store",2005.0,"5.3.3, April 2024",Open Source,Enterprise Edition available,no,2005,2024,Y,N
Yellowbrick,196.0,201.0,228.0,Relational,0.96,+0.09,-0.05,https://db-engines.com/en/system/Yellowbrick,,Yellowbrick Data,Data Warehouse appliance and cloud service,,,commercial,,no,,,N,N
NuoDB,197.0,198.0,188.0,Relational,0.94,+0.05,-0.53,https://db-engines.com/en/system/NuoDB,,Dassault Systèmes,NuoDB is a webscale distributed database that supports SQL and ACID transactions,2013.0,,commercial,limited edition free,no,2013,,N,N
StarRocks,198.0,189.0,218.0,Relational,0.93,-0.10,-0.19,https://db-engines.com/en/system/StarRocks,,The Linux Foundation,"An open source, high-performance columnar analytical database that enables real-time, multi-dimensional, and highly concurrent data analytics",2020.0,"3.3, June 2024",Open Source,Apache Version 2.0,no,2020,2024,Y,N
M3DB,199.0,197.0,215.0,Time Series,0.92,+0.03,-0.23,https://db-engines.com/en/system/M3DB,,,A distributed time series database created for Uber,,,Open Source,Apache version 2,no,,,Y,N
IDMS,200.0,204.0,204.0,Navigational,0.91,+0.06,-0.39,https://db-engines.com/en/system/IDMS,,Broadcom (formerly CA Technologies),,1973.0,18.5,commercial,,no,1973,,N,N
Alibaba Cloud AnalyticDB for MySQL,201.0,207.0,278.0,"Relational, Multi-model",0.91,+0.07,+0.24,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store",Alibaba,A real-time data warehousing service that can process petabytes of data with high concurrency and low latency. It is fully compatible with the MySQL protocol.,,,commercial,,yes,,,N,Y
Amazon Keyspaces,202.0,196.0,226.0,Wide column,0.91,-0.02,-0.13,https://db-engines.com/en/system/Amazon+Keyspaces,,Amazon,"A scalable, highly available,Cassandra,–compatible database service",2019.0,,commercial,,yes,2019,,N,Y
Vitess,203.0,209.0,211.0,"Relational, Multi-model",0.88,+0.06,-0.36,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS","The Linux Foundation, PlanetScale","Scalable, distributed, cloud-native DBMS, extending,MySQL",2013.0,"15.0.2, December 2022",Open Source,"Apache Version 2.0, commercial licenses available",no,2013,2022,Y,N
MatrixOne,204.0,200.0,174.0,Relational,0.87,-0.01,-0.77,https://db-engines.com/en/system/MatrixOne,,,"A Hyperconverged Cloud & Edge Native DBMS, supporting transactional, analytical, and streaming workloads with a simplified and distributed database engine, across multiple data centers, clouds, edges and other heterogenous infrastructures.",2021.0,,Open Source,Apache Version 2.0,no,2021,,Y,N
GeoMesa,205.0,213.0,216.0,Spatial,0.86,+0.08,-0.30,https://db-engines.com/en/system/GeoMesa,,CCRi and others,GeoMesa is a distributed spatio-temporal DBMS based on various systems as storage layer.,2014.0,"5.0.0, May 2024",Open Source,Apache License 2.0,no,2014,2024,Y,N
HPE Ezmeral Data Fabric,206.0,199.0,206.0,Multi-model,0.85,-0.04,-0.45,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store","HPE, MapR Technologies, Inc","A unified data platform to ingest, store, manage, process, apply, and analyze all data types from any data source, and a variety of different ingestion mechanisms at an exabyte scale",2009.0,,commercial,,no,2009,,N,N
TDSQL for MySQL,207.0,205.0,214.0,"Relational, Multi-model",0.85,0.00,-0.34,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS",Tencent,"A high-performance distributed database management system with features such as automatic sharding, intelligent operation and maintenance, elastic scalability without downtime, and enterprise-grade security. It is highly compatible with MySQL.",2013.0,,commercial,,yes,2013,,N,Y
BigchainDB,208.0,212.0,227.0,Document,0.85,+0.06,-0.18,https://db-engines.com/en/system/BigchainDB,,,"BigchainDB is scalable blockchain database offering decentralization, immutability and native assets",2016.0,,Open Source,AGPL v3,no,2016,,Y,N
Alibaba Cloud MaxCompute,209.0,214.0,268.0,Relational,0.84,+0.08,+0.12,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,,Alibaba,"MaxCompute (previously known as ODPS) is a general purpose, fully managed, multi-tenancy data processing platform for large-scale data warehousing",2016.0,,commercial,,yes,2016,,N,Y
ZODB,210.0,202.0,184.0,Key-value,0.84,-0.02,-0.70,https://db-engines.com/en/system/ZODB,,,Native object database for Python,2009.0,"5.8.1, July 2023",Open Source,,no,2009,2023,Y,N
Model 204,211.0,206.0,191.0,Multivalue,0.83,-0.02,-0.62,https://db-engines.com/en/system/Model+204,,,,1972.0,,commercial,,no,1972,,N,N
Rockset,212.0,211.0,231.0,"Document, Multi-model",0.82,+0.03,-0.16,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine",Rockset,"A scalable, reliable search and analytics service in the cloud, built on,RocksDB",2019.0,,commercial,,yes,2019,,N,Y
Blazegraph,213.0,219.0,217.0,Multi-model,0.81,+0.06,-0.35,https://db-engines.com/en/system/Blazegraph,"Graph DBMS,RDF store",Blazegraph,"High-performance graph database supporting Semantic Web (RDF/SPARQL) and Graph Database (tinkerpop3, blueprints, vertex-centric) APIs with scale-out and High Availability.",2006.0,"2.1.5, March 2019",Open Source,extended commercial license available,no,2006,2019,Y,N
eXtremeDB,214.0,223.0,239.0,Multi-model,0.8,+0.06,-0.11,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS",McObject,"Natively in-memory DBMS with options for persistency, high-availability and clustering",2001.0,"8.2, 2021",commercial,,no,2001,2021,N,N
BoltDB,215.0,220.0,230.0,Key-value,0.8,+0.06,-0.18,https://db-engines.com/en/system/BoltDB,,,"An embedded,key-value store,for Go.",2013.0,,Open Source,MIT License,no,2013,,Y,N
eXist-db,216.0,208.0,219.0,Native XML,0.77,-0.07,-0.35,https://db-engines.com/en/system/eXist-db,,,,2000.0,,Open Source,L-GPL,no,2000,,Y,N
Datacom/DB,217.0,217.0,241.0,Relational,0.77,+0.01,-0.14,https://db-engines.com/en/system/Datacom%2FDB,,Broadcom (formerly CA),"RDBMS,for mainframes",1972.0,,commercial,,no,1972,,N,N
Actian Vector,218.0,221.0,208.0,Relational,0.76,+0.02,-0.49,https://db-engines.com/en/system/Actian+Vector,,,,,"Vector 5.0, July 2016",commercial,,no,,2016,N,N
Typesense,219.0,210.0,244.0,Search engine,0.76,-0.03,-0.14,https://db-engines.com/en/system/Typesense,,,"A typo-tolerant, in-memory search engine optimized for instant search-as-you-type experiences and developer productivity",2015.0,,Open Source,GPL V3,no,2015,,Y,N
Alibaba Cloud AnalyticDB for PostgreSQL,220.0,231.0,302.0,Relational,0.76,+0.07,+0.26,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,,Alibaba / Pivotal Software Inc. / PostgreSQL Global Development Group,"An online MPP (Massively Parallel Processing) data warehousing service based on,Greenplum",2016.0,,commercial,,yes,2016,,N,Y
SciDB,221.0,228.0,222.0,Multivalue,0.74,+0.05,-0.34,https://db-engines.com/en/system/SciDB,,Paradigm4,DBMS built upon a multi-dimensional array data model,2008.0,,Open Source,,no,2008,,Y,N
RDF4J,222.0,230.0,210.0,RDF,0.74,+0.06,-0.50,https://db-engines.com/en/system/RDF4J,,"Since 2016 officially forked into an Eclipse project, former developer was Aduna Software.","RDF4J is a Java framework for processing RDF data, supporting both memory-based and a disk-based storage.",2004.0,,Open Source,"Eclipse Distribution License (EDL), v1.0.",no,2004,,Y,N
Xapian,223.0,215.0,194.0,Search engine,0.74,-0.03,-0.67,https://db-engines.com/en/system/Xapian,,,Open Source search engine library,1986.0,"1.4.25, March 2024",Open Source,GPLv2,no,1986,2024,Y,N
SQream DB,224.0,227.0,235.0,Relational,0.74,+0.04,-0.22,https://db-engines.com/en/system/SQream+DB,,SQream Technologies,"a GPU-based, columnar RDBMS for big data analytics workloads",2017.0,"2022.1.6, December 2022",commercial,,no,2017,2022,N,N
Objectivity/DB,225.0,218.0,258.0,Object oriented,0.72,-0.03,-0.07,https://db-engines.com/en/system/Objectivity%2FDB,,,,1990.0,,commercial,,no,1990,,N,N
1010data,226.0,216.0,202.0,Relational,0.71,-0.05,-0.60,https://db-engines.com/en/system/1010data,,,,2000.0,,commercial,,no,2000,,N,N
CrateDB,227.0,224.0,234.0,Multi-model,0.71,-0.02,-0.26,https://db-engines.com/en/system/CrateDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Relational DBMS",Crate,Distributed Database based on Lucene,2013.0,,Open Source,,no,2013,,Y,N
solidDB,228.0,222.0,199.0,Relational,0.71,-0.03,-0.64,https://db-engines.com/en/system/solidDB,,"Unicom Systems, Inc; IBM",,1992.0,,commercial,,no,1992,,N,N
KeyDB,229.0,226.0,249.0,Key-value,0.7,0.00,-0.15,https://db-engines.com/en/system/KeyDB,,EQ Alpha Technology Ltd.,"An ultra-fast, open source,Key-value store,fully compatible with Redis API, modules, and protocols",2019.0,,Open Source,BSD-3,no,2019,,Y,N
TypeDB,230.0,234.0,203.0,Multi-model,0.7,+0.05,-0.61,https://db-engines.com/en/system/TypeDB,"Graph DBMS,Object oriented DBMS,Relational DBMS",Vaticle,"TypeDB provides developers with an expressive, customizable type system to manage their data using an award-winning query language, TypeQL, while building on a high-performance, distributed architecture.",2016.0,"2.28.3, June 2024",Open Source,"GPL Version 3, commercial licenses available",no,2016,2024,Y,N
WebSphere eXtreme Scale,231.0,225.0,209.0,Key-value,0.68,-0.04,-0.57,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,,,An elastic highly scalable in-memory data grid,2009.0,,commercial,,no,2009,,N,N
Graph Engine,232.0,240.0,240.0,Multi-model,0.67,+0.06,-0.23,https://db-engines.com/en/system/Graph+Engine,"Graph DBMS,Key-value store",Microsoft,"A distributed in-memory data processing engine, underpinned by a strongly-typed RAM store and a general distributed computation engine",2010.0,,Open Source,MIT License,no,2010,,Y,N
KairosDB,233.0,239.0,236.0,Time Series,0.67,+0.05,-0.28,https://db-engines.com/en/system/KairosDB,,,"Distributed Time Series DBMS based on,Cassandra,or,H2",2013.0,"1.2.2, November 2018",Open Source,Apache 2.0,no,2013,2018,Y,N
Kinetica,234.0,236.0,237.0,"Relational, Multi-model",0.66,+0.02,-0.27,https://db-engines.com/en/system/Kinetica,"Relational DBMS,Spatial DBMS,Time Series DBMS",Kinetica,Fully vectorized database across both GPUs and CPUs,2012.0,"7.1, August 2021",commercial,,no,2012,2021,N,N
Alibaba Cloud PolarDB,235.0,241.0,307.0,Relational,0.66,+0.07,+0.17,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,,Alibaba,"A cloud-native relational database compatible with MySQL, PostgreSQL, and Oracle. Designed for business critical applications.",,,commercial,,yes,,,N,Y
DBISAM,236.0,232.0,212.0,Relational,0.65,-0.01,-0.58,https://db-engines.com/en/system/DBISAM,,"Elevate Software, Inc.",RDBMS mainly geared to Delphi and C++Builder application developers,1998.0,,commercial,,no,1998,,N,N
Perst,237.0,229.0,187.0,Object oriented,0.65,-0.04,-0.83,https://db-engines.com/en/system/Perst,,,,2003.0,,Open Source,commercial license available,no,2003,,Y,N
RisingWave,238.0,242.0,,Relational,0.64,+0.06,,https://db-engines.com/en/system/RisingWave,,RisingWave Labs,"A distributed,RDBMS,for stream processing, wire-compatible with,PostgreSQL",2022.0,"1.2, September 2023",Open Source,Apache Version 2.0,no,2022,2023,Y,N
ObjectDB,239.0,233.0,224.0,Object oriented,0.64,-0.02,-0.42,https://db-engines.com/en/system/ObjectDB,,,,2010.0,"2.9.0, June 2024",commercial,,no,2010,2024,N,N
FrontBase,240.0,235.0,238.0,Relational,0.63,-0.02,-0.30,https://db-engines.com/en/system/FrontBase,,,,1993.0,"8.2.6, December 2015",commercial,free licenses,no,1993,2015,N,N
SQL.JS,241.0,252.0,178.0,Relational,0.63,+0.10,-0.99,https://db-engines.com/en/system/SQL.JS,,Alon Zakai,"Port of,SQLite,to JavaScript",2012.0,,Open Source,,no,2012,,Y,N
Vespa,242.0,249.0,289.0,Multi-model,0.62,+0.08,+0.03,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS",Yahoo,"Vespa is a search engine and vector DBMS. It supports vector search (ANN), lexical search, and search in structured data.",,,Open Source,Apache-2.0 license,no,,,Y,N
atoti,243.0,245.0,232.0,Object oriented,0.61,+0.05,-0.37,https://db-engines.com/en/system/atoti,,ActiveViam,"An in-memory,DBMS,combining transactional and analytical processing to handle the aggregation of ever-changing data.",,,commercial,free versions available,no,,,N,N
HarperDB,244.0,248.0,280.0,Document,0.6,+0.06,-0.05,https://db-engines.com/en/system/HarperDB,,HarperDB,Ultra-low latency distributed database with an intuitive REST API supporting NoSQL and SQL (including joins). Deployment of functions and databases simultaneously with a consolidated node-level architecture.,2017.0,"3.1, August 2021",commercial,free community edition available,no,2017,2021,N,N
Hibari,245.0,237.0,196.0,Key-value,0.6,-0.03,-0.76,https://db-engines.com/en/system/Hibari,,,,2005.0,,Open Source,Apache Version 2,no,2005,,Y,N
Percona Server for MongoDB,246.0,254.0,262.0,Document,0.6,+0.08,-0.16,https://db-engines.com/en/system/Percona+Server+for+MongoDB,,Percona,A drop-in replacement for MongoDB Community Edition with enterprise-grade features.,2015.0,"3.4.10-2.10, November 2017",Open Source,GPL Version 2,no,2015,2017,Y,N
Apache Doris,247.0,244.0,279.0,Relational,0.6,+0.03,-0.07,https://db-engines.com/en/system/Apache+Doris,,"Apache Software Foundation, originally contributed from Baidu","An MPP-based analytics DBMS embracing the,MySQL,protocol",2017.0,"1.2.2, February 2023",Open Source,Apache Version 2.0,no,2017,2023,Y,N
Vald,248.0,238.0,243.0,Vector,0.6,-0.03,-0.31,https://db-engines.com/en/system/Vald,,,Vald is a distributed vector DBMS.,,,Open Source,Apache-2.0 license,no,,,Y,N
GemStone/S,249.0,253.0,261.0,Object oriented,0.56,+0.04,-0.20,https://db-engines.com/en/system/GemStone%2FS,,,,1986.0,64 Bit 3.3.3,commercial,,no,1986,,N,N
NexusDB,250.0,243.0,221.0,Relational,0.54,-0.02,-0.55,https://db-engines.com/en/system/NexusDB,,,,2003.0,"4.50.26, February 2021",commercial,,no,2003,2021,N,N
Scalaris,251.0,247.0,245.0,Key-value,0.54,-0.01,-0.35,https://db-engines.com/en/system/Scalaris,,,,2010.0,,Open Source,Apache Version 2,no,2010,,Y,N
Splice Machine,252.0,250.0,253.0,Relational,0.54,0.00,-0.29,https://db-engines.com/en/system/Splice+Machine,,Splice Machine,"Open-Source SQL RDBMS for Operational and Analytical use cases with native Machine Learning, powered by Hadoop and Spark",2014.0,"3.1, March 2021",Open Source,"AGPL 3.0, commercial license available",no,2014,2021,Y,N
R:BASE,253.0,251.0,242.0,Relational,0.54,0.00,-0.37,https://db-engines.com/en/system/R%3ABASE,,,,1981.0,,commercial,,no,1981,,N,N
Postgres-XL,254.0,256.0,254.0,"Relational, Multi-model",0.53,+0.05,-0.30,https://db-engines.com/en/system/Postgres-XL,"Relational DBMS,Document store,Spatial DBMS",,Based on PostgreSQL enhanced with MPP and write-scale-out cluster features,2014.0,"10 R1, October 2018",Open Source,Mozilla public license,no,2014,2018,Y,N
MapDB,255.0,246.0,225.0,Key-value,0.52,-0.04,-0.53,https://db-engines.com/en/system/MapDB,,,,2002.0,,Open Source,Apache Version 2,no,2002,,Y,N
AlaSQL,256.0,260.0,255.0,Multi-model,0.51,+0.05,-0.30,https://db-engines.com/en/system/AlaSQL,"Document store,Relational DBMS",Andrey Gershun & Mathias R. Wulff,JavaScript DBMS library,2014.0,,Open Source,MIT-License,no,2014,,Y,N
Kingbase,257.0,262.0,265.0,"Relational, Multi-model",0.5,+0.05,-0.25,https://db-engines.com/en/system/Kingbase,"Relational DBMS,Document store,Spatial DBMS",BeiJing KINGBASE Information technologies inc.,"An enterprise-class,RDBMS,compatible with PostgreSQL and Oracle and widely used in China.",1999.0,"V8.0, August 2021",commercial,,no,1999,2021,N,N
Sequoiadb,258.0,261.0,272.0,Multi-model,0.5,+0.05,-0.20,https://db-engines.com/en/system/Sequoiadb,"Document store,Relational DBMS",Sequoiadb Ltd.,NewSQL database with distributed OLTP and SQL,2013.0,,Open Source,Server: AGPL; Client: Apache V2,no,2013,,Y,N
Raima Database Manager,259.0,259.0,275.0,Multi-model,0.49,+0.04,-0.19,https://db-engines.com/en/system/Raima+Database+Manager,"Relational DBMS,Time Series DBMS",Raima Inc.,"RDBMS with a small footprint, either embedded into an application or used as a database server",1984.0,"15, June 2021",commercial,,no,1984,2021,N,N
LokiJS,260.0,264.0,257.0,Document,0.49,+0.06,-0.31,https://db-engines.com/en/system/LokiJS,,,In-memory JavaScript DBMS,2014.0,,Open Source,,no,2014,,Y,N
Dragonfly,261.0,266.0,382.0,Key-value,0.49,+0.07,+0.33,https://db-engines.com/en/system/Dragonfly,,DragonflyDB team and community contributors,"A drop-in,Redis,replacement that scales vertically to support millions of operations per second and terabyte sized workloads, all on a single instance",2023.0,"1.0, March 2023",Open Source,BSL 1.1,no,2023,2023,Y,N
VistaDB,262.0,257.0,246.0,Relational,0.47,-0.01,-0.40,https://db-engines.com/en/system/VistaDB,,Gibraltar Software,,2008.0,,commercial,,no,2008,,N,N
Alibaba Cloud Log Service,263.0,265.0,315.0,Search engine,0.47,+0.05,+0.04,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,,AlibabaCloud Inc.,"A complete real-time data logging service that supports collection, consumption, shipping, search, and analysis of logs.",2016.0,,commercial,,yes,2016,,N,Y
ScaleArc,264.0,258.0,233.0,Relational,0.46,-0.01,-0.50,https://db-engines.com/en/system/ScaleArc,,Ignite,"A layer on top of standard MySQL, SQL Server or Oracle instances for data distribution and sharding",2009.0,,commercial,limited edition free,no,2009,,N,N
Heroic,265.0,255.0,267.0,Time Series,0.46,-0.05,-0.28,https://db-engines.com/en/system/Heroic,,Spotify,"Time Series DBMS built at Spotify based on,Cassandra,or,Google Cloud Bigtable,, and,ElasticSearch",2014.0,,Open Source,Apache 2.0,no,2014,,Y,N
Kyligence Enterprise,266.0,269.0,286.0,Relational,0.46,+0.06,-0.16,https://db-engines.com/en/system/Kyligence+Enterprise,,"Kyligence, Inc.","A distributed analytics engine for big data, built on top of,Apache Kylin",2016.0,,commercial,,no,2016,,N,N
ITTIA,267.0,273.0,260.0,"Time Series, Multi-model",0.44,+0.05,-0.35,https://db-engines.com/en/system/ITTIA,"Time Series DBMS,Relational DBMS",ITTIA L.L.C.,Edge Time Series DBMS with Real-Time Stream Processing,2007.0,8.7,commercial,,no,2007,,N,N
Rasdaman,268.0,263.0,266.0,Multivalue,0.43,-0.01,-0.32,https://db-engines.com/en/system/Rasdaman,,,Extends standard RDBMS with efficient handling of multi-dimensional arrays,1998.0,"rasdaman v9.8.1, July 2019",Open Source,extended commercial license available,no,1998,2019,Y,N
OpenInsight,269.0,267.0,229.0,Multivalue,0.42,+0.02,-0.58,https://db-engines.com/en/system/OpenInsight,,Revelation Software,Development Environment with included multi-value filing system,1992.0,"10.0.1, April 2018",commercial,,no,1992,2018,N,N
CnosDB,270.0,272.0,312.0,Time Series,0.41,+0.03,-0.03,https://db-engines.com/en/system/CnosDB,,,"An open source distributed,Time Series DBMS,with high performance, high compression rate and high ease of use",2022.0,"2.2.0, February 2023",Open Source,AGPL 3.0,no,2022,2023,Y,N
Tajo,271.0,277.0,276.0,Relational,0.41,+0.05,-0.28,https://db-engines.com/en/system/Tajo,,Apache Software Foundation,SQL on Hadoop,2012.0,,Open Source,Apache Version 2,no,2012,,Y,N
Strabon,272.0,268.0,259.0,RDF,0.4,-0.01,-0.39,https://db-engines.com/en/system/Strabon,,,,2011.0,,Open Source,Mozilla public license,no,2011,,Y,N
InfiniteGraph,273.0,279.0,271.0,Graph,0.39,+0.05,-0.31,https://db-engines.com/en/system/InfiniteGraph,,,,2010.0,,commercial,,no,2010,,N,N
Cloudflare Workers KV,274.0,283.0,303.0,Key-value,0.39,+0.06,-0.11,https://db-engines.com/en/system/Cloudflare+Workers+KV,,Cloudflare,"A global, low-latency,,key-value store,for applications on Cloudflare with exceptionally high read volumes and low-latency.",2018.0,,commercial,,yes,2018,,N,Y
Apache Pinot,275.0,270.0,252.0,Relational,0.38,-0.01,-0.46,https://db-engines.com/en/system/Apache+Pinot,,Apache Software Foundation and contributors,"Realtime distributed OLAP datastore, designed to answer OLAP queries with low latency",2015.0,"1.0.0, September 2023",Open Source,Apache Version 2.0,no,2015,2023,Y,N
Brytlyt,276.0,288.0,300.0,Relational,0.38,+0.08,-0.13,https://db-engines.com/en/system/Brytlyt,,Brytlyt,"Scalable GPU-accelerated,RDBMS,for very fast analytic and streaming workloads, leveraging,PostgreSQL",2016.0,"5.0, August 2023",commercial,,no,2016,2023,N,N
ModeShape,277.0,275.0,248.0,Content,0.37,+0.00,-0.49,https://db-engines.com/en/system/ModeShape,,,,2010.0,,Open Source,Apache Version 2,no,2010,,Y,N
Fujitsu Enterprise Postgres,278.0,285.0,354.0,"Relational, Multi-model",0.37,+0.05,+0.10,https://db-engines.com/en/system/Fujitsu+Enterprise+Postgres,"Relational DBMS,Document store,Spatial DBMS","PostgreSQL Global Development Group, Fujitsu Australia Software Technology","Enterprise-grade,PostgreSQL,-based DBMS with security enhancements such as Transparent Data Encryption and Data Masking, plus high-availability and performance improvement features.",,"Fujitsu Enterprise Postgres 14, January 2022",commercial,,no,,2022,N,N
Marqo,279.0,274.0,319.0,Search engine,0.36,-0.01,-0.05,https://db-engines.com/en/system/Marqo,,,"An open source vector-based,search engine",2022.0,,Open Source,Apache Version 2.0,no,2022,,Y,N
LeanXcale,280.0,291.0,322.0,Multi-model,0.36,+0.07,-0.05,https://db-engines.com/en/system/LeanXcale,"Key-value store,Relational DBMS",LeanXcale,A highly scalable full ACID SQL database with fast NoSQL data ingestion and GIS capabilities,2015.0,,commercial,,no,2015,,N,N
Project Voldemort,281.0,280.0,288.0,Key-value,0.35,+0.01,-0.25,https://db-engines.com/en/system/Project+Voldemort,,,,2009.0,"1.10.25, July 2017",Open Source,Apache version 2,no,2009,2017,Y,N
Axibase,282.0,292.0,295.0,Time Series,0.35,+0.06,-0.19,https://db-engines.com/en/system/Axibase,,Axibase Corporation,"Scalable TimeSeries DBMS based on,HBase,with integrated rule engine and visualization",2013.0,15585,commercial,"Community Edition (single node) is free, Enterprise Edition (distributed) is paid",no,2013,1558,N,N
Databend,283.0,287.0,274.0,Relational,0.34,+0.04,-0.35,https://db-engines.com/en/system/Databend,,Databend Labs,"An open-source, elastic, and workload-aware cloud data warehouse designed to meet businesses' massive-scale analytics needs at low cost and with low complexity",2021.0,"1.0.59, April 2023",Open Source,Apache Version 2.0,no,2021,2023,Y,N
OpenQM,284.0,298.0,277.0,Multivalue,0.34,+0.07,-0.34,https://db-engines.com/en/system/OpenQM,,"Rocket Software, originally Martin Phillips","QpenQM is a high-performance, self-tuning, multi-value DBMS",1993.0,3.4-12,Open Source,"GPLv2, extended commercial license available",no,1993,,Y,N
SearchBlox,285.0,271.0,247.0,Search engine,0.34,-0.06,-0.54,https://db-engines.com/en/system/SearchBlox,,,,2003.0,,commercial,,no,2003,,N,N
Lovefield,286.0,293.0,273.0,Relational,0.33,+0.05,-0.36,https://db-engines.com/en/system/Lovefield,,Google,"Embeddable,relational database,for web apps written in pure JavaScript",2014.0,"2.1.12, February 2017",Open Source,Apache 2.0,no,2014,2017,Y,N
YDB,287.0,278.0,282.0,Multi-model,0.33,-0.02,-0.31,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS",Yandex,"A distributed fault-tolerant database service, with high availability, scalability, immediate consistency and ACID transactions and providing an,Amazon DynamoDB,compatible API",2019.0,,Open Source,Apache 2.0; commercial license available,no,2019,,Y,N
Apache Sedona,288.0,290.0,,Spatial,0.33,+0.04,,https://db-engines.com/en/system/Apache+Sedona,,Apache Software Foundation and contributors,"Apache Sedona extends,Apache Flink,and,Apache Spark,with a set of out-of-the-box distributed Spatial Datasets and Spatial SQL that efficiently load, process, and analyze large-scale spatial data across machines.",2020.0,,Open Source,Apache Version 2.0,no,2020,,Y,N
PieCloudDB,289.0,304.0,372.0,Relational,0.32,+0.08,+0.13,https://db-engines.com/en/system/PieCloudDB,,OpenPie,A cloud-native analytic database platform with new technologoy for elastic MPP,,"2.1, January 2023",commercial,,yes,,2023,N,Y
Comdb2,290.0,284.0,296.0,Relational,0.32,+0.00,-0.22,https://db-engines.com/en/system/Comdb2,,Bloomberg Finance L.P.,"A distributed,RDBMS,designed for geographical replication and high availability. It has been developed by Bloomberg Finance L.P. and is used as their primary DBMS.",2004.0,,Open Source,Apache 2.0,no,2004,,Y,N
Fluree,291.0,286.0,281.0,Graph,0.32,+0.01,-0.33,https://db-engines.com/en/system/Fluree,,"Fluree, PBC","A,Graph DBMS,built with blockchain technology",2018.0,,Open Source,open-sourced in October 2020,no,2018,,Y,N
FeatureBase,292.0,309.0,316.0,Relational,0.31,+0.09,-0.11,https://db-engines.com/en/system/FeatureBase,,Molecula and Pilosa Open Source Contributors,"Real-time database platform that powers real-time analytics and machine learning applications by simultaneously executing low-latency, high-throughput, and highly concurrent workloads.",2017.0,"2022, May 2022",commercial,,no,2017,2022,N,N
Redland,293.0,282.0,264.0,RDF,0.31,-0.02,-0.44,https://db-engines.com/en/system/Redland,,,A set of free software C libraries that provide support for the Resource Description Framework (RDF),2000.0,,Open Source,"Multi License (LGPL, GPLv2, Apache V2)",no,2000,,Y,N
