DBMS,Rank_Jun-2023,Rank_May-2023,Rank_Jun-2022,Database Model,Score_Jun-2023,Score_May-2023,Score_Jun-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
Model 204,191.0,186.0,164.0,Multivalue,1.45,-0.04,+0.32,https://db-engines.com/en/system/Model+204,,,,1972.0,,commercial,,no,1972,,N,N
Dolt,192.0,191.0,230.0,"Relational, Multi-model",1.43,-0.01,+0.87,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store",DoltHub Inc,"A,MySQL,compatible,DBMS,with Git-like versioning of data and schema",2018.0,,Open Source,Apache Version 2.0,no,2018,,Y,N
NCache,193.0,189.0,192.0,"Key-value, Multi-model",1.41,-0.06,+0.61,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine",Alachisoft,"Open-Source and Enterprise in-memory,Key-Value Store",2005.0,"5.3, September 2022",Open Source,Enterprise Edition available,no,2005,2022,Y,N
Xapian,194.0,184.0,202.0,Search engine,1.41,-0.11,+0.65,https://db-engines.com/en/system/Xapian,,,Open Source search engine library,1986.0,"1.4.22, February 2023",Open Source,GPLv2,no,1986,2023,Y,N
VictoriaMetrics,195.0,212.0,228.0,Time Series,1.38,+0.16,+0.82,https://db-engines.com/en/system/VictoriaMetrics,,VictoriaMetrics,"A fast, cost-effective and scalable,Time Series DBMS,and monitoring solution",2018.0,"v1.89, March 2023",Open Source,Apache Version 2.0,no,2018,2023,Y,N
Hibari,196.0,192.0,246.0,Key-value,1.36,-0.06,+0.90,https://db-engines.com/en/system/Hibari,,,,2005.0,,Open Source,Apache Version 2,no,2005,,Y,N
GBase,197.0,203.0,165.0,Relational,1.36,+0.06,+0.24,https://db-engines.com/en/system/GBase,,,An analytical database for business intelligence with large customers in China.,,GBase 8a,commercial,,no,,,N,N
AllegroGraph,198.0,188.0,167.0,Multi-model,1.36,-0.12,+0.25,https://db-engines.com/en/system/AllegroGraph,"Document store,Graph DBMS,RDF store,Spatial DBMS",Franz Inc.,"High performance, persistent RDF store with additional support for Graph DBMS",2004.0,"7.3.1, December 2022",commercial,Limited community edition free,no,2004,2022,N,N
solidDB,199.0,197.0,201.0,Relational,1.35,-0.03,+0.59,https://db-engines.com/en/system/solidDB,,"Unicom Systems, Inc; IBM",,1992.0,,commercial,,no,1992,,N,N
D3,200.0,204.0,153.0,Multivalue,1.34,+0.03,+0.04,https://db-engines.com/en/system/D3,,,,1999.0,,commercial,,no,1999,,N,N
Meilisearch,201.0,209.0,227.0,Search engine,1.33,+0.07,+0.77,https://db-engines.com/en/system/Meilisearch,,,"A powerful, fast, open-source and highly customizable,Search Engine",2020.0,,Open Source,MIT License,no,2020,,Y,N
1010data,202.0,201.0,163.0,Relational,1.31,-0.04,+0.18,https://db-engines.com/en/system/1010data,,,,2000.0,,commercial,,no,2000,,N,N
TypeDB,203.0,195.0,209.0,Multi-model,1.31,-0.09,+0.60,https://db-engines.com/en/system/TypeDB,"Graph DBMS,Relational DBMS",Vaticle (formerly Grakn Labs),TypeDB is a strongly-typed database with a rich and logical type system and TypeQL as its query language,2016.0,"2.17.0, April 2023",Open Source,"GPL Version 3, commercial licenses available",no,2016,2023,Y,N
IDMS,204.0,198.0,188.0,Navigational,1.31,-0.07,+0.44,https://db-engines.com/en/system/IDMS,,,,1973.0,18.5,commercial,,no,1973,,N,N
Milvus,205.0,223.0,267.0,Vector DBMS,1.31,+0.25,+0.97,https://db-engines.com/en/system/Milvus,,,A DBMS designed for efficient storage of vector data and vector similarity searches,2019.0,"2.2, November 2022",Open Source,Apache Version 2.0,no,2019,2022,Y,N
HPE Ezmeral Data Fabric,206.0,196.0,190.0,Multi-model,1.29,-0.11,+0.42,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store","HPE, MapR Technologies, Inc","A unified data platform to ingest, store, manage, process, apply, and analyze all data types from any data source, and a variety of different ingestion mechanisms at an exabyte scale",2009.0,,commercial,,no,2009,,N,N
Amazon Timestream,207.0,207.0,174.0,Time Series,1.29,+0.02,+0.27,https://db-engines.com/en/system/Amazon+Timestream,,,"Fast, scalable, fully managed time series database service for IoT and operational applications",2018.0,,commercial,,yes,2018,,N,Y
Actian Vector,208.0,206.0,194.0,Relational,1.25,-0.03,+0.45,https://db-engines.com/en/system/Actian+Vector,,,,,"Vector 5.0, July 2016",commercial,,no,,2016,N,N
WebSphere eXtreme Scale,209.0,208.0,216.0,Key-value,1.25,-0.02,+0.61,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,,,An elastic highly scalable in-memory data grid,2009.0,,commercial,,no,2009,,N,N
RDF4J,210.0,199.0,206.0,RDF,1.25,-0.12,+0.50,https://db-engines.com/en/system/RDF4J,,"Since 2016 officially forked into an Eclipse project, former developer was Aduna Software.","RDF4J is a Java framework for processing RDF data, supporting both memory-based and a disk-based storage.",2004.0,,Open Source,"Eclipse Distribution License (EDL), v1.0.",no,2004,,Y,N
Vitess,211.0,219.0,,"Relational, Multi-model",1.24,+0.13,,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS","The Linux Foundation, PlanetScale","Scalable, distributed, cloud-native DBMS, extending,MySQL",2013.0,"15.0.2, December 2022",Open Source,"Apache Version 2.0, commercial licenses available",no,2013,2022,Y,N
DBISAM,212.0,194.0,213.0,Relational,1.23,-0.17,+0.58,https://db-engines.com/en/system/DBISAM,,"Elevate Software, Inc.",RDBMS mainly geared to Delphi and C++Builder application developers,1998.0,,commercial,,no,1998,,N,N
OpenBase,213.0,210.0,205.0,Relational,1.22,0.00,+0.48,https://db-engines.com/en/system/OpenBase,,,,1991.0,,commercial,,no,1991,,N,N
TDSQL for MySQL,214.0,205.0,238.0,"Relational, Multi-model",1.18,-0.11,+0.67,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS",Tencent,"A high-performance distributed database management system with features such as automatic sharding, intelligent operation and maintenance, elastic scalability without downtime, and enterprise-grade security. It is highly compatible with MySQL.",2013.0,,commercial,,yes,2013,,N,Y
M3DB,215.0,214.0,258.0,Time Series,1.16,-0.02,+0.75,https://db-engines.com/en/system/M3DB,,,A distributed time series database created for Uber,,,Open Source,Apache version 2,no,,,Y,N
GeoMesa,216.0,211.0,203.0,Spatial DBMS,1.15,-0.07,+0.40,https://db-engines.com/en/system/GeoMesa,,CCRi and others,GeoMesa is a distributed spatio-temporal DBMS based on various systems as storage layer.,2014.0,"4.0.1, April 2023",Open Source,Apache License 2.0,no,2014,2023,Y,N
Blazegraph,217.0,216.0,189.0,Multi-model,1.15,+0.00,+0.28,https://db-engines.com/en/system/Blazegraph,"Graph DBMS,RDF store",Blazegraph,"High-performance graph database supporting Semantic Web (RDF/SPARQL) and Graph Database (tinkerpop3, blueprints, vertex-centric) APIs with scale-out and High Availability.",2006.0,"2.1.5, March 2019",Open Source,extended commercial license available,no,2006,2019,Y,N
StarRocks,218.0,234.0,,Relational,1.12,+0.15,,https://db-engines.com/en/system/StarRocks,,The Linux Foundation,"An open source, high-performance columnar analytical database that enables real-time, multi-dimensional, and highly concurrent data analytics",2020.0,"2.5.3, March 2023",Open Source,Apache Version 2.0,no,2020,2023,Y,N
eXist-db,219.0,217.0,182.0,Native XML,1.12,-0.02,+0.19,https://db-engines.com/en/system/eXist-db,,,,2000.0,,Open Source,L-GPL,no,2000,,Y,N
Kognitio,220.0,213.0,200.0,Relational,1.11,-0.08,+0.34,https://db-engines.com/en/system/Kognitio,,,,1992.0,,commercial,,no,1992,,N,N
NexusDB,221.0,221.0,233.0,Relational,1.09,0.00,+0.55,https://db-engines.com/en/system/NexusDB,,,,2003.0,"4.50.26, February 2021",commercial,,no,2003,2021,N,N
SciDB,222.0,215.0,219.0,Multivalue,1.09,-0.08,+0.45,https://db-engines.com/en/system/SciDB,,Paradigm4,DBMS built upon a multi-dimensional array data model,2008.0,,Open Source,,no,2008,,Y,N
Weaviate,223.0,246.0,299.0,Vector DBMS,1.08,+0.22,+0.92,https://db-engines.com/en/system/Weaviate,,Weaviate B.V.,"A cloud-native, realtime vector search engine integrating scalable machine learning models",2019.0,"1.17, December 2022",Open Source,commercial license available with Weaviate Enterprise,no,2019,2022,Y,N
ObjectDB,224.0,222.0,221.0,Object oriented,1.06,-0.04,+0.47,https://db-engines.com/en/system/ObjectDB,,,,2010.0,"2.8.8, October 2022",commercial,,no,2010,2022,N,N
MapDB,225.0,227.0,234.0,Key-value,1.04,0.00,+0.51,https://db-engines.com/en/system/MapDB,,,,2002.0,,Open Source,Apache Version 2,no,2002,,Y,N
Amazon Keyspaces,226.0,236.0,225.0,Wide column,1.04,+0.07,+0.46,https://db-engines.com/en/system/Amazon+Keyspaces,,Amazon,"A scalable, highly available,Cassandra,–compatible database service",2019.0,,commercial,,yes,2019,,N,Y
BigchainDB,227.0,218.0,199.0,Document,1.03,-0.10,+0.25,https://db-engines.com/en/system/BigchainDB,,,"BigchainDB is scalable blockchain database offering decentralization, immutability and native assets",2016.0,,Open Source,AGPL v3,no,2016,,Y,N
Yellowbrick,228.0,224.0,204.0,Relational,1.0,-0.05,+0.26,https://db-engines.com/en/system/Yellowbrick,,Yellowbrick Data,Data Warehouse appliance and cloud service,,,commercial,,no,,,N,N
OpenInsight,229.0,228.0,248.0,Multivalue,1.0,-0.02,+0.54,https://db-engines.com/en/system/OpenInsight,,,Development Environment with included multi-value filing system,1992.0,"10.0.1, April 2018",commercial,,no,1992,2018,N,N
BoltDB,230.0,232.0,231.0,Key-value,0.99,-0.01,+0.43,https://db-engines.com/en/system/BoltDB,,,"An embedded,key-value store,for Go.",2013.0,,Open Source,MIT License,no,2013,,Y,N
Rockset,231.0,226.0,237.0,"Document, Multi-model",0.98,-0.07,+0.47,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine",Rockset,"A scalable, reliable search and analytics service in the cloud, built on,RocksDB",2019.0,,commercial,,yes,2019,,N,Y
atoti,232.0,237.0,263.0,Object oriented,0.98,+0.03,+0.62,https://db-engines.com/en/system/atoti,,ActiveViam,"An in-memory,DBMS,combining transactional and analytical processing to handle the aggregation of ever-changing data.",,,commercial,free versions available,no,,,N,N
ScaleArc,233.0,231.0,239.0,Relational,0.96,-0.03,+0.46,https://db-engines.com/en/system/ScaleArc,,"DevFactory, formerly Ignite","A layer on top of standard MySQL, SQL Server or Oracle instances for data distribution and sharding",2009.0,,commercial,limited edition free,no,2009,,N,N
CrateDB,234.0,230.0,176.0,Multi-model,0.96,-0.04,-0.03,https://db-engines.com/en/system/CrateDB,"Document store,Time Series DBMS,Relational DBMS,Search engine",Crate,Distributed Database based on Lucene,2013.0,,Open Source,,no,2013,,Y,N
SQream DB,235.0,235.0,224.0,Relational,0.96,-0.02,+0.37,https://db-engines.com/en/system/SQream+DB,,SQream Technologies,"a GPU-based, columnar RDBMS for big data analytics workloads",2017.0,"2022.1.6, December 2022",commercial,,no,2017,2022,N,N
KairosDB,236.0,225.0,214.0,Time Series,0.95,-0.10,+0.30,https://db-engines.com/en/system/KairosDB,,,"Distributed Time Series DBMS based on,Cassandra,or,H2",2013.0,"1.2.2, November 2018",Open Source,Apache 2.0,no,2013,2018,Y,N
Kinetica,237.0,253.0,218.0,"Relational, Multi-model",0.93,+0.09,+0.30,https://db-engines.com/en/system/Kinetica,"Relational DBMS,Spatial DBMS,Time Series DBMS",Kinetica,Fully vectorized database across both GPUs and CPUs,2012.0,"7.1, August 2021",commercial,,no,2012,2021,N,N
FrontBase,238.0,220.0,191.0,Relational,0.93,-0.17,+0.12,https://db-engines.com/en/system/FrontBase,,,,1993.0,"8.2.6, December 2015",commercial,free licenses,no,1993,2015,N,N
eXtremeDB,239.0,243.0,215.0,Multi-model,0.91,+0.01,+0.27,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS",McObject,"Natively in-memory DBMS with options for persistency, high-availability and clustering",2001.0,"8.2, 2021",commercial,,no,2001,2021,N,N
Graph Engine,240.0,229.0,187.0,Multi-model,0.91,-0.11,+0.03,https://db-engines.com/en/system/Graph+Engine,"Graph DBMS,Key-value store",Microsoft,"A distributed in-memory data processing engine, underpinned by a strongly-typed RAM store and a general distributed computation engine",2010.0,,Open Source,MIT License,no,2010,,Y,N
Datacom/DB,241.0,244.0,196.0,Relational,0.91,+0.01,+0.13,https://db-engines.com/en/system/Datacom%2FDB,,Broadcom (formerly CA),"RDBMS,for mainframes",1972.0,,commercial,,no,1972,,N,N
R:BASE,242.0,233.0,212.0,Relational,0.9,-0.09,+0.22,https://db-engines.com/en/system/R%3ABASE,,,,1981.0,,commercial,,no,1981,,N,N
Vald,243.0,,,Vector DBMS,0.9,,,https://db-engines.com/en/system/Vald,,,Vald is a distributed vector DBMS.,,,Open Source,Apache-2.0 license,no,,,Y,N
Typesense,244.0,266.0,,Search engine,0.89,+0.17,,https://db-engines.com/en/system/Typesense,,,"A typo-tolerant, in-memory search engine optimized for instant search-as-you-type experiences and developer productivity",2015.0,,Open Source,GPL V3,no,2015,,Y,N
Scalaris,245.0,239.0,257.0,Key-value,0.89,-0.03,+0.47,https://db-engines.com/en/system/Scalaris,,,,2010.0,,Open Source,Apache Version 2,no,2010,,Y,N
VistaDB,246.0,241.0,229.0,Relational,0.88,-0.04,+0.32,https://db-engines.com/en/system/VistaDB,,Gibraltar Software,,2008.0,,commercial,,no,2008,,N,N
SearchBlox,247.0,251.0,270.0,Search engine,0.87,+0.02,+0.56,https://db-engines.com/en/system/SearchBlox,,,,2003.0,,commercial,,no,2003,,N,N
ModeShape,248.0,249.0,265.0,Content,0.86,+0.01,+0.51,https://db-engines.com/en/system/ModeShape,,,,2010.0,,Open Source,Apache Version 2,no,2010,,Y,N
KeyDB,249.0,250.0,268.0,Key-value,0.85,+0.00,+0.52,https://db-engines.com/en/system/KeyDB,,EQ Alpha Technology Ltd.,"An ultra-fast, open source,Key-value store,fully compatible with Redis API, modules, and protocols",2019.0,,Open Source,BSD-3,no,2019,,Y,N
SurrealDB,250.0,255.0,,Multi-model,0.85,+0.04,,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS",SurrealDB Ltd,"A fully ACID transactional, developer-friendly, multi-model,DBMS",2022.0,,Open Source,,no,2022,,Y,N
Starcounter,251.0,247.0,242.0,Object oriented,0.85,-0.01,+0.36,https://db-engines.com/en/system/Starcounter,,,,2006.0,"2.3.2.930, April 2018",commercial,,no,2006,2018,N,N
Apache Pinot,252.0,270.0,274.0,Relational,0.84,+0.15,+0.57,https://db-engines.com/en/system/Apache+Pinot,,Apache Software Foundation and contributors,"Realtime distributed OLAP datastore, designed to answer OLAP queries with low latency",2015.0,"0.11.0, September 2022",Open Source,Apache Version 2.0,no,2015,2022,Y,N
Splice Machine,253.0,238.0,195.0,Relational,0.83,-0.10,+0.04,https://db-engines.com/en/system/Splice+Machine,,Splice Machine,"Open-Source SQL RDBMS for Operational and Analytical use cases with native Machine Learning, powered by Hadoop and Spark",2014.0,"3.1, March 2021",Open Source,"AGPL 3.0, commercial license available",no,2014,2021,Y,N
Postgres-XL,254.0,242.0,208.0,"Relational, Multi-model",0.83,-0.08,+0.12,https://db-engines.com/en/system/Postgres-XL,"Relational DBMS,Document store,Spatial DBMS",,Based on PostgreSQL enhanced with MPP and write-scale-out cluster features,2014.0,"10 R1, October 2018",Open Source,Mozilla public license,no,2014,2018,Y,N
AlaSQL,255.0,248.0,232.0,Multi-model,0.81,-0.04,+0.26,https://db-engines.com/en/system/AlaSQL,"Document store,Relational DBMS",Andrey Gershun & Mathias R. Wulff,JavaScript DBMS library,2014.0,,Open Source,MIT-License,no,2014,,Y,N
4store,256.0,245.0,236.0,RDF,0.81,-0.07,+0.29,https://db-engines.com/en/system/4store,,,,2009.0,,Open Source,GPLv3,no,2009,,Y,N
LokiJS,257.0,252.0,226.0,Document,0.8,-0.05,+0.23,https://db-engines.com/en/system/LokiJS,,,In-memory JavaScript DBMS,2014.0,,Open Source,,no,2014,,Y,N
Objectivity/DB,258.0,257.0,193.0,Object oriented,0.8,+0.01,0.00,https://db-engines.com/en/system/Objectivity%2FDB,,,,1990.0,,commercial,,no,1990,,N,N
Strabon,259.0,240.0,310.0,RDF,0.79,-0.13,+0.67,https://db-engines.com/en/system/Strabon,,,,2011.0,,Open Source,Mozilla public license,no,2011,,Y,N
ITTIA,260.0,254.0,326.0,"Time Series, Multi-model",0.79,-0.05,+0.72,https://db-engines.com/en/system/ITTIA,"Time Series DBMS,Relational DBMS",ITTIA L.L.C.,Edge Time Series DBMS with Real-Time Stream Processing,2007.0,8.7,commercial,,no,2007,,N,N
GemStone/S,261.0,272.0,198.0,Object oriented,0.76,+0.08,-0.02,https://db-engines.com/en/system/GemStone%2FS,,,,1986.0,64 Bit 3.3.3,commercial,,no,1986,,N,N
Percona Server for MongoDB,262.0,274.0,210.0,Document,0.76,+0.09,+0.06,https://db-engines.com/en/system/Percona+Server+for+MongoDB,,Percona,A drop-in replacement for MongoDB Community Edition with enterprise-grade features.,2015.0,"3.4.10-2.10, November 2017",Open Source,GPL Version 2,no,2015,2017,Y,N
Apache IoTDB,263.0,258.0,255.0,Time Series,0.76,-0.03,+0.33,https://db-engines.com/en/system/Apache+IoTDB,,Apache Software Foundation,"An IoT native database with high performance for data management and analysis, deployable on the edge and the cloud and integrated with Hadoop, Spark and Flink",2018.0,"1.1.0, April 2023",Open Source,Apache Version 2.0,no,2018,2023,Y,N
Redland,264.0,260.0,253.0,RDF,0.76,-0.01,+0.32,https://db-engines.com/en/system/Redland,,,A set of free software C libraries that provide support for the Resource Description Framework (RDF),2000.0,,Open Source,"Multi License (LGPL, GPLv2, Apache V2)",no,2000,,Y,N
Kingbase,265.0,263.0,264.0,"Relational, Multi-model",0.75,+0.02,+0.39,https://db-engines.com/en/system/Kingbase,"Relational DBMS,Document store,Spatial DBMS",BeiJing KINGBASE Information technologies inc.,"An enterprise-class,RDBMS,compatible with PostgreSQL and Oracle and widely used in China.",1999.0,"V8.0, August 2021",commercial,,no,1999,2021,N,N
Rasdaman,266.0,262.0,250.0,Multivalue,0.75,+0.00,+0.30,https://db-engines.com/en/system/Rasdaman,,,Extends standard RDBMS with efficient handling of multi-dimensional arrays,1998.0,"rasdaman v9.8.1, July 2019",Open Source,extended commercial license available,no,1998,2019,Y,N
Heroic,267.0,283.0,280.0,Time Series,0.74,+0.11,+0.49,https://db-engines.com/en/system/Heroic,,Spotify,"Time Series DBMS built at Spotify based on,Cassandra,or,Google Cloud Bigtable,, and,ElasticSearch",2014.0,,Open Source,Apache 2.0,no,2014,,Y,N
Alibaba Cloud MaxCompute,268.0,277.0,217.0,Relational,0.72,+0.06,+0.08,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,,Alibaba,"MaxCompute (previously known as ODPS) is a general purpose, fully managed, multi-tenancy data processing platform for large-scale data warehousing",2016.0,,commercial,,yes,2016,,N,Y
Jade,269.0,273.0,223.0,Object oriented,0.72,+0.05,+0.13,https://db-engines.com/en/system/Jade,,,,1996.0,,commercial,,no,1996,,N,N
Trafodion,270.0,261.0,254.0,Relational,0.7,-0.06,+0.27,https://db-engines.com/en/system/Trafodion,,"Apache Software Foundation, originally developed by HP",Transactional SQL-on-Hadoop DBMS,2014.0,"2.3.0, February 2019",Open Source,Apache 2.0,no,2014,2019,Y,N
InfiniteGraph,271.0,259.0,259.0,Graph,0.7,-0.07,+0.30,https://db-engines.com/en/system/InfiniteGraph,,,,2010.0,,commercial,,no,2010,,N,N
Sequoiadb,272.0,265.0,260.0,Multi-model,0.7,-0.03,+0.30,https://db-engines.com/en/system/Sequoiadb,"Document store,Relational DBMS",Sequoiadb Ltd.,NewSQL database with distributed OLTP and SQL,2013.0,,Open Source,Server: AGPL; Client: Apache V2,no,2013,,Y,N
Lovefield,273.0,256.0,286.0,Relational,0.69,-0.10,+0.47,https://db-engines.com/en/system/Lovefield,,Google,"Embeddable,relational database,for web apps written in pure JavaScript",2014.0,"2.1.12, February 2017",Open Source,Apache 2.0,no,2014,2017,Y,N
Databend,274.0,269.0,,Relational,0.69,-0.01,,https://db-engines.com/en/system/Databend,,Databend Labs,"An open-source, elastic, and workload-aware cloud data warehouse designed to meet businesses' massive-scale analytics needs at low cost and with low complexity",2021.0,"1.0.59, April 2023",Open Source,Apache Version 2.0,no,2021,2023,Y,N
Raima Database Manager,275.0,268.0,243.0,Multi-model,0.69,-0.03,+0.21,https://db-engines.com/en/system/Raima+Database+Manager,"Relational DBMS,Time Series DBMS",Raima Inc.,"RDBMS with a small footprint, either embedded into an application or used as a database server",1984.0,"15, June 2021",commercial,,no,1984,2021,N,N
Tajo,276.0,281.0,241.0,Relational,0.69,+0.05,+0.20,https://db-engines.com/en/system/Tajo,,Apache Software Foundation,SQL on Hadoop,2012.0,,Open Source,Apache Version 2,no,2012,,Y,N
OpenQM,277.0,271.0,284.0,Multivalue,0.68,-0.01,+0.44,https://db-engines.com/en/system/OpenQM,,Martin Phillips,"QpenQM is a high-performance, self-tuning, multi-value DBMS",1993.0,3.4-12,Open Source,"GPLv2, extended commercial license available",no,1993,,Y,N
Alibaba Cloud AnalyticDB for MySQL,278.0,282.0,220.0,"Relational, Multi-model",0.67,+0.03,+0.08,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store",Alibaba,A real-time data warehousing service that can process petabytes of data with high concurrency and low latency. It is fully compatible with the MySQL protocol.,,,commercial,,yes,,,N,Y
Apache Doris,279.0,264.0,273.0,Relational,0.67,-0.06,+0.39,https://db-engines.com/en/system/Apache+Doris,,"Apache Software Foundation, originally contributed from Baidu","An MPP-based analytics DBMS embracing the,MySQL,protocol",2017.0,"1.2.2, February 2023",Open Source,Apache Version 2.0,no,2017,2023,Y,N
HarperDB,280.0,284.0,247.0,Document,0.65,+0.01,+0.19,https://db-engines.com/en/system/HarperDB,,HarperDB,Ultra-low latency distributed database with an intuitive REST API supporting NoSQL and SQL (including joins). Deployment of functions and databases simultaneously with a consolidated node-level architecture.,2017.0,"3.1, August 2021",commercial,free community edition available,no,2017,2021,N,N
Fluree,281.0,288.0,300.0,Graph,0.65,+0.06,+0.49,https://db-engines.com/en/system/Fluree,,"Fluree, PBC","A,Graph DBMS,built with blockchain technology",2018.0,,Open Source,open-sourced in October 2020,no,2018,,Y,N
YDB,282.0,302.0,235.0,Multi-model,0.64,+0.15,+0.11,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS",Yandex,"A distributed fault-tolerant database service, with high availability, scalability, immediate consistency and ACID transactions and providing an,Amazon DynamoDB,compatible API",2019.0,,Open Source,Apache 2.0; commercial license available,no,2019,,Y,N
Transbase,283.0,267.0,324.0,Relational,0.63,-0.10,+0.55,https://db-engines.com/en/system/Transbase,,Transaction Software GmbH,"A resource-optimized, high-performance, universally applicable RDBMS",1987.0,"Transbase 8.3, 2022",commercial,free development license,no,1987,2022,N,N
HyperGraphDB,284.0,278.0,298.0,Graph,0.62,-0.03,+0.46,https://db-engines.com/en/system/HyperGraphDB,,,,2007.0,,Open Source,L-GPL,no,2007,,Y,N
Actian FastObjects,285.0,280.0,290.0,Object oriented,0.62,-0.02,+0.43,https://db-engines.com/en/system/Actian+FastObjects,,Actian,,,,commercial,,no,,,N,N
Kyligence Enterprise,286.0,285.0,287.0,Relational,0.62,0.00,+0.39,https://db-engines.com/en/system/Kyligence+Enterprise,,"Kyligence, Inc.","A distributed analytics engine for big data, built on top of,Apache Kylin",2016.0,,commercial,,no,2016,,N,N
Elassandra,287.0,276.0,262.0,"Wide column, Multi-model",0.62,-0.05,+0.25,https://db-engines.com/en/system/Elassandra,"Wide column store,Search engine",,"Open source database and search engine for multi-cloud applications based on,Cassandra,and,Elasticsearch",,,Open Source,Apache Version 2.0,no,,,Y,N
Project Voldemort,288.0,275.0,256.0,Key-value,0.6,-0.07,+0.17,https://db-engines.com/en/system/Project+Voldemort,,,,2009.0,"1.10.25, July 2017",Open Source,Apache version 2,no,2009,2017,Y,N
Vespa,289.0,,,Multi-model,0.59,,,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS",Yahoo,"Vespa is a search engine and vector DBMS. It supports vector search (ANN), lexical search, and search in structured data.",,,Open Source,Apache-2.0 license,no,,,Y,N
Qdrant,290.0,305.0,335.0,Vector DBMS,0.58,+0.10,+0.54,https://db-engines.com/en/system/Qdrant,,Qdrant,A high-performance vector database with neural network or semantic-based matching,2021.0,,Open Source,Apache Version 2.0,no,2021,,Y,N
FlockDB,291.0,287.0,282.0,Graph,0.58,-0.01,+0.34,https://db-engines.com/en/system/FlockDB,,Twitter,,2010.0,"1.8.5, February 2012",Open Source,Apache Version 2,no,2010,2012,Y,N
EJDB,292.0,279.0,317.0,Document,0.57,-0.07,+0.48,https://db-engines.com/en/system/EJDB,,Softmotions,Embeddable document-store database library with JSON representation of queries (in MongoDB style),2012.0,,Open Source,GPLv2,no,2012,,Y,N
Mulgara,293.0,290.0,325.0,RDF,0.55,-0.03,+0.47,https://db-engines.com/en/system/Mulgara,,,,2006.0,"2.1.13, January 2012",Open Source,Apache Version 2,no,2006,2012,Y,N
Tokyo Tyrant,294.0,286.0,245.0,Key-value,0.54,-0.06,+0.08,https://db-engines.com/en/system/Tokyo+Tyrant,,,,2007.0,,Open Source,GPL,no,2007,,Y,N
Axibase,295.0,295.0,281.0,Time Series,0.54,+0.00,+0.30,https://db-engines.com/en/system/Axibase,,Axibase Corporation,"Scalable TimeSeries DBMS based on,HBase,with integrated rule engine and visualization",2013.0,15585,commercial,"Community Edition (single node) is free, Enterprise Edition (distributed) is paid",no,2013,1558,N,N
Comdb2,296.0,291.0,279.0,Relational,0.54,-0.05,+0.28,https://db-engines.com/en/system/Comdb2,,Bloomberg Finance L.P.,"A distributed,RDBMS,designed for geographical replication and high availability. It has been developed by Bloomberg Finance L.P. and is used as their primary DBMS.",2004.0,,Open Source,Apache 2.0,no,2004,,Y,N
RedStore,297.0,296.0,312.0,RDF,0.53,0.00,+0.41,https://db-engines.com/en/system/RedStore,,,RedStore is a lightweight RDF triplestore,2009.0,,Open Source,GPLv3,no,2009,,Y,N
CubicWeb,298.0,292.0,296.0,RDF,0.51,-0.05,+0.34,https://db-engines.com/en/system/CubicWeb,,,,2001.0,"3.30.0, March 2021",Open Source,L-GPL,no,2001,2021,Y,N
Elliptics,299.0,307.0,363.0,Key-value,0.51,+0.04,+0.51,https://db-engines.com/en/system/Elliptics,,,Distributed Key-value Store,2009.0,,Open Source,,no,2009,,Y,N
Brytlyt,300.0,289.0,271.0,Relational,0.5,-0.08,+0.20,https://db-engines.com/en/system/Brytlyt,,Brytlyt,"Scalable GPU-accelerated,RDBMS,for very fast analytic and streaming workloads, leveraging,PostgreSQL",2016.0,"0.9, October 2016",commercial,,no,2016,2016,N,N
Deep Lake,301.0,,,Vector DBMS,0.5,,,https://db-engines.com/en/system/Deep+Lake,,Activeloop,Deep Lake is a vector DBMS optimized for deep-learning and Large Language Model (LLM) based applications.,,,Open Source,MPL-2.0 license,no,,,Y,N
Alibaba Cloud AnalyticDB for PostgreSQL,302.0,303.0,252.0,Relational,0.5,+0.02,+0.06,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,,Alibaba / Pivotal Software Inc. / PostgreSQL Global Development Group,"An online MPP (Massively Parallel Processing) data warehousing service based on,Greenplum",2016.0,,commercial,,yes,2016,,N,Y
Cloudflare Workers KV,303.0,322.0,294.0,Key-value,0.49,+0.10,+0.31,https://db-engines.com/en/system/Cloudflare+Workers+KV,,Cloudflare,"A global, low-latency,,key-value store,for applications on Cloudflare with exceptionally high read volumes and low-latency.",2018.0,,commercial,,yes,2018,,N,Y
