Rank_Oct-2025,Rank_Sep-2025,Rank_Oct-2024,DBMS,Database Model,Score_Oct-2025,Score_Sep-2025,Score_Oct-2024,DBMS_insitelink,Multi_model_info
100.,101.,89.,OrientDB,Multi-model,2.62,+0.03,-0.41,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
101.,99.,113.,Coveo,Search engine,2.55,-0.11,+0.30,https://db-engines.com/en/system/Coveo,
102.,105.,91.,Apache Jena - TDB,RDF,2.53,+0.02,-0.47,https://db-engines.com/en/system/Apache+Jena+-+TDB,
103.,100.,106.,SAP IQ,Relational,2.50,-0.12,-0.03,https://db-engines.com/en/system/SAP+IQ,
104.,108.,100.,RavenDB,"Document, Multi-model",2.49,+0.07,-0.20,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
105.,104.,126.,NebulaGraph,Graph,2.45,-0.08,+0.58,https://db-engines.com/en/system/NebulaGraph,
106.,110.,125.,Chroma,Vector,2.42,+0.06,+0.55,https://db-engines.com/en/system/Chroma,
107.,109.,105.,RethinkDB,"Document, Multi-model",2.35,-0.05,-0.21,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
108.,102.,82.,Apache Accumulo,Wide column,2.35,-0.20,-0.96,https://db-engines.com/en/system/Apache+Accumulo,
109.,111.,98.,GraphDB,Multi-model,2.30,-0.05,-0.47,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
110.,107.,115.,Amazon Neptune,Multi-model,2.26,-0.16,+0.09,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
111.,106.,96.,Memgraph,Graph,2.26,-0.18,-0.56,https://db-engines.com/en/system/Memgraph,
112.,112.,94.,InterSystems IRIS,Multi-model,2.20,-0.07,-0.69,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
113.,114.,117.,Citus,"Relational, Multi-model",2.19,-0.02,+0.14,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
114.,113.,109.,"UniData,UniVerse",Multivalue,2.14,-0.12,-0.30,https://db-engines.com/en/system/UniData%2CUniVerse,
115.,115.,120.,Apache Phoenix,Relational,2.13,-0.05,+0.21,https://db-engines.com/en/system/Apache+Phoenix,
116.,116.,108.,YugabyteDB,"Relational, Multi-model",2.13,+0.01,-0.33,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
117.,117.,118.,Percona Server for MySQL,Relational,2.07,-0.05,+0.03,https://db-engines.com/en/system/Percona+Server+for+MySQL,
118.,125.,102.,DolphinDB,Multi-model,2.06,+0.12,-0.60,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Vector DBMS,Relational DBMS"
119.,119.,112.,4D,Relational,2.03,-0.04,-0.23,https://db-engines.com/en/system/4D,
120.,122.,123.,GridDB,"Time Series, Multi-model",2.01,+0.00,+0.10,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
121.,118.,110.,LevelDB,Key-value,2.00,-0.10,-0.39,https://db-engines.com/en/system/LevelDB,
122.,121.,121.,LMDB,Key-value,1.95,-0.06,+0.03,https://db-engines.com/en/system/LMDB,
123.,120.,111.,Infinispan,Key-value,1.94,-0.10,-0.38,https://db-engines.com/en/system/Infinispan,
124.,150.,209.,Alibaba Cloud PolarDB,Relational,1.93,+0.39,+1.12,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,
125.,124.,124.,Amazon DocumentDB,Document,1.91,-0.05,+0.03,https://db-engines.com/en/system/Amazon+DocumentDB,
126.,123.,114.,PouchDB,Document,1.90,-0.07,-0.28,https://db-engines.com/en/system/PouchDB,
127.,127.,129.,CloudKit,Document,1.88,-0.04,+0.03,https://db-engines.com/en/system/CloudKit,
128.,126.,132.,Amazon CloudSearch,Search engine,1.87,-0.06,+0.04,https://db-engines.com/en/system/Amazon+CloudSearch,
129.,129.,116.,MaxDB,Relational,1.86,0.00,-0.27,https://db-engines.com/en/system/MaxDB,
130.,130.,134.,JanusGraph,Graph,1.81,-0.05,+0.02,https://db-engines.com/en/system/JanusGraph,
131.,137.,,Valkey,Key-value,1.80,+0.06,,https://db-engines.com/en/system/Valkey,
132.,128.,128.,Apache Drill,Multi-model,1.79,-0.07,-0.07,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
133.,133.,150.,TigerGraph,Graph,1.77,-0.04,+0.31,https://db-engines.com/en/system/TigerGraph,
134.,132.,133.,EDB Postgres,"Relational, Multi-model",1.75,-0.06,-0.05,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
135.,134.,130.,Oracle Coherence,Key-value,1.75,-0.04,-0.09,https://db-engines.com/en/system/Oracle+Coherence,
136.,136.,122.,Stardog,Multi-model,1.73,-0.02,-0.18,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
137.,131.,107.,TDengine,"Time Series, Multi-model",1.73,-0.09,-0.74,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
