Rank_Dec-2025,Rank_Nov-2025,Rank_Dec-2024,DBMS,Database Model,Score_Dec-2025,Score_Nov-2025,Score_Dec-2024,DBMS_insitelink,Multi_model_info
202.,208.,208.,ZODB,Key-value,0.84,+0.07,+0.03,https://db-engines.com/en/system/ZODB,
203.,198.,150.,Firebolt,Relational,0.83,-0.07,-0.57,https://db-engines.com/en/system/Firebolt,
204.,202.,201.,Alibaba Cloud AnalyticDB for MySQL,"Relational, Multi-model",0.82,-0.04,-0.05,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store"
205.,204.,220.,SciDB,Multivalue,0.81,-0.01,+0.10,https://db-engines.com/en/system/SciDB,
206.,203.,206.,Altibase,Relational,0.79,-0.04,-0.03,https://db-engines.com/en/system/Altibase,
207.,211.,213.,Dolt,"Relational, Multi-model",0.78,+0.04,+0.02,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store"
208.,206.,215.,GeoMesa,Spatial,0.78,+0.00,+0.04,https://db-engines.com/en/system/GeoMesa,
209.,220.,275.,Apache Sedona,Spatial,0.77,+0.07,+0.43,https://db-engines.com/en/system/Apache+Sedona,
210.,209.,205.,NuoDB,Relational,0.76,+0.00,-0.07,https://db-engines.com/en/system/NuoDB,
211.,207.,222.,Xapian,Search engine,0.76,-0.02,+0.05,https://db-engines.com/en/system/Xapian,
212.,210.,214.,Blazegraph,Multi-model,0.75,-0.01,+0.00,https://db-engines.com/en/system/Blazegraph,"Graph DBMS,RDF store"
213.,212.,204.,Infobright,Relational,0.75,+0.01,-0.09,https://db-engines.com/en/system/Infobright,
214.,214.,216.,AllegroGraph,Multi-model,0.73,+0.00,0.00,https://db-engines.com/en/system/AllegroGraph,"Document store,Graph DBMS,RDF store,Vector DBMS,Spatial DBMS"
215.,216.,212.,Yellowbrick,Relational,0.72,+0.00,-0.06,https://db-engines.com/en/system/Yellowbrick,
216.,218.,181.,MatrixOne,Relational,0.72,+0.02,-0.32,https://db-engines.com/en/system/MatrixOne,
217.,213.,209.,BigchainDB,Document,0.72,-0.02,-0.08,https://db-engines.com/en/system/BigchainDB,
218.,217.,210.,Model 204,Multivalue,0.71,+0.00,-0.08,https://db-engines.com/en/system/Model+204,
219.,221.,199.,IDMS,Navigational,0.71,+0.01,-0.19,https://db-engines.com/en/system/IDMS,
220.,215.,218.,Alibaba Cloud AnalyticDB for PostgreSQL,Relational,0.68,-0.04,-0.05,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,
221.,227.,202.,RDF4J,RDF,0.68,+0.03,-0.18,https://db-engines.com/en/system/RDF4J,
222.,222.,223.,KeyDB,Key-value,0.68,0.00,+0.00,https://db-engines.com/en/system/KeyDB,
223.,224.,219.,eXist-db,Native XML,0.67,+0.01,-0.06,https://db-engines.com/en/system/eXist-db,
224.,226.,271.,Apache Pinot,Relational,0.66,+0.00,+0.30,https://db-engines.com/en/system/Apache+Pinot,
225.,219.,185.,eXtremeDB,"Time Series, Multi-model",0.66,-0.05,-0.34,https://db-engines.com/en/system/eXtremeDB,"Time Series DBMS,Relational DBMS"
226.,232.,203.,Sedna,Native XML,0.65,+0.04,-0.21,https://db-engines.com/en/system/Sedna,
227.,228.,221.,Actian Vector,Relational,0.64,0.00,-0.08,https://db-engines.com/en/system/Actian+Vector,
228.,230.,217.,Datacom/DB,Relational,0.63,+0.01,-0.10,https://db-engines.com/en/system/Datacom%2FDB,
229.,225.,235.,RisingWave,Relational,0.63,-0.03,+0.02,https://db-engines.com/en/system/RisingWave,
230.,223.,263.,Alibaba Cloud Log Service,Search engine,0.63,-0.04,+0.22,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,
231.,229.,234.,TypeDB,Multi-model,0.63,0.00,+0.01,https://db-engines.com/en/system/TypeDB,"Graph DBMS,Object oriented DBMS,Relational DBMS"
232.,234.,230.,DBISAM,Relational,0.62,+0.03,-0.01,https://db-engines.com/en/system/DBISAM,
234.,231.,224.,CrateDB,Multi-model,0.61,-0.01,-0.04,https://db-engines.com/en/system/CrateDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Relational DBMS"
235.,233.,231.,Objectivity/DB,Object oriented,0.61,+0.02,-0.02,https://db-engines.com/en/system/Objectivity%2FDB,
236.,236.,233.,1010data,Relational,0.58,+0.01,-0.04,https://db-engines.com/en/system/1010data,
237.,235.,228.,BoltDB,Key-value,0.58,+0.00,-0.05,https://db-engines.com/en/system/BoltDB,
238.,237.,227.,SQream DB,Relational,0.58,+0.01,-0.05,https://db-engines.com/en/system/SQream+DB,
239.,239.,229.,solidDB,Relational,0.56,+0.00,-0.06,https://db-engines.com/en/system/solidDB,
240.,238.,239.,R:BASE,Relational,0.56,0.00,-0.01,https://db-engines.com/en/system/R%3ABASE,
241.,243.,238.,Graph Engine,Multi-model,0.56,+0.03,-0.02,https://db-engines.com/en/system/Graph+Engine,"Graph DBMS,Key-value store"
242.,240.,236.,FrontBase,Relational,0.55,-0.01,-0.04,https://db-engines.com/en/system/FrontBase,
243.,245.,245.,Dragonfly,Key-value,0.54,+0.01,+0.02,https://db-engines.com/en/system/Dragonfly,
244.,244.,232.,KairosDB,Time Series,0.54,+0.01,-0.08,https://db-engines.com/en/system/KairosDB,
245.,241.,226.,ObjectDB,Object oriented,0.54,-0.02,-0.09,https://db-engines.com/en/system/ObjectDB,
246.,242.,242.,Splice Machine,Relational,0.53,+0.00,0.00,https://db-engines.com/en/system/Splice+Machine,
247.,253.,256.,Perst,Object oriented,0.53,+0.07,+0.11,https://db-engines.com/en/system/Perst,
248.,247.,259.,ITTIA,"Time Series, Multi-model",0.51,+0.01,+0.09,https://db-engines.com/en/system/ITTIA,"Time Series DBMS,Relational DBMS"
249.,248.,249.,Percona Server for MongoDB,Document,0.50,0.00,+0.01,https://db-engines.com/en/system/Percona+Server+for+MongoDB,
250.,249.,254.,Kinetica,"Relational, Multi-model",0.49,-0.01,+0.03,https://db-engines.com/en/system/Kinetica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
251.,246.,250.,Apache Doris,Relational,0.49,-0.04,+0.00,https://db-engines.com/en/system/Apache+Doris,
252.,251.,243.,NexusDB,Relational,0.48,+0.01,-0.05,https://db-engines.com/en/system/NexusDB,
253.,250.,241.,Harper,Document,0.46,-0.03,-0.08,https://db-engines.com/en/system/Harper,
254.,257.,251.,atoti,Object oriented,0.45,+0.01,-0.02,https://db-engines.com/en/system/atoti,
255.,255.,246.,MapDB,Key-value,0.44,-0.01,-0.07,https://db-engines.com/en/system/MapDB,
256.,252.,317.,RaptorDB,Document,0.44,-0.03,+0.26,https://db-engines.com/en/system/RaptorDB,
257.,263.,244.,Kingbase,"Relational, Multi-model",0.43,+0.02,-0.09,https://db-engines.com/en/system/Kingbase,"Relational DBMS,Document store,Spatial DBMS"
258.,261.,253.,VistaDB,Relational,0.43,+0.01,-0.03,https://db-engines.com/en/system/VistaDB,
259.,260.,252.,Scalaris,Key-value,0.42,+0.00,-0.04,https://db-engines.com/en/system/Scalaris,
260.,254.,258.,Kyligence Enterprise,Relational,0.42,-0.03,+0.00,https://db-engines.com/en/system/Kyligence+Enterprise,
261.,259.,257.,Hibari,Key-value,0.42,-0.01,0.00,https://db-engines.com/en/system/Hibari,
262.,258.,240.,WebSphere eXtreme Scale,Key-value,0.42,-0.02,-0.15,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,
263.,262.,269.,YDB,Multi-model,0.41,+0.00,+0.04,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS"
264.,256.,280.,Deep Lake,Vector,0.41,-0.03,+0.10,https://db-engines.com/en/system/Deep+Lake,
265.,264.,248.,GemStone/S,Object oriented,0.40,0.00,-0.08,https://db-engines.com/en/system/GemStone%2FS,
266.,267.,262.,ScaleArc,Relational,0.40,+0.00,-0.01,https://db-engines.com/en/system/ScaleArc,
267.,265.,284.,Elassandra,"Wide column, Multi-model",0.39,0.00,+0.10,https://db-engines.com/en/system/Elassandra,"Wide column store,Search engine"
268.,271.,288.,Cloudflare Workers KV,Key-value,0.39,+0.03,+0.10,https://db-engines.com/en/system/Cloudflare+Workers+KV,
269.,270.,266.,OpenInsight,Multivalue,0.39,+0.00,+0.00,https://db-engines.com/en/system/OpenInsight,
270.,274.,296.,Alibaba Cloud TSDB,Time Series,0.38,+0.04,+0.12,https://db-engines.com/en/system/Alibaba+Cloud+TSDB,
271.,266.,276.,Marqo,Search engine,0.38,-0.02,+0.05,https://db-engines.com/en/system/Marqo,
272.,268.,278.,CnosDB,Time Series,0.37,-0.02,+0.05,https://db-engines.com/en/system/CnosDB,
273.,269.,279.,SearchBlox,Search engine,0.37,-0.02,+0.05,https://db-engines.com/en/system/SearchBlox,
274.,273.,247.,SQL.JS,Relational,0.36,+0.01,-0.14,https://db-engines.com/en/system/SQL.JS,
275.,276.,267.,LokiJS,Document,0.35,+0.01,-0.03,https://db-engines.com/en/system/LokiJS,
276.,277.,264.,Rasdaman,Multivalue,0.35,+0.01,-0.05,https://db-engines.com/en/system/Rasdaman,
277.,275.,277.,Comdb2,Relational,0.35,+0.00,+0.02,https://db-engines.com/en/system/Comdb2,
278.,272.,260.,AlaSQL,Multi-model,0.34,-0.02,-0.07,https://db-engines.com/en/system/AlaSQL,"Document store,Relational DBMS"
279.,278.,281.,Fluree,Graph,0.33,0.00,+0.02,https://db-engines.com/en/system/Fluree,
280.,279.,265.,Sequoiadb,Multi-model,0.33,+0.00,-0.07,https://db-engines.com/en/system/Sequoiadb,"Document store,Relational DBMS"
281.,280.,237.,Northgate Reality,Multivalue,0.32,+0.01,-0.27,https://db-engines.com/en/system/Northgate+Reality,
282.,282.,261.,Postgres-XL,"Relational, Multi-model",0.30,+0.02,-0.11,https://db-engines.com/en/system/Postgres-XL,"Relational DBMS,Document store,Spatial DBMS"
283.,281.,294.,Databend,Relational,0.30,+0.00,+0.02,https://db-engines.com/en/system/Databend,
284.,285.,274.,Strabon,RDF,0.29,+0.01,-0.06,https://db-engines.com/en/system/Strabon,
285.,283.,286.,Starcounter,Object oriented,0.28,+0.00,-0.01,https://db-engines.com/en/system/Starcounter,
286.,286.,268.,ModeShape,Content,0.28,+0.01,-0.10,https://db-engines.com/en/system/ModeShape,
287.,287.,289.,InfiniteGraph,Graph,0.27,+0.01,-0.01,https://db-engines.com/en/system/InfiniteGraph,
288.,290.,304.,FeatureBase,Relational,0.27,+0.02,+0.05,https://db-engines.com/en/system/FeatureBase,
289.,289.,285.,Project Voldemort,Key-value,0.26,+0.01,-0.03,https://db-engines.com/en/system/Project+Voldemort,
290.,288.,282.,Vald,Vector,0.26,+0.00,-0.04,https://db-engines.com/en/system/Vald,
291.,284.,315.,Valentina Server,Relational,0.26,-0.03,+0.08,https://db-engines.com/en/system/Valentina+Server,
292.,296.,307.,Actian PSQL,Relational,0.25,+0.01,+0.03,https://db-engines.com/en/system/Actian+PSQL,
293.,293.,303.,Manticore Search,"Search engine, Multi-model",0.25,+0.01,+0.02,https://db-engines.com/en/system/Manticore+Search,"Search engine,Time Series DBMS"
294.,300.,308.,Mimer SQL,Relational,0.25,+0.02,+0.04,https://db-engines.com/en/system/Mimer+SQL,
295.,292.,287.,Brytlyt,Relational,0.25,+0.00,-0.04,https://db-engines.com/en/system/Brytlyt,
296.,294.,298.,RDFox,Multi-model,0.24,0.00,0.00,https://db-engines.com/en/system/RDFox,"Graph DBMS,RDF store,Relational DBMS"
297.,297.,290.,PieCloudDB,Relational,0.23,0.00,-0.05,https://db-engines.com/en/system/PieCloudDB,
298.,298.,311.,RedStore,RDF,0.23,+0.00,+0.03,https://db-engines.com/en/system/RedStore,
299.,303.,255.,4store,RDF,0.23,+0.01,-0.20,https://db-engines.com/en/system/4store,
300.,291.,270.,Raima Database Manager,Multi-model,0.23,-0.02,-0.14,https://db-engines.com/en/system/Raima+Database+Manager,"Relational DBMS,Time Series DBMS"
301.,295.,291.,Fujitsu Enterprise Postgres,"Relational, Multi-model",0.23,-0.01,-0.05,https://db-engines.com/en/system/Fujitsu+Enterprise+Postgres,"Relational DBMS,Document store,Spatial DBMS"
302.,304.,325.,YTsaurus,Multi-model,0.22,0.00,+0.06,https://db-engines.com/en/system/YTsaurus,"Document store,Key-value store"
303.,302.,302.,AnzoGraph DB,Multi-model,0.22,0.00,-0.01,https://db-engines.com/en/system/AnzoGraph+DB,"Graph DBMS,RDF store"
304.,301.,343.,FalkorDB,Graph,0.22,-0.01,+0.13,https://db-engines.com/en/system/FalkorDB,
305.,309.,283.,LeanXcale,Multi-model,0.22,+0.01,-0.08,https://db-engines.com/en/system/LeanXcale,"Key-value store,Relational DBMS"
306.,306.,306.,Actian FastObjects,Object oriented,0.22,+0.00,-0.01,https://db-engines.com/en/system/Actian+FastObjects,
307.,308.,312.,Faircom DB,Multi-model,0.21,+0.00,+0.02,https://db-engines.com/en/system/Faircom+DB,"Key-value store,Relational DBMS"
308.,310.,321.,XTDB,Document,0.21,+0.00,+0.04,https://db-engines.com/en/system/XTDB,
309.,305.,297.,MyScale,Multi-model,0.21,-0.01,-0.06,https://db-engines.com/en/system/MyScale,"Relational DBMS,Vector DBMS"
310.,311.,328.,NEventStore,Event,0.20,0.00,+0.05,https://db-engines.com/en/system/NEventStore,
311.,312.,314.,Tibco ComputeDB,Relational,0.19,-0.01,+0.01,https://db-engines.com/en/system/Tibco+ComputeDB,
312.,317.,293.,Redland,RDF,0.19,+0.01,-0.09,https://db-engines.com/en/system/Redland,
313.,307.,292.,OpenQM,Multivalue,0.18,-0.02,-0.09,https://db-engines.com/en/system/OpenQM,
314.,316.,310.,PipelineDB,Relational,0.18,+0.01,-0.02,https://db-engines.com/en/system/PipelineDB,
315.,319.,364.,ArcadeDB,Multi-model,0.18,+0.01,+0.14,https://db-engines.com/en/system/ArcadeDB,"Document store,Graph DBMS,Key-value store,Time Series DBMS"
316.,313.,301.,YottaDB,"Key-value, Multi-model",0.18,+0.00,-0.05,https://db-engines.com/en/system/YottaDB,"Key-value store,Relational DBMS"
317.,314.,305.,Axibase,Time Series,0.18,+0.00,-0.05,https://db-engines.com/en/system/Axibase,
318.,315.,318.,TransLattice,Relational,0.18,+0.00,+0.00,https://db-engines.com/en/system/TransLattice,
319.,318.,355.,Warp 10,Time Series,0.17,+0.00,+0.11,https://db-engines.com/en/system/Warp+10,
320.,299.,272.,Tajo,Relational,0.17,-0.06,-0.18,https://db-engines.com/en/system/Tajo,
321.,321.,273.,Immudb,"Key-value, Multi-model",0.17,+0.00,-0.18,https://db-engines.com/en/system/Immudb,"Key-value store,Relational DBMS"
322.,320.,313.,IBM Db2 Event Store,Multi-model,0.16,-0.01,-0.03,https://db-engines.com/en/system/IBM+Db2+Event+Store,"Event Store,Time Series DBMS"
323.,325.,337.,Kyoto Tycoon,Key-value,0.16,+0.01,+0.04,https://db-engines.com/en/system/Kyoto+Tycoon,
324.,323.,333.,BigObject,Relational,0.15,+0.00,+0.02,https://db-engines.com/en/system/BigObject,
325.,324.,330.,XtremeData,Relational,0.15,+0.00,+0.01,https://db-engines.com/en/system/XtremeData,
326.,322.,332.,Quasardb,Time Series,0.14,-0.01,+0.01,https://db-engines.com/en/system/Quasardb,
327.,327.,324.,EsgynDB,Relational,0.14,+0.00,-0.02,https://db-engines.com/en/system/EsgynDB,
328.,333.,340.,Tokyo Tyrant,Key-value,0.14,+0.02,+0.05,https://db-engines.com/en/system/Tokyo+Tyrant,
329.,326.,319.,Riak TS,Time Series,0.14,0.00,-0.03,https://db-engines.com/en/system/Riak+TS,
330.,328.,329.,ElevateDB,Relational,0.14,+0.00,0.00,https://db-engines.com/en/system/ElevateDB,
332.,332.,339.,Mulgara,RDF,0.13,+0.00,+0.02,https://db-engines.com/en/system/Mulgara,
333.,351.,349.,CubicWeb,RDF,0.13,+0.06,+0.05,https://db-engines.com/en/system/CubicWeb,
334.,329.,295.,Apache HugeGraph,Graph,0.13,-0.01,-0.14,https://db-engines.com/en/system/Apache+HugeGraph,
335.,336.,323.,AgensGraph,Multi-model,0.13,+0.01,-0.04,https://db-engines.com/en/system/AgensGraph,"Graph DBMS,Relational DBMS"
336.,337.,322.,HyperGraphDB,Graph,0.12,+0.01,-0.04,https://db-engines.com/en/system/HyperGraphDB,
337.,331.,309.,Alibaba Cloud Table Store,Wide column,0.12,-0.01,-0.08,https://db-engines.com/en/system/Alibaba+Cloud+Table+Store,
338.,335.,335.,Ultipa,Graph,0.12,+0.00,0.00,https://db-engines.com/en/system/Ultipa,
339.,334.,320.,FlockDB,Graph,0.12,0.00,-0.05,https://db-engines.com/en/system/FlockDB,
340.,338.,338.,GraphBase,Graph,0.12,+0.00,+0.01,https://db-engines.com/en/system/GraphBase,
341.,340.,300.,Badger,Key-value,0.11,+0.01,-0.13,https://db-engines.com/en/system/Badger,
342.,341.,334.,GreptimeDB,Multi-model,0.10,+0.00,-0.02,https://db-engines.com/en/system/GreptimeDB,"Time Series, Observability,Time Series DBMS"
343.,339.,,VictoriaLogs,Search engine,0.10,-0.01,,https://db-engines.com/en/system/VictoriaLogs,
344.,343.,327.,TerminusDB,"Graph, Multi-model",0.10,+0.00,-0.05,https://db-engines.com/en/system/TerminusDB,"Graph DBMS,Document store,RDF store"
345.,342.,341.,Sparksee,Graph,0.10,+0.00,+0.00,https://db-engines.com/en/system/Sparksee,
346.,345.,299.,Lovefield,Relational,0.10,+0.01,-0.14,https://db-engines.com/en/system/Lovefield,
347.,344.,326.,Speedb,Key-value,0.10,+0.01,-0.06,https://db-engines.com/en/system/Speedb,
349.,346.,345.,chDB,"Relational, Multi-model",0.08,+0.00,+0.00,https://db-engines.com/en/system/chDB,"Relational DBMS,Time Series DBMS"
350.,356.,392.,Linter,"Relational, Multi-model",0.08,+0.03,+0.08,https://db-engines.com/en/system/Linter,"Relational DBMS,Spatial DBMS"
351.,348.,352.,Exorbyte,Search engine,0.08,+0.00,+0.01,https://db-engines.com/en/system/Exorbyte,
352.,347.,344.,Bangdb,Multi-model,0.08,0.00,-0.01,https://db-engines.com/en/system/Bangdb,"Document store,Graph DBMS,Time Series DBMS,Spatial DBMS"
353.,349.,354.,SiteWhere,Time Series,0.07,+0.00,+0.01,https://db-engines.com/en/system/SiteWhere,
354.,350.,357.,ScaleOut StateServer,Key-value,0.07,+0.00,+0.01,https://db-engines.com/en/system/ScaleOut+StateServer,
355.,352.,331.,EJDB,Document,0.07,+0.01,-0.07,https://db-engines.com/en/system/EJDB,
356.,353.,356.,Blueflood,Time Series,0.06,+0.00,0.00,https://db-engines.com/en/system/Blueflood,
356.,353.,359.,Elliptics,Key-value,0.06,+0.00,+0.01,https://db-engines.com/en/system/Elliptics,
358.,355.,358.,SenseiDB,Document,0.05,+0.00,0.00,https://db-engines.com/en/system/SenseiDB,
359.,357.,374.,Kuzu,Graph,0.04,0.00,+0.03,https://db-engines.com/en/system/Kuzu,
360.,372.,392.,OrigoDB,Multi-model,0.04,+0.02,+0.04,https://db-engines.com/en/system/OrigoDB,"Document store,Object oriented DBMS"
361.,360.,342.,Machbase Neo,Time Series,0.04,+0.00,-0.05,https://db-engines.com/en/system/Machbase+Neo,
361.,360.,363.,NosDB,Document,0.04,+0.00,0.00,https://db-engines.com/en/system/NosDB,
361.,360.,367.,STSdb,Key-value,0.04,+0.00,+0.01,https://db-engines.com/en/system/STSdb,
364.,363.,366.,WakandaDB,Object oriented,0.03,+0.00,0.00,https://db-engines.com/en/system/WakandaDB,
365.,370.,392.,Sadas Engine,Relational,0.03,+0.01,+0.03,https://db-engines.com/en/system/Sadas+Engine,
366.,368.,392.,Indica,Search engine,0.03,+0.01,+0.03,https://db-engines.com/en/system/Indica,
367.,358.,316.,Jade,Object oriented,0.03,-0.01,-0.15,https://db-engines.com/en/system/Jade,
368.,365.,367.,JethroData,Relational,0.03,+0.00,0.00,https://db-engines.com/en/system/JethroData,
369.,364.,380.,Resin Cache,Key-value,0.03,0.00,+0.01,https://db-engines.com/en/system/Resin+Cache,
370.,366.,346.,TinkerGraph,Graph,0.02,0.00,-0.06,https://db-engines.com/en/system/TinkerGraph,
371.,367.,336.,Heroic,Time Series,0.02,+0.00,-0.09,https://db-engines.com/en/system/Heroic,
372.,375.,384.,Faircom EDGE,Multi-model,0.02,+0.00,+0.01,https://db-engines.com/en/system/Faircom+EDGE,"Key-value store,Relational DBMS"
373.,369.,381.,Hawkular Metrics,Time Series,0.02,+0.00,+0.01,https://db-engines.com/en/system/Hawkular+Metrics,
374.,371.,347.,OpenMLDB,"Time Series, Multi-model",0.02,+0.00,-0.06,https://db-engines.com/en/system/OpenMLDB,"Time Series DBMS,Relational DBMS"
375.,372.,385.,Dydra,RDF,0.02,+0.00,+0.01,https://db-engines.com/en/system/Dydra,
376.,374.,373.,SmallSQL,Relational,0.02,+0.00,0.00,https://db-engines.com/en/system/SmallSQL,
377.,376.,377.,SparkleDB,RDF,0.02,0.00,0.00,https://db-engines.com/en/system/SparkleDB,
378.,377.,379.,Acebase,Document,0.01,+0.00,0.00,https://db-engines.com/en/system/Acebase,
379.,385.,348.,AntDB,Relational,0.01,+0.01,-0.06,https://db-engines.com/en/system/AntDB,
380.,378.,382.,SWC-DB,"Wide column, Multi-model",0.01,+0.00,0.00,https://db-engines.com/en/system/SWC-DB,"Wide column store,Time Series DBMS"
381.,379.,362.,gStore,Multi-model,0.01,0.00,-0.03,https://db-engines.com/en/system/gStore,"Graph DBMS,RDF store"
382.,380.,385.,Eloquera,Object oriented,0.01,+0.00,0.00,https://db-engines.com/en/system/Eloquera,
383.,381.,351.,OushuDB,Relational,0.00,+0.00,-0.06,https://db-engines.com/en/system/OushuDB,
384.,382.,388.,Siaqodb,Object oriented,0.00,+0.00,+0.00,https://db-engines.com/en/system/Siaqodb,
385.,383.,390.,LedisDB,Key-value,0.00,+0.00,+0.00,https://db-engines.com/en/system/LedisDB,
386.,384.,391.,SwayDB,Key-value,0.00,+0.00,+0.00,https://db-engines.com/en/system/SwayDB,
387.,385.,392.,ActorDB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/ActorDB,
387.,385.,392.,BergDB,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/BergDB,
387.,385.,392.,BrightstarDB,RDF,0.00,±0.00,±0.00,https://db-engines.com/en/system/BrightstarDB,
387.,385.,392.,Cachelot.io,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/Cachelot.io,
387.,385.,392.,CortexDB,Multi-model,0.00,±0.00,±0.00,https://db-engines.com/en/system/CortexDB,"Document store,Key-value store"
387.,385.,392.,CovenantSQL,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/CovenantSQL,
387.,385.,392.,DaggerDB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/DaggerDB,
387.,385.,392.,DataFS,"Object oriented, Multi-model",0.00,±0.00,±0.00,https://db-engines.com/en/system/DataFS,"Object oriented DBMS,Graph DBMS"
387.,385.,,Diana DB,NoSQL,0.00,±0.00,,https://db-engines.com/en/system/Diana+DB,
387.,385.,392.,Edge Intelligence,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/Edge+Intelligence,
387.,385.,392.,EdgelessDB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/EdgelessDB,
387.,385.,392.,Galaxybase,Graph,0.00,±0.00,±0.00,https://db-engines.com/en/system/Galaxybase,
387.,385.,389.,H2GIS,"Spatial, Multi-model",0.00,±0.00,0.00,https://db-engines.com/en/system/H2GIS,"Spatial DBMS,Relational DBMS"
387.,385.,392.,Helium,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/Helium,
387.,385.,392.,HGraphDB,Graph,0.00,±0.00,±0.00,https://db-engines.com/en/system/HGraphDB,
387.,385.,392.,HyperLevelDB,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/HyperLevelDB,
387.,385.,392.,iBoxDB,Document,0.00,±0.00,±0.00,https://db-engines.com/en/system/iBoxDB,
387.,385.,387.,InfinityDB,Key-value,0.00,±0.00,-0.01,https://db-engines.com/en/system/InfinityDB,
387.,385.,365.,JaguarDB,Multi-model,0.00,±0.00,-0.03,https://db-engines.com/en/system/JaguarDB,"Key-value store,Vector DBMS"
387.,385.,392.,JasDB,Document,0.00,±0.00,±0.00,https://db-engines.com/en/system/JasDB,
387.,385.,392.,K-DB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/K-DB,
387.,385.,372.,Newts,Time Series,0.00,±0.00,-0.02,https://db-engines.com/en/system/Newts,
387.,385.,392.,NSDb,Time Series,0.00,±0.00,±0.00,https://db-engines.com/en/system/NSDb,
387.,385.,376.,openGemini,Time Series,0.00,±0.00,-0.02,https://db-engines.com/en/system/openGemini,
387.,385.,392.,OpenTenBase,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/OpenTenBase,
387.,385.,371.,ReductStore,Time Series,0.00,±0.00,-0.02,https://db-engines.com/en/system/ReductStore,
387.,385.,392.,Rizhiyi,"Search engine, Multi-model",0.00,±0.00,±0.00,https://db-engines.com/en/system/Rizhiyi,"Search engine,Time Series DBMS"
387.,385.,392.,searchxml,Multi-model,0.00,±0.00,±0.00,https://db-engines.com/en/system/searchxml,"Native XML DBMS,Search engine"
387.,385.,361.,SiriDB,Time Series,0.00,±0.00,-0.04,https://db-engines.com/en/system/SiriDB,
387.,385.,353.,Skytable,Key-value,0.00,±0.00,-0.06,https://db-engines.com/en/system/Skytable,
387.,385.,392.,SpaceTime,"Spatial, Multi-model",0.00,±0.00,±0.00,https://db-engines.com/en/system/SpaceTime,"Spatial DBMS,Relational DBMS"
387.,385.,392.,SvectorDB,Vector,0.00,±0.00,±0.00,https://db-engines.com/en/system/SvectorDB,
387.,385.,378.,TerarkDB,Key-value,0.00,±0.00,-0.02,https://db-engines.com/en/system/TerarkDB,
387.,359.,360.,Tigris,Multi-model,0.00,-0.04,-0.05,https://db-engines.com/en/system/Tigris,"Document store,Key-value store,Search engine,Time Series DBMS"
387.,385.,392.,Tkrzw,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/Tkrzw,
387.,385.,392.,TomP2P,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/TomP2P,
387.,385.,350.,Transbase,Relational,0.00,±0.00,-0.07,https://db-engines.com/en/system/Transbase,
387.,385.,369.,Transwarp ArgoDB,"Relational, Multi-model",0.00,±0.00,-0.03,https://db-engines.com/en/system/Transwarp+ArgoDB,"Relational DBMS,Search engine"
387.,385.,383.,Transwarp Hippo,Vector,0.00,±0.00,-0.01,https://db-engines.com/en/system/Transwarp+Hippo,
387.,385.,375.,Transwarp KunDB,Relational,0.00,±0.00,-0.02,https://db-engines.com/en/system/Transwarp+KunDB,
387.,385.,392.,Transwarp StellarDB,Graph,0.00,±0.00,±0.00,https://db-engines.com/en/system/Transwarp+StellarDB,
387.,385.,392.,Upscaledb,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/Upscaledb,
387.,385.,370.,VelocityDB,Multi-model,0.00,±0.00,-0.03,https://db-engines.com/en/system/VelocityDB,"Graph DBMS,Object oriented DBMS"
387.,385.,392.,WhiteDB,Document,0.00,±0.00,±0.00,https://db-engines.com/en/system/WhiteDB,
