Rank_Oct-2023,Rank_Sep-2023,Rank_Oct-2022,DBMS,Database Model,Score_Oct-2023,Score_Sep-2023,Score_Oct-2022,DBMS_insitelink,Multi_model_info
209.,213.,171.,Amazon Timestream,Time Series,1.14,+0.02,-0.16,https://db-engines.com/en/system/Amazon+Timestream,
210.,193.,177.,Model 204,Multivalue,1.14,-0.21,-0.08,https://db-engines.com/en/system/Model+204,
211.,219.,220.,Amazon Keyspaces,Wide column,1.11,+0.07,+0.32,https://db-engines.com/en/system/Amazon+Keyspaces,
212.,200.,197.,IDMS,Navigational,1.10,-0.15,+0.09,https://db-engines.com/en/system/IDMS,
213.,222.,192.,Blazegraph,Multi-model,1.08,+0.06,-0.02,https://db-engines.com/en/system/Blazegraph,"Graph DBMS,RDF store"
214.,210.,232.,TDSQL for MySQL,"Relational, Multi-model",1.07,-0.09,+0.35,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
215.,226.,199.,RDF4J,RDF,1.06,+0.04,+0.06,https://db-engines.com/en/system/RDF4J,
216.,239.,300.,SurrealDB,Multi-model,1.05,+0.18,+0.78,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
217.,218.,230.,MapDB,Key-value,1.05,+0.01,+0.33,https://db-engines.com/en/system/MapDB,
218.,223.,190.,TypeDB,Multi-model,1.04,+0.03,-0.06,https://db-engines.com/en/system/TypeDB,"Graph DBMS,Relational DBMS"
219.,217.,222.,ObjectDB,Object oriented,1.03,-0.03,+0.24,https://db-engines.com/en/system/ObjectDB,
220.,220.,,StarRocks,Relational,1.02,-0.01,,https://db-engines.com/en/system/StarRocks,
221.,252.,226.,Rockset,"Document, Multi-model",0.99,+0.20,+0.24,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
222.,230.,186.,eXist-db,Native XML,0.98,-0.01,-0.17,https://db-engines.com/en/system/eXist-db,
223.,225.,204.,GeoMesa,Spatial DBMS,0.97,-0.04,+0.02,https://db-engines.com/en/system/GeoMesa,
224.,228.,216.,SciDB,Multivalue,0.97,-0.03,+0.15,https://db-engines.com/en/system/SciDB,
225.,209.,219.,WebSphere eXtreme Scale,Key-value,0.96,-0.22,+0.16,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,
226.,227.,231.,Datacom/DB,Relational,0.96,-0.04,+0.23,https://db-engines.com/en/system/Datacom%2FDB,
227.,246.,303.,Qdrant,Vector,0.95,+0.12,+0.70,https://db-engines.com/en/system/Qdrant,
228.,224.,209.,eXtremeDB,Multi-model,0.93,-0.09,+0.02,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS"
229.,229.,235.,ScaleArc,Relational,0.93,-0.07,+0.22,https://db-engines.com/en/system/ScaleArc,
230.,244.,198.,FrontBase,Relational,0.92,+0.07,-0.09,https://db-engines.com/en/system/FrontBase,
231.,233.,244.,OpenInsight,Multivalue,0.91,-0.03,+0.28,https://db-engines.com/en/system/OpenInsight,
232.,232.,213.,KairosDB,Time Series,0.90,-0.04,+0.05,https://db-engines.com/en/system/KairosDB,
233.,216.,229.,NexusDB,Relational,0.90,-0.16,+0.17,https://db-engines.com/en/system/NexusDB,
234.,250.,224.,SQream DB,Relational,0.89,+0.08,+0.11,https://db-engines.com/en/system/SQream+DB,
235.,249.,189.,CrateDB,Multi-model,0.86,+0.05,-0.27,https://db-engines.com/en/system/CrateDB,"Document store,Time Series DBMS,Relational DBMS,Search engine"
236.,251.,227.,AlaSQL,Multi-model,0.86,+0.05,+0.11,https://db-engines.com/en/system/AlaSQL,"Document store,Relational DBMS"
237.,238.,264.,Kinetica,"Relational, Multi-model",0.84,-0.04,+0.37,https://db-engines.com/en/system/Kinetica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
238.,235.,252.,Scalaris,Key-value,0.84,-0.04,+0.28,https://db-engines.com/en/system/Scalaris,
239.,241.,258.,Alibaba Cloud MaxCompute,Relational,0.83,-0.03,+0.32,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
240.,240.,214.,Yellowbrick,Relational,0.83,-0.04,0.00,https://db-engines.com/en/system/Yellowbrick,
241.,243.,234.,VistaDB,Relational,0.83,-0.03,+0.12,https://db-engines.com/en/system/VistaDB,
242.,234.,246.,atoti,Object oriented,0.83,-0.09,+0.21,https://db-engines.com/en/system/atoti,
243.,242.,,Vald,Vector,0.82,-0.05,,https://db-engines.com/en/system/Vald,
244.,253.,266.,Alibaba Cloud AnalyticDB for MySQL,"Relational, Multi-model",0.81,+0.02,+0.36,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store"
245.,237.,283.,Heroic,Time Series,0.80,-0.07,+0.45,https://db-engines.com/en/system/Heroic,
246.,261.,212.,Postgres-XL,"Relational, Multi-model",0.80,+0.09,-0.06,https://db-engines.com/en/system/Postgres-XL,"Relational DBMS,Document store,Spatial DBMS"
247.,260.,247.,Apache Doris,Relational,0.79,+0.08,+0.21,https://db-engines.com/en/system/Apache+Doris,
248.,247.,233.,GemStone/S,Object oriented,0.79,-0.03,+0.07,https://db-engines.com/en/system/GemStone%2FS,
249.,255.,221.,Objectivity/DB,Object oriented,0.79,+0.01,+0.00,https://db-engines.com/en/system/Objectivity%2FDB,
250.,258.,249.,KeyDB,Key-value,0.79,+0.04,+0.21,https://db-engines.com/en/system/KeyDB,
251.,,,RisingWave,Relational,0.79,,,https://db-engines.com/en/system/RisingWave,
252.,254.,180.,Graph Engine,Multi-model,0.78,-0.01,-0.43,https://db-engines.com/en/system/Graph+Engine,"Graph DBMS,Key-value store"
253.,263.,211.,R:BASE,Relational,0.76,+0.07,-0.12,https://db-engines.com/en/system/R%3ABASE,
254.,256.,317.,Typesense,Search engine,0.76,0.00,+0.55,https://db-engines.com/en/system/Typesense,
255.,259.,250.,Apache Pinot,Relational,0.75,+0.02,+0.18,https://db-engines.com/en/system/Apache+Pinot,
256.,236.,194.,Splice Machine,Relational,0.75,-0.13,-0.34,https://db-engines.com/en/system/Splice+Machine,
257.,257.,263.,ModeShape,Content,0.74,-0.01,+0.26,https://db-engines.com/en/system/ModeShape,
258.,248.,240.,LokiJS,Document,0.73,-0.10,+0.06,https://db-engines.com/en/system/LokiJS,
259.,245.,217.,BoltDB,Key-value,0.70,-0.14,-0.11,https://db-engines.com/en/system/BoltDB,
260.,271.,251.,HarperDB,Document,0.67,+0.03,+0.11,https://db-engines.com/en/system/HarperDB,
261.,269.,278.,Strabon,RDF,0.66,+0.01,+0.27,https://db-engines.com/en/system/Strabon,
262.,265.,273.,Redland,RDF,0.66,-0.01,+0.25,https://db-engines.com/en/system/Redland,
263.,276.,248.,Rasdaman,Multivalue,0.66,+0.06,+0.07,https://db-engines.com/en/system/Rasdaman,
264.,293.,,Vespa,Multi-model,0.65,+0.18,,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS"
265.,279.,257.,Sequoiadb,Multi-model,0.63,+0.06,+0.11,https://db-engines.com/en/system/Sequoiadb,"Document store,Relational DBMS"
266.,288.,,Databend,Relational,0.61,+0.11,,https://db-engines.com/en/system/Databend,
267.,268.,241.,SearchBlox,Search engine,0.60,-0.05,-0.05,https://db-engines.com/en/system/SearchBlox,
268.,274.,228.,Percona Server for MongoDB,Document,0.60,-0.02,-0.14,https://db-engines.com/en/system/Percona+Server+for+MongoDB,
269.,286.,336.,Elliptics,Key-value,0.60,+0.08,+0.45,https://db-engines.com/en/system/Elliptics,
270.,267.,261.,Jade,Object oriented,0.60,-0.06,+0.10,https://db-engines.com/en/system/Jade,
271.,273.,260.,InfiniteGraph,Graph,0.60,-0.03,+0.09,https://db-engines.com/en/system/InfiniteGraph,
272.,272.,256.,Kingbase,"Relational, Multi-model",0.59,-0.04,+0.06,https://db-engines.com/en/system/Kingbase,"Relational DBMS,Document store,Spatial DBMS"
273.,270.,238.,Starcounter,Object oriented,0.58,-0.07,-0.11,https://db-engines.com/en/system/Starcounter,
274.,277.,279.,Lovefield,Relational,0.58,-0.01,+0.20,https://db-engines.com/en/system/Lovefield,
275.,264.,225.,4store,RDF,0.57,-0.10,-0.21,https://db-engines.com/en/system/4store,
276.,278.,267.,Raima Database Manager,Multi-model,0.56,-0.03,+0.12,https://db-engines.com/en/system/Raima+Database+Manager,"Relational DBMS,Time Series DBMS"
277.,281.,293.,Alibaba Cloud AnalyticDB for PostgreSQL,Relational,0.56,+0.01,+0.26,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,
278.,289.,254.,Project Voldemort,Key-value,0.54,+0.05,0.00,https://db-engines.com/en/system/Project+Voldemort,
279.,290.,262.,Elassandra,"Wide column, Multi-model",0.53,+0.04,+0.05,https://db-engines.com/en/system/Elassandra,"Wide column store,Search engine"
280.,266.,290.,ITTIA,"Time Series, Multi-model",0.52,-0.14,+0.20,https://db-engines.com/en/system/ITTIA,"Time Series DBMS,Relational DBMS"
281.,284.,284.,Mimer SQL,Relational,0.51,-0.01,+0.16,https://db-engines.com/en/system/Mimer+SQL,
282.,295.,298.,EJDB,Document,0.51,+0.06,+0.22,https://db-engines.com/en/system/EJDB,
283.,287.,312.,HyperGraphDB,Graph,0.51,-0.01,+0.28,https://db-engines.com/en/system/HyperGraphDB,
284.,308.,,CnosDB,Time Series,0.49,+0.11,,https://db-engines.com/en/system/CnosDB,
285.,285.,291.,Fluree,Graph,0.49,-0.03,+0.17,https://db-engines.com/en/system/Fluree,
286.,305.,286.,Axibase,Time Series,0.48,+0.07,+0.14,https://db-engines.com/en/system/Axibase,
287.,282.,268.,Kyligence Enterprise,Relational,0.48,-0.08,+0.04,https://db-engines.com/en/system/Kyligence+Enterprise,
288.,302.,321.,Mulgara,RDF,0.47,+0.05,+0.29,https://db-engines.com/en/system/Mulgara,
289.,275.,272.,OpenQM,Multivalue,0.47,-0.13,+0.06,https://db-engines.com/en/system/OpenQM,
290.,298.,,Deep Lake,Vector,0.46,+0.04,,https://db-engines.com/en/system/Deep+Lake,
291.,280.,239.,Tajo,Relational,0.46,-0.10,-0.22,https://db-engines.com/en/system/Tajo,
292.,310.,299.,AnzoGraph DB,Multi-model,0.46,+0.09,+0.18,https://db-engines.com/en/system/AnzoGraph+DB,"Graph DBMS,RDF store"
293.,297.,282.,FlockDB,Graph,0.45,+0.01,+0.09,https://db-engines.com/en/system/FlockDB,
294.,292.,322.,Transbase,Relational,0.45,-0.03,+0.26,https://db-engines.com/en/system/Transbase,
295.,296.,259.,Brytlyt,Relational,0.44,-0.01,-0.07,https://db-engines.com/en/system/Brytlyt,
296.,300.,237.,YDB,Multi-model,0.44,+0.02,-0.27,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS"
297.,303.,289.,Alibaba Cloud ApsaraDB for PolarDB,Relational,0.44,+0.02,+0.12,https://db-engines.com/en/system/Alibaba+Cloud+ApsaraDB+for+PolarDB,
298.,283.,294.,Actian FastObjects,Object oriented,0.43,-0.11,+0.13,https://db-engines.com/en/system/Actian+FastObjects,
299.,326.,318.,RDFox,Multi-model,0.42,+0.12,+0.22,https://db-engines.com/en/system/RDFox,"Graph DBMS,RDF store,Relational DBMS"
300.,317.,304.,FeatureBase,Relational,0.42,+0.07,+0.17,https://db-engines.com/en/system/FeatureBase,
301.,301.,288.,RedStore,RDF,0.42,0.00,+0.10,https://db-engines.com/en/system/RedStore,
302.,291.,,Marqo,Search engine,0.40,-0.08,,https://db-engines.com/en/system/Marqo,
303.,320.,307.,Immudb,"Key-value, Multi-model",0.40,+0.08,+0.16,https://db-engines.com/en/system/Immudb,"Key-value store,Relational DBMS"
304.,309.,296.,LeanXcale,Multi-model,0.39,+0.01,+0.09,https://db-engines.com/en/system/LeanXcale,"Key-value store,Relational DBMS"
305.,304.,306.,ElevateDB,Relational,0.39,-0.02,+0.14,https://db-engines.com/en/system/ElevateDB,
306.,321.,339.,Machbase Neo,Time Series,0.39,+0.07,+0.24,https://db-engines.com/en/system/Machbase+Neo,
307.,311.,265.,Alibaba Cloud Log Service,Search engine,0.38,+0.01,-0.07,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,
308.,294.,274.,Comdb2,Relational,0.37,-0.09,-0.04,https://db-engines.com/en/system/Comdb2,
309.,299.,255.,Tokyo Tyrant,Key-value,0.36,-0.07,-0.18,https://db-engines.com/en/system/Tokyo+Tyrant,
310.,314.,297.,CubicWeb,RDF,0.35,0.00,+0.07,https://db-engines.com/en/system/CubicWeb,
311.,312.,,AntDB,Relational,0.35,-0.02,,https://db-engines.com/en/system/AntDB,
312.,333.,309.,NEventStore,Event,0.34,+0.06,+0.11,https://db-engines.com/en/system/NEventStore,
313.,318.,311.,Actian PSQL,Relational,0.34,0.00,+0.11,https://db-engines.com/en/system/Actian+PSQL,
314.,316.,287.,Riak TS,Time Series,0.33,-0.02,+0.00,https://db-engines.com/en/system/Riak+TS,
315.,334.,315.,Speedb,Key-value,0.33,+0.06,+0.11,https://db-engines.com/en/system/Speedb,
316.,331.,333.,STSdb,Key-value,0.33,+0.05,+0.18,https://db-engines.com/en/system/STSdb,
317.,306.,280.,PipelineDB,Relational,0.33,-0.06,-0.04,https://db-engines.com/en/system/PipelineDB,
318.,330.,269.,Valentina Server,Relational,0.33,+0.04,-0.11,https://db-engines.com/en/system/Valentina+Server,
319.,315.,275.,Cloudflare Workers KV,Key-value,0.32,-0.03,-0.08,https://db-engines.com/en/system/Cloudflare+Workers+KV,
320.,346.,305.,GraphBase,Graph,0.32,+0.09,+0.07,https://db-engines.com/en/system/GraphBase,
321.,,,YottaDB,"Key-value, Multi-model",0.31,,,https://db-engines.com/en/system/YottaDB,"Key-value store,Relational DBMS"
322.,313.,313.,Bangdb,Multi-model,0.31,-0.05,+0.09,https://db-engines.com/en/system/Bangdb,"Document store,Graph DBMS,Time Series DBMS,Spatial DBMS"
323.,328.,271.,HugeGraph,Graph,0.30,+0.00,-0.12,https://db-engines.com/en/system/HugeGraph,
324.,342.,346.,Dydra,RDF,0.30,+0.05,+0.17,https://db-engines.com/en/system/Dydra,
325.,344.,,MyScale,Multi-model,0.30,+0.07,,https://db-engines.com/en/system/MyScale,"Relational DBMS,Vector DBMS"
326.,357.,325.,Quasardb,Time Series,0.29,+0.12,+0.11,https://db-engines.com/en/system/Quasardb,
327.,335.,277.,TinkerGraph,Graph,0.29,+0.02,-0.10,https://db-engines.com/en/system/TinkerGraph,
328.,332.,326.,Sparksee,Graph,0.28,0.00,+0.11,https://db-engines.com/en/system/Sparksee,
329.,351.,367.,Exorbyte,Search engine,0.27,+0.06,+0.16,https://db-engines.com/en/system/Exorbyte,
330.,307.,270.,TransLattice,Relational,0.26,-0.13,-0.17,https://db-engines.com/en/system/TransLattice,
331.,348.,323.,Fujitsu Enterprise Postgres,"Relational, Multi-model",0.26,+0.04,+0.07,https://db-engines.com/en/system/Fujitsu+Enterprise+Postgres,"Relational DBMS,Document store,Spatial DBMS"
332.,347.,,Tigris,Multi-model,0.26,+0.04,,https://db-engines.com/en/system/Tigris,"Document store,Key-value store,Search engine,Time Series DBMS"
333.,345.,337.,BigObject,Relational,0.25,+0.02,+0.10,https://db-engines.com/en/system/BigObject,
334.,340.,,Skytable,Key-value,0.25,-0.01,,https://db-engines.com/en/system/Skytable,
335.,350.,,Ultipa,Graph,0.25,+0.03,,https://db-engines.com/en/system/Ultipa,
336.,338.,,PieCloudDB,Relational,0.24,-0.01,,https://db-engines.com/en/system/PieCloudDB,
337.,325.,301.,TerminusDB,"Graph, Multi-model",0.24,-0.06,-0.02,https://db-engines.com/en/system/TerminusDB,"Graph DBMS,Document store,RDF store"
338.,336.,295.,Tibco ComputeDB,Relational,0.24,-0.02,-0.06,https://db-engines.com/en/system/Tibco+ComputeDB,
339.,323.,355.,BrightstarDB,RDF,0.24,-0.06,+0.13,https://db-engines.com/en/system/BrightstarDB,
340.,322.,355.,TomP2P,Key-value,0.24,-0.07,+0.13,https://db-engines.com/en/system/TomP2P,
341.,359.,355.,SenseiDB,Document,0.24,+0.08,+0.13,https://db-engines.com/en/system/SenseiDB,
342.,324.,348.,Linter,"Relational, Multi-model",0.24,-0.06,+0.11,https://db-engines.com/en/system/Linter,"Relational DBMS,Spatial DBMS"
343.,319.,314.,XtremeData,Relational,0.24,-0.09,+0.02,https://db-engines.com/en/system/XtremeData,
344.,352.,319.,ArcadeDB,Multi-model,0.23,+0.04,+0.04,https://db-engines.com/en/system/ArcadeDB,"Document store,Graph DBMS,Key-value store,Time Series DBMS"
345.,327.,355.,Eloquera,Object oriented,0.23,-0.07,+0.11,https://db-engines.com/en/system/Eloquera,
346.,364.,320.,Transwarp KunDB,Relational,0.23,+0.08,+0.04,https://db-engines.com/en/system/Transwarp+KunDB,
347.,337.,285.,Manticore Search,"Search engine, Multi-model",0.23,-0.03,-0.11,https://db-engines.com/en/system/Manticore+Search,"Search engine,Time Series DBMS"
348.,343.,310.,Faircom DB,Multi-model,0.23,-0.01,-0.01,https://db-engines.com/en/system/Faircom+DB,"Key-value store,Relational DBMS"
349.,341.,281.,Alibaba Cloud Table Store,Wide column,0.22,-0.03,-0.15,https://db-engines.com/en/system/Alibaba+Cloud+Table+Store,
350.,329.,355.,Upscaledb,Key-value,0.21,-0.08,+0.09,https://db-engines.com/en/system/Upscaledb,
351.,358.,,GreptimeDB,Time Series,0.21,+0.04,,https://db-engines.com/en/system/GreptimeDB,
352.,363.,316.,EsgynDB,Relational,0.21,+0.05,-0.01,https://db-engines.com/en/system/EsgynDB,
353.,370.,353.,HyperLevelDB,Key-value,0.21,+0.07,+0.09,https://db-engines.com/en/system/HyperLevelDB,
354.,353.,345.,XTDB,Document,0.21,+0.02,+0.08,https://db-engines.com/en/system/XTDB,
355.,354.,350.,Siaqodb,Object oriented,0.20,+0.02,+0.08,https://db-engines.com/en/system/Siaqodb,
356.,369.,338.,SiteWhere,Time Series,0.20,+0.06,+0.05,https://db-engines.com/en/system/SiteWhere,
357.,360.,343.,Blueflood,Time Series,0.19,+0.03,+0.06,https://db-engines.com/en/system/Blueflood,
358.,378.,308.,Acebase,Document,0.19,+0.08,-0.05,https://db-engines.com/en/system/Acebase,
359.,377.,331.,VelocityDB,Multi-model,0.19,+0.07,+0.03,https://db-engines.com/en/system/VelocityDB,"Graph DBMS,Object oriented DBMS"
360.,385.,355.,NosDB,Document,0.18,+0.09,+0.07,https://db-engines.com/en/system/NosDB,
361.,380.,341.,OrigoDB,Multi-model,0.18,+0.08,+0.04,https://db-engines.com/en/system/OrigoDB,"Document store,Object oriented DBMS"
362.,365.,276.,IBM Db2 Event Store,Multi-model,0.18,+0.03,-0.22,https://db-engines.com/en/system/IBM+Db2+Event+Store,"Event Store,Time Series DBMS"
363.,385.,334.,TerarkDB,Key-value,0.17,+0.08,+0.02,https://db-engines.com/en/system/TerarkDB,
364.,355.,330.,H2GIS,"Spatial DBMS, Multi-model",0.17,-0.01,+0.00,https://db-engines.com/en/system/H2GIS,"Spatial DBMS,Relational DBMS"
365.,361.,340.,Badger,Key-value,0.16,+0.00,+0.02,https://db-engines.com/en/system/Badger,
366.,374.,,Dragonfly,Key-value,0.14,+0.01,,https://db-engines.com/en/system/Dragonfly,
367.,376.,,YTsaurus,Multi-model,0.14,+0.02,,https://db-engines.com/en/system/YTsaurus,"Document store,Key-value store"
368.,,,openGemini,Time Series,0.14,,,https://db-engines.com/en/system/openGemini,
369.,384.,344.,LedisDB,Key-value,0.14,+0.05,+0.00,https://db-engines.com/en/system/LedisDB,
370.,382.,381.,Indica,Search engine,0.14,+0.04,+0.14,https://db-engines.com/en/system/Indica,
371.,370.,355.,ActorDB,Relational,0.13,-0.01,+0.02,https://db-engines.com/en/system/ActorDB,
371.,379.,355.,Edge Intelligence,Relational,0.13,+0.03,+0.02,https://db-engines.com/en/system/Edge+Intelligence,
371.,370.,355.,iBoxDB,Document,0.13,-0.01,+0.02,https://db-engines.com/en/system/iBoxDB,
371.,385.,347.,SiriDB,Time Series,0.13,+0.05,+0.01,https://db-engines.com/en/system/SiriDB,
371.,370.,355.,WhiteDB,Document,0.13,-0.01,+0.02,https://db-engines.com/en/system/WhiteDB,
376.,367.,351.,Kyoto Tycoon,Key-value,0.11,-0.03,-0.01,https://db-engines.com/en/system/Kyoto+Tycoon,
377.,356.,355.,RaptorDB,Document,0.10,-0.08,-0.01,https://db-engines.com/en/system/RaptorDB,
378.,362.,368.,JethroData,Relational,0.10,-0.05,-0.01,https://db-engines.com/en/system/JethroData,
379.,366.,352.,Alibaba Cloud TSDB,Time Series,0.09,-0.06,-0.02,https://db-engines.com/en/system/Alibaba+Cloud+TSDB,
380.,390.,,DataFS,"Object oriented, Multi-model",0.08,+0.02,,https://db-engines.com/en/system/DataFS,"Object oriented DBMS,Graph DBMS"
381.,381.,354.,OushuDB,Relational,0.07,-0.03,-0.05,https://db-engines.com/en/system/OushuDB,
382.,389.,371.,AgensGraph,Multi-model,0.07,0.00,+0.00,https://db-engines.com/en/system/AgensGraph,"Graph DBMS,Relational DBMS"
383.,368.,328.,Hawkular Metrics,Time Series,0.07,-0.08,-0.10,https://db-engines.com/en/system/Hawkular+Metrics,
384.,375.,375.,InfinityDB,Key-value,0.06,-0.06,+0.02,https://db-engines.com/en/system/InfinityDB,
385.,388.,381.,NSDb,Time Series,0.06,-0.01,+0.06,https://db-engines.com/en/system/NSDb,
386.,393.,324.,Warp 10,Time Series,0.05,+0.03,-0.13,https://db-engines.com/en/system/Warp+10,
387.,391.,381.,Cachelot.io,Key-value,0.05,-0.01,+0.05,https://db-engines.com/en/system/Cachelot.io,
388.,404.,,Transwarp Hippo,Vector,0.04,+0.04,,https://db-engines.com/en/system/Transwarp+Hippo,
389.,400.,376.,WakandaDB,Object oriented,0.03,+0.02,-0.01,https://db-engines.com/en/system/WakandaDB,
390.,392.,377.,Transwarp ArgoDB,"Relational, Multi-model",0.03,-0.02,-0.01,https://db-engines.com/en/system/Transwarp+ArgoDB,"Relational DBMS,Search engine"
391.,394.,,gStore,Multi-model,0.02,+0.00,,https://db-engines.com/en/system/gStore,"Graph DBMS,RDF store"
392.,402.,373.,Faircom EDGE,Multi-model,0.02,+0.02,-0.03,https://db-engines.com/en/system/Faircom+EDGE,"Key-value store,Relational DBMS"
393.,395.,332.,SmallSQL,Relational,0.02,+0.00,-0.14,https://db-engines.com/en/system/SmallSQL,
394.,396.,335.,ScaleOut StateServer,Key-value,0.02,0.00,-0.13,https://db-engines.com/en/system/ScaleOut+StateServer,
395.,397.,342.,SparkleDB,RDF,0.02,+0.00,-0.12,https://db-engines.com/en/system/SparkleDB,
396.,399.,366.,Resin Cache,Key-value,0.01,0.00,-0.10,https://db-engines.com/en/system/Resin+Cache,
397.,401.,369.,SWC-DB,"Wide column, Multi-model",0.01,+0.00,-0.08,https://db-engines.com/en/system/SWC-DB,"Wide column store,Time Series DBMS"
398.,398.,372.,JaguarDB,Multi-model,0.00,-0.01,-0.06,https://db-engines.com/en/system/JaguarDB,"Key-value store,Vector DBMS"
399.,403.,380.,SwayDB,Key-value,0.00,+0.00,-0.01,https://db-engines.com/en/system/SwayDB,
400.,404.,381.,BergDB,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/BergDB,
400.,404.,381.,CortexDB,Multi-model,0.00,±0.00,±0.00,https://db-engines.com/en/system/CortexDB,"Document store,Key-value store"
400.,404.,381.,CovenantSQL,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/CovenantSQL,
400.,404.,381.,DaggerDB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/DaggerDB,
400.,404.,381.,EdgelessDB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/EdgelessDB,
400.,404.,370.,Galaxybase,Graph,0.00,±0.00,-0.09,https://db-engines.com/en/system/Galaxybase,
400.,404.,381.,Helium,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/Helium,
400.,404.,329.,HGraphDB,Graph,0.00,±0.00,-0.16,https://db-engines.com/en/system/HGraphDB,
400.,404.,381.,JasDB,Document,0.00,±0.00,±0.00,https://db-engines.com/en/system/JasDB,
400.,404.,381.,K-DB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/K-DB,
400.,404.,381.,Newts,Time Series,0.00,±0.00,±0.00,https://db-engines.com/en/system/Newts,
400.,404.,381.,Rizhiyi,"Search engine, Multi-model",0.00,±0.00,±0.00,https://db-engines.com/en/system/Rizhiyi,"Search engine,Time Series DBMS"
400.,404.,374.,Sadas Engine,Relational,0.00,±0.00,-0.05,https://db-engines.com/en/system/Sadas+Engine,
400.,404.,381.,searchxml,Multi-model,0.00,±0.00,±0.00,https://db-engines.com/en/system/searchxml,"Native XML DBMS,Search engine"
400.,404.,381.,SpaceTime,"Spatial DBMS, Multi-model",0.00,±0.00,±0.00,https://db-engines.com/en/system/SpaceTime,"Spatial DBMS,Relational DBMS"
400.,404.,378.,Tkrzw,Key-value,0.00,±0.00,-0.02,https://db-engines.com/en/system/Tkrzw,
400.,404.,379.,Transwarp StellarDB,Graph,0.00,±0.00,-0.02,https://db-engines.com/en/system/Transwarp+StellarDB,
