Rank_Mar-2023,Rank_Feb-2023,Rank_Mar-2022,DBMS,Database Model,Score_Mar-2023,Score_Feb-2023,Score_Mar-2022,DBMS_insitelink,Multi_model_info
267.,268.,284.,Actian FastObjects,Object oriented,0.55,-0.01,+0.34,https://db-engines.com/en/system/Actian+FastObjects,
268.,278.,,SurrealDB,Multi-model,0.54,+0.03,,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
269.,265.,222.,Percona Server for MongoDB,Document,0.53,-0.04,-0.07,https://db-engines.com/en/system/Percona+Server+for+MongoDB,
270.,279.,207.,Alibaba Cloud MaxCompute,Relational,0.53,+0.02,-0.19,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
271.,259.,252.,InfiniteGraph,Graph,0.53,-0.09,+0.09,https://db-engines.com/en/system/InfiniteGraph,
272.,283.,214.,Alibaba Cloud AnalyticDB for MySQL,"Relational, Multi-model",0.52,+0.02,-0.16,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store"
273.,295.,299.,Weaviate,Search engine,0.51,+0.10,+0.36,https://db-engines.com/en/system/Weaviate,
274.,274.,315.,Transbase,Relational,0.51,-0.01,+0.42,https://db-engines.com/en/system/Transbase,
275.,280.,296.,EJDB,Document,0.50,0.00,+0.34,https://db-engines.com/en/system/EJDB,
276.,263.,236.,Tokyo Tyrant,Key-value,0.50,-0.08,-0.03,https://db-engines.com/en/system/Tokyo+Tyrant,
277.,281.,304.,Mulgara,RDF,0.48,-0.02,+0.36,https://db-engines.com/en/system/Mulgara,
278.,270.,274.,Comdb2,Relational,0.48,-0.07,+0.22,https://db-engines.com/en/system/Comdb2,
279.,260.,254.,Sequoiadb,Multi-model,0.48,-0.11,+0.06,https://db-engines.com/en/system/Sequoiadb,"Document store,Relational DBMS"
280.,289.,267.,Mimer SQL,Relational,0.48,+0.04,+0.15,https://db-engines.com/en/system/Mimer+SQL,
281.,293.,,Typesense,Search engine,0.47,+0.05,,https://db-engines.com/en/system/Typesense,
282.,287.,294.,HugeGraph,Graph,0.46,+0.01,+0.29,https://db-engines.com/en/system/HugeGraph,
283.,267.,234.,HarperDB,Document,0.46,-0.10,-0.08,https://db-engines.com/en/system/HarperDB,
284.,290.,202.,Jade,Object oriented,0.45,+0.03,-0.30,https://db-engines.com/en/system/Jade,
285.,306.,286.,Heroic,Time Series,0.45,+0.07,+0.24,https://db-engines.com/en/system/Heroic,
286.,271.,226.,YDB,Multi-model,0.44,-0.10,-0.13,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS"
287.,275.,310.,Cloudflare Workers KV,Key-value,0.44,-0.08,+0.33,https://db-engines.com/en/system/Cloudflare+Workers+KV,
288.,276.,264.,Brytlyt,Relational,0.43,-0.09,+0.07,https://db-engines.com/en/system/Brytlyt,
