DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Nov-2023,Rank_Nov-2023,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Vector,Wide column,Vector DBMS
Altibase,Relational,Relational DBMS,https://db-engines.com/en/system/Altibase,Y,,ALTIBASE/altibase,1.04,213,ALTIBASE,altibase,Altibase,1999,2021,N,Open source edition discontinued with March 2023,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Amazon Timestream,Time Series,Time Series DBMS,https://db-engines.com/en/system/Amazon+Timestream,N,,-,1.0,214,-,-,,2018,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
ObjectDB,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/ObjectDB,N,,-,0.99,215,-,-,,2010,2023,N,,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Blazegraph,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/Blazegraph,Y,,blazegraph/database,0.99,216,blazegraph,database,Blazegraph,2006,2019,Y,extended commercial license available,N,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Amazon Keyspaces,Wide column,Wide column store,https://db-engines.com/en/system/Amazon+Keyspaces,N,,-,0.98,217,-,-,Amazon,2019,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
TDSQL for MySQL,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/TDSQL+for+MySQL,N,,-,0.97,218,-,-,Tencent,2013,,N,,Y,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0
IDMS,Navigational,Navigational DBMS,https://db-engines.com/en/system/IDMS,N,,-,0.97,219,-,-,,1973,,N,,N,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
RDF4J,RDF,RDF store,https://db-engines.com/en/system/RDF4J,Y,Y,eclipse/rdf4j,0.97,220,eclipse,rdf4j,"Since 2016 officially forked into an Eclipse project, former developer was Aduna Software.",2004,,Y,"Eclipse Distribution License (EDL), v1.0.",N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
GeoMesa,Spatial DBMS,Spatial DBMS,https://db-engines.com/en/system/GeoMesa,Y,,geomesa/geomesa-geoserver,0.95,221,geomesa,geomesa-geoserver,CCRi and others,2014,2023,Y,Apache License 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
eXist-db,Native XML,Native XML DBMS,https://db-engines.com/en/system/eXist-db,Y,,eXist-db/exist,0.94,222,eXist-db,exist,,2000,,Y,L-GPL,N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
