DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Nov-2023,Rank_Nov-2023,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Vector,Wide column,Vector DBMS
Oracle,Relational,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS",https://db-engines.com/en/system/Oracle,N,Y,-,1277.03,1,-,-,Oracle,1980,2021,N,restricted free version is available,N,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0.0
MySQL,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/MySQL,Y,Y,mysql/mysql-server,1115.24,2,mysql,mysql-server,Oracle,1995,2023,Y,GPL version 2. Commercial licenses with extended functionallity are available,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0
Microsoft SQL Server,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/Microsoft+SQL+Server,N,Y,-,911.42,3,-,-,Microsoft,1989,2022,N,restricted free version is available,N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.0
PostgreSQL,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS",https://db-engines.com/en/system/PostgreSQL,Y,N,postgres/postgres,636.86,4,postgres,postgres,PostgreSQL Global Development Group,1989,2023,Y,BSD,N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1.0
MongoDB,Document,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/MongoDB,Y,Y,mongodb/mongo,428.55,5,mongodb,mongo,"MongoDB, Inc",2009,2023,Y,MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,N,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1.0
Redis,Key-value,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/Redis,Y,Y,redis/redis,160.02,6,redis,redis,"Redis project core team, inspired by Salvatore Sanfilippo",2009,2023,Y,"source-available extensions (modules), commercial licenses for Redis Enterprise",N,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1.0
Elasticsearch,Search engine,"Search engine,Document store,Spatial DBMS,Vector DBMS",https://db-engines.com/en/system/Elasticsearch,Y,Y,elastic/elasticsearch,139.62,7,elastic,elasticsearch,Elastic,2010,2023,Y,Elastic License,N,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1.0
IBM Db2,Relational,"Relational DBMS,Document store,RDF store,Spatial DBMS",https://db-engines.com/en/system/IBM+Db2,N,Y,-,136.0,8,-,-,IBM,1983,2016,N,free version is available,N,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.0
SQLite,Relational,Relational DBMS,https://db-engines.com/en/system/SQLite,Y,N,sqlite/sqlite,124.58,9,sqlite,sqlite,Dwayne Richard Hipp,2000,2023,Y,Public Domain,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Microsoft Access,Relational,Relational DBMS,https://db-engines.com/en/system/Microsoft+Access,N,Y,-,124.49,10,-,-,Microsoft,1992,2019,N,Bundled with Microsoft Office,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Snowflake,Relational,Relational DBMS,https://db-engines.com/en/system/Snowflake,Y_archivedas_twitter-archive/snowflake,Y,twitter-archive/snowflake,121.0,11,twitter-archive,snowflake,Snowflake Computing Inc.,2014,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Cassandra,Wide column,"Wide column store,Vector DBMS",https://db-engines.com/en/system/Cassandra,Y,N,apache/cassandra,109.17,12,apache,cassandra,Apache Software Foundation,2008,2023,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0
MariaDB,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/MariaDB,Y,Y_借壳上市,MariaDB/server,102.09,13,MariaDB,server,"MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)",2009,2023,Y,"GPL version 2, commercial enterprise subscription available",N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.0
Splunk,Search engine,Search engine,https://db-engines.com/en/system/Splunk,N,,-,97.32,14,-,-,Splunk Inc.,2003,,N,Limited free edition and free developer edition available,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
Microsoft Azure SQL Database,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,N,,-,83.17,15,-,-,Microsoft,2010,,N,,Y,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.0
Amazon DynamoDB,Document,"Document store,Key-value store",https://db-engines.com/en/system/Amazon+DynamoDB,N,,-,82.24,16,-,-,Amazon,2012,,N,free tier for a limited amount of database operations,Y,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Databricks,Document,"Document store,Relational DBMS",https://db-engines.com/en/system/Databricks,N,N,-,77.22,17,-,-,Databricks,2013,,Y,,Y,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Hive,Relational,Relational DBMS,https://db-engines.com/en/system/Hive,Y,N_Facebook开源,apache/hive,68.64,18,apache,hive,Apache Software Foundation,2012,2022,Y,Apache Version 2,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Google BigQuery,Relational,Relational DBMS,https://db-engines.com/en/system/Google+BigQuery,N_api_googleapis/python-bigquery,Y,-,59.31,19,-,-,Google,2010,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Teradata,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Teradata,N,,-,57.33,20,-,-,Teradata,1984,2019,N,,N,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0.0
FileMaker,Relational,Relational DBMS,https://db-engines.com/en/system/FileMaker,N,,-,52.44,21,-,-,FileMaker,1983,2021,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Neo4j,Graph,Graph DBMS,https://db-engines.com/en/system/Neo4j,Y,Y,neo4j/neo4j,49.7,22,neo4j,neo4j,"Neo4j, Inc.",2007,2023,Y,"GPL version3, commercial licenses available",N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SAP HANA,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",https://db-engines.com/en/system/SAP+HANA,N,,-,49.12,23,-,-,SAP,2010,2023,N,,N,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.0
Solr,Search engine,"Search engine,Spatial DBMS",https://db-engines.com/en/system/Solr,Y,N,apache/solr,44.62,24,apache,solr,Apache Software Foundation,2006,2023,Y,Apache Version 2,N,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0
SAP Adaptive Server,Relational,"Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/SAP+Adaptive+Server,N,,-,41.49,25,-,-,"SAP, Sybase",1987,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0
HBase,Wide column,Wide column store,https://db-engines.com/en/system/HBase,Y,N,apache/hbase,34.16,26,apache,hbase,Apache Software Foundation,2008,2021,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Microsoft Azure Cosmos DB,Document,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,N,,-,34.11,27,-,-,Microsoft,2014,,N,,Y,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0.0
InfluxDB,Time Series,"Time Series DBMS,Spatial DBMS",https://db-engines.com/en/system/InfluxDB,Y,,influxdata/influxdb,29.02,28,influxdata,influxdb,,2013,2023,Y,MIT-License; commercial enterprise version available,N,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0
PostGIS,Spatial DBMS,"Spatial DBMS,Relational DBMS",https://db-engines.com/en/system/PostGIS,Y,,postgis/postgis,26.92,29,postgis,postgis,,2005,2023,Y,GPL v2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0
Microsoft Azure Synapse Analytics,Relational,Relational DBMS,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,N,,-,26.79,30,-,-,Microsoft,2016,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Firebird,Relational,Relational DBMS,https://db-engines.com/en/system/Firebird,Y,N,FirebirdSQL/firebird,25.64,31,FirebirdSQL,firebird,Firebird Foundation,2000,2023,Y,Initial Developer's Public License,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Couchbase,Document,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS",https://db-engines.com/en/system/Couchbase,Y,Y,couchbase/couchbase-lite-core,22.5,32,couchbase,couchbase-lite-core,"Couchbase, Inc.",2011,2023,Y,Business Source License (BSL 1.1); Commercial licenses also available,N,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0.0
Amazon Redshift,Relational,Relational DBMS,https://db-engines.com/en/system/Amazon+Redshift,N,,-,21.37,33,-,-,"Amazon (based on,PostgreSQL,)",2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Informix,Relational,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Informix,N,Y,-,20.65,34,-,-,"IBM, HCL Technologies",1984,2020,N,free developer edition available,N,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0
Memcached,Key-value,Key-value store,https://db-engines.com/en/system/Memcached,Y,,memcached/memcached,19.8,35,memcached,memcached,Danga Interactive,2003,2023,Y,BSD license,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Spark SQL,Relational,Relational DBMS,https://db-engines.com/en/system/Spark+SQL,Y,N,apache/spark,19.23,36,apache,spark,Apache Software Foundation,2014,2023,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Impala,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/Impala,Y,,apache/impala,18.24,37,apache,impala,Cloudera,2013,2022,Y,Apache Version 2,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Firebase Realtime Database,Document,Document store,https://db-engines.com/en/system/Firebase+Realtime+Database,N,,-,17.78,38,-,-,Google,2012,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ClickHouse,Relational,"Relational DBMS,Time Series DBMS",https://db-engines.com/en/system/ClickHouse,Y,Y_新成立,ClickHouse/ClickHouse,15.98,39,ClickHouse,ClickHouse,Clickhouse Inc.,2016,2023,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
Presto,Relational,Relational DBMS,https://db-engines.com/en/system/Presto,Y,N_Facebook开源,prestodb/presto,13.77,40,prestodb,presto,Facebook; Presto Foundation,2013,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Vertica,Relational,"Relational DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Vertica,N,Y,-,13.76,41,-,-,OpenText,2005,2023,N,Limited community edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0
dBASE,Relational,Relational DBMS,https://db-engines.com/en/system/dBASE,N,,-,13.67,42,-,-,Asthon Tate,1979,2019,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Netezza,Relational,Relational DBMS,https://db-engines.com/en/system/Netezza,N,,-,13.6,43,-,-,IBM,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
OpenSearch,Search engine,"Search engine,Vector DBMS",https://db-engines.com/en/system/OpenSearch,Y,Y,opensearch-project/OpenSearch,13.31,44,opensearch-project,OpenSearch,Amazon Web Services,2021,2023,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0
Apache Flink,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Flink,Y,,apache/flink,13.26,45,apache,flink,Apache Software Foundation and contributors,,2023,Y,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
CouchDB,Document,"Document store,Spatial DBMS",https://db-engines.com/en/system/CouchDB,Y,N,apache/couchdb,12.8,46,apache,couchdb,Apache Software Foundation,2005,2023,Y,Apache version 2,N,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Google Cloud Firestore,Document,Document store,https://db-engines.com/en/system/Google+Cloud+Firestore,N,,-,11.01,47,-,-,Google,2017,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Greenplum,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Greenplum,Y,Y,greenplum-db/gpdb,10.74,48,greenplum-db,gpdb,Pivotal Software Inc.,2005,2023,Y,Apache 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0
Amazon Aurora,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/Amazon+Aurora,N,,-,9.69,49,-,-,Amazon,2015,,N,,Y,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
H2,Relational,"Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/H2,Y,N,h2database/h2database,9.05,50,h2database,h2database,Thomas Mueller,2005,2023,Y,"dual-licence (Mozilla public license, Eclipse public license)",N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0
Kdb,Time Series,"Time Series DBMS,Vector DBMS,Relational DBMS",https://db-engines.com/en/system/Kdb,Y,,KxSystems/kdb,8.87,51,KxSystems,kdb,"Kx Systems, a division of First Derivatives plc",2000,2018,N,free 32-bit version,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1.0
etcd,Key-value,Key-value store,https://db-engines.com/en/system/etcd,Y,,etcd-io/etcd,8.61,52,etcd-io,etcd,,,2019,Y,Apache Version 2.0,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Realm,Document,Document store,https://db-engines.com/en/system/Realm,Y,,realm/realm-core,8.26,53,realm,realm-core,"Realm, acquired by MongoDB in May 2019",2014,,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
MarkLogic,Document,"Document store,Native XML DBMS,RDF store,Search engine",https://db-engines.com/en/system/MarkLogic,N,,-,8.17,54,-,-,MarkLogic Corp.,2001,2022,N,restricted free version is available,N,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.0
Hazelcast,Key-value,"Key-value store,Document store",https://db-engines.com/en/system/Hazelcast,Y,,hazelcast/hazelcast,8.07,55,hazelcast,hazelcast,Hazelcast,2008,2023,Y,Apache Version 2; commercial licenses available,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Prometheus,Time Series,Time Series DBMS,https://db-engines.com/en/system/Prometheus,Y,N,prometheus/prometheus,7.82,56,prometheus,prometheus,,2015,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Oracle Essbase,Relational,Relational DBMS,https://db-engines.com/en/system/Oracle+Essbase,N,,-,7.78,57,-,-,Oracle,1998,2020,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Datastax Enterprise,Wide column,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS",https://db-engines.com/en/system/Datastax+Enterprise,N,,-,7.26,58,-,-,DataStax,2011,2020,N,,N,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1.0
Aerospike,Document,"Document store,Key-value store,Spatial DBMS",https://db-engines.com/en/system/Aerospike,Y,,aerospike/aerospike-server,7.22,59,aerospike,aerospike-server,Aerospike,2012,2023,Y,Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,N,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
Microsoft Azure Data Explorer,Relational,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS",https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,N,,-,6.99,60,-,-,Microsoft,2019,,N,,Y,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0.0
Algolia,Search engine,Search engine,https://db-engines.com/en/system/Algolia,N,,-,6.84,61,-,-,,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
Ehcache,Key-value,Key-value store,https://db-engines.com/en/system/Ehcache,Y,Y,ehcache/ehcache3,6.77,62,ehcache,ehcache3,"Terracotta Inc, owned by Software AG",2009,2022,Y,Apache Version 2; commercial licenses available,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Derby,Relational,Relational DBMS,https://db-engines.com/en/system/Derby,Y,N,apache/derby,6.65,63,apache,derby,Apache Software Foundation,1997,2022,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
CockroachDB,Relational,Relational DBMS,https://db-engines.com/en/system/CockroachDB,Y,Y,cockroachdb/cockroach,6.57,64,cockroachdb,cockroach,Cockroach Labs,2015,2023,Y,"Apache 2.0, commercial license available",N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
ScyllaDB,Wide column,"Wide column store,Key-value store",https://db-engines.com/en/system/ScyllaDB,Y,,scylladb/scylla,6.56,65,scylladb,scylla,ScyllaDB,2015,2022,Y,"Open Source (AGPL), commercial license available",N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
Microsoft Azure Search,Search engine,Search engine,https://db-engines.com/en/system/Microsoft+Azure+Search,N,,-,6.43,66,-,-,Microsoft,2015,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
Interbase,Relational,Relational DBMS,https://db-engines.com/en/system/Interbase,N,,-,6.11,67,-,-,Embarcadero,1984,2019,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Microsoft Azure Table Storage,Wide column,Wide column store,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,N,,-,6.08,68,-,-,Microsoft,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Sphinx,Search engine,Search engine,https://db-engines.com/en/system/Sphinx,Y,Y,sphinxsearch/sphinx,5.99,69,sphinxsearch,sphinx,Sphinx Technologies Inc.,2001,2023,Y,"GPL version 2, commercial licence available",N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
Jackrabbit,Content,Content stores,https://db-engines.com/en/system/Jackrabbit,Y,N,apache/jackrabbit,5.98,70,apache,jackrabbit,Apache Software Foundation,2006,,Y,,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Trino,Relational,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",https://db-engines.com/en/system/Trino,Y,,trinodb/trino,5.95,71,trinodb,trino,Trino Software Foundation,2012,,Y,Apache Version 2.0,N,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0.0
SingleStore,Relational,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/SingleStore,N,,-,5.72,72,-,-,SingleStore Inc.,2013,2023,N,free developer edition available,N,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1.0
Ingres,Relational,Relational DBMS,https://db-engines.com/en/system/Ingres,Y,,fosslc/Ingres,5.69,73,fosslc,Ingres,Actian Corporation,1974,2022,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Virtuoso,Document,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",https://db-engines.com/en/system/Virtuoso,Y,,openlink/virtuoso-opensource,5.62,74,openlink,virtuoso-opensource,OpenLink Software,1998,2023,Y,"GPLv2, extended commercial license available",N,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0.0
TimescaleDB,Time Series,"Time Series DBMS,Relational DBMS",https://db-engines.com/en/system/TimescaleDB,Y,,timescale/timescaledb,5.53,75,timescale,timescaledb,Timescale,2017,2023,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
SAP SQL Anywhere,Relational,Relational DBMS,https://db-engines.com/en/system/SAP+SQL+Anywhere,N,,-,5.46,76,-,-,SAP,1992,2015,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Google Cloud Datastore,Document,Document store,https://db-engines.com/en/system/Google+Cloud+Datastore,N,,-,5.34,77,-,-,Google,2008,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Graphite,Time Series,Time Series DBMS,https://db-engines.com/en/system/Graphite,Y,,graphite-project/graphite-web,5.21,78,graphite-project,graphite-web,Chris Davis,2006,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
HyperSQL,Relational,Relational DBMS,https://db-engines.com/en/system/HyperSQL,Y,N,ryenus/hsqldb,4.89,79,ryenus,hsqldb,,2001,2023,Y,based on BSD license,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Adabas,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/Adabas,Y,,jrmarino/AdaBase,4.85,80,jrmarino,AdaBase,Software AG,1971,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Riak KV,Key-value,Key-value store,https://db-engines.com/en/system/Riak+KV,Y,,basho/riak_kv,4.84,81,basho,riak_kv,"OpenSource, formerly Basho Technologies",2009,2022,Y,"Apache version 2, commercial enterprise edition",N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
SAP IQ,Relational,Relational DBMS,https://db-engines.com/en/system/SAP+IQ,N,,-,4.61,82,-,-,"SAP, formerly Sybase",1994,2019,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
ArangoDB,Document,"Document store,Graph DBMS,Key-value store,Search engine",https://db-engines.com/en/system/ArangoDB,Y,Y,arangodb/arangodb,4.54,83,arangodb,arangodb,ArangoDB Inc.,2012,2023,Y,Apache Version 2; Commercial license (Enterprise) available,N,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0
Apache Jena - TDB,RDF,RDF store,https://db-engines.com/en/system/Apache+Jena+-+TDB,Y,N,apache/jena,4.45,84,apache,jena,Apache Software Foundation,2000,2023,Y,"Apache License, Version 2.0",N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
"UniData,UniVerse",Multivalue,Multivalue DBMS,https://db-engines.com/en/system/UniData%2CUniVerse,N,,-,4.38,85,-,-,Rocket Software,1985,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Ignite,Key-value,"Key-value store,Relational DBMS",https://db-engines.com/en/system/Ignite,Y,N,apache/ignite,4.35,86,apache,ignite,Apache Software Foundation,2015,,Y,Apache 2.0,N,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0
Google Cloud Bigtable,Key-value,"Key-value store,Wide column store",https://db-engines.com/en/system/Google+Cloud+Bigtable,N,,-,4.26,87,-,-,Google,2015,,N,,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
TiDB,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/TiDB,Y,Y,pingcap/tidb,4.16,88,pingcap,tidb,"PingCAP, Inc.",2016,2023,Y,Apache 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Accumulo,Wide column,Wide column store,https://db-engines.com/en/system/Accumulo,Y,,apache/accumulo,4.14,89,apache,accumulo,,2008,2022,Y,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
RocksDB,Key-value,Key-value store,https://db-engines.com/en/system/RocksDB,Y,Y,facebook/rocksdb,4.11,90,facebook,rocksdb,"Facebook, Inc.",2013,2023,Y,BSD,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Oracle NoSQL,Document,"Document store,Key-value store,Relational DBMS",https://db-engines.com/en/system/Oracle+NoSQL,Y,N,oracle/nosql-go-sdk,4.06,91,oracle,nosql-go-sdk,Oracle,2011,2023,Y,"Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",N,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0
OpenEdge,Relational,Relational DBMS,https://db-engines.com/en/system/OpenEdge,N,,-,4.05,92,-,-,Progress Software Corporation,1984,2020,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
DuckDB,Relational,Relational DBMS,https://db-engines.com/en/system/DuckDB,Y,,duckdb/duckdb,4.02,93,duckdb,duckdb,,2018,2023,Y,MIT License,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
DolphinDB,Time Series,"Time Series DBMS,Relational DBMS",https://db-engines.com/en/system/DolphinDB,N,,-,4.0,94,-,-,"DolphinDB, Inc",2018,2022,N,free community version available,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
GemFire,Key-value,"Key-value store,Document store",https://db-engines.com/en/system/GemFire,N,Y,-,3.97,95,-,-,VMware,2004,2022,N,,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
OrientDB,Document,"Document store,Graph DBMS,Key-value store",https://db-engines.com/en/system/OrientDB,Y,,orientechnologies/orientdb,3.78,96,orientechnologies,orientdb,OrientDB LTD; CallidusCloud; SAP,2010,2023,Y,Apache version 2,N,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Google Cloud Spanner,Relational,Relational DBMS,https://db-engines.com/en/system/Google+Cloud+Spanner,N,,-,3.59,97,-,-,Google,2017,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
RavenDB,Document,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/RavenDB,Y,,ravendb/ravendb,3.55,98,ravendb,ravendb,Hibernating Rhinos,2010,2022,Y,"AGPL version 3, commercial license available",N,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.0
Infinispan,Key-value,Key-value store,https://db-engines.com/en/system/Infinispan,Y,,infinispan/infinispan,3.54,99,infinispan,infinispan,,2009,2023,Y,Apache Version 2,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
MaxDB,Relational,Relational DBMS,https://db-engines.com/en/system/MaxDB,N,,-,3.43,100,-,-,"SAP, acquired from Software AG (Adabas-D) in 1997",1984,2020,N,Limited community edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
IBM Cloudant,Document,Document store,https://db-engines.com/en/system/IBM+Cloudant,N,,-,3.39,101,-,-,"IBM, Apache Software Foundation",2010,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
