id,category,system,is_open_source,has_company,github_repo_link,score,overall_rank,Relational DBMS,Key-value,Document,Time Series,Graph,Object oriented,Search engine,RDF,Wide column,Multivalue,Native XML,Spatial DBMS,Event,Content,Navigational,org_name,repo_name
65,Document,LiteDB,Y,,mbdavid/LiteDB,1.19,161,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,mbdavid,LiteDB
66,"Time Series, Multi-model ",InfluxDB ,Y,,influxdata/influxdb,29.50,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,influxdata,influxdb
67,"Time Series, Multi-model ",Kdb+ ,Y,,KxSystems/kdb,8.13,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,KxSystems,kdb
68,Time Series,Prometheus,Y,,prometheus/prometheus,6.43,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,prometheus,prometheus
69,Time Series,Graphite,Y,,graphite-project/graphite-web,5.09,71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,graphite-project,graphite-web
70,"Time Series, Multi-model ",TimescaleDB ,Y,,timescale/timescaledb,3.72,89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,timescale,timescaledb
71,"Time Series,Multi-model ",Apache Druid,Y,,apache/druid,3.27,93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,apache,druid
72,Time Series,RRDtool,Y,,oetiker/rrdtool-1.x,2.44,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,oetiker,rrdtool-1.x
73,Time Series,OpenTSDB,Y,,OpenTSDB/opentsdb,1.87,124,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,OpenTSDB,opentsdb
74,"Time Series,Document,Graph,Multi-model ",Fauna ,N,,-,1.73,131,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-,-
75,"Time Series, Multi-model ",GridDB ,Y,,griddb/griddb,1.34,147,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,griddb,griddb
76,Time Series,KairosDB,Y,,kairosdb/kairosdb,0.79,197,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,kairosdb,kairosdb
77,"Time Series, Multi-model",QuestDB,Y,,questdb/questd,0.61,222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,questdb,questd
78,Time Series,VictoriaMetrics ,Y,,VictoriaMetrics/VictoriaMetrics,0.59,227,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,VictoriaMetrics,VictoriaMetrics
79,"Time Series, Multi-model",TDengine,Y,,taosdata/TDengine,0.33,264,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,taosdata,TDengine
80,Time Series,Riak TS,Y,,basho-labs/Riak-TS-JDBC-Driver,0.26,276,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,basho-labs,Riak-TS-JDBC-Driver
81,Time Series,M3DB,Y,,m3db/m3,0.24,282,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,m3db,m3
82,Time Series,Apache IoTDB,Y,,apache/iotdb,0.17,293,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,apache,iotdb
83,Time Series,Blueflood,Y,,rackerlabs/blueflood,0.16,297,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,rackerlabs,blueflood
84,Graph,Neo4j ,Y,,neo4j/neo4j,57.63,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,neo4j,neo4j
85,"Relational DBMS,Document, Graph,Search engine,RDF,Native XML,Multi-model ",Virtuoso ,Y,,openlink/virtuoso-opensource,4.42,79,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,openlink,virtuoso-opensource
86,"Graph,Key-value,Document, Multi-model ",OrientDB,Y,,orientechnologies/orientdb,4.24,82,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,orientechnologies,orientdb
87,"Graph,RDF,Multi-model ",GraphDB ,N,,-,2.61,109,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-,-
88,Graph,JanusGraph,Y,,JanusGraph/janusgraph,2.58,111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,JanusGraph,janusgraph
89,"Graph,RDF,Multi-model ",Amazon Neptune,N,,-,2.42,114,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-,-
90,Graph,TigerGraph ,N,,-,1.90,123,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,-
91,Graph,Dgraph ,Y,,dgraph-io/dgraph,1.81,127,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,dgraph-io,dgraph
92,Graph,Giraph,Y,,apache/giraph,1.28,154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,apache,giraph
93,Graph,Nebula Graph,Y,,vesoft-inc/nebula,1.10,168,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,vesoft-inc,nebula
94,"Graph,Multi-model ",TypeDB,Y,,vaticle/typedb,0.83,193,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,vaticle,typedb
95,"Graph,Key-value,Multi-model ",Graph Engine,Y,,microsoft/GraphEngine,0.80,195,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,microsoft,GraphEngine
96,"Key-value,Object oriented,Multi-model ",InterSystems Caché,N,,-,3.23,94,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-,-
97,"Document,Object oriented,Multi-model ",InterSystems IRIS ,N,,-,1.74,130,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-,-
